# x(m), q(W/m2)
4.562209999999999877e-01,3.440590000000000146e+04
4.676839999999999886e-01,3.423819999999999709e+04
4.791469999999999896e-01,3.407609999999999854e+04
4.906099999999999905e-01,3.391890000000000146e+04
5.020729999999999915e-01,3.376459999999999854e+04
5.135349999999999637e-01,3.361240000000000146e+04
5.249979999999999647e-01,3.346330000000000291e+04
5.364609999999999657e-01,3.331780000000000291e+04
5.479239999999999666e-01,3.317669999999999709e+04
5.593869999999999676e-01,3.304009999999999854e+04
5.708490000000000508e-01,3.290750000000000000e+04
5.708490000000000508e-01,3.290750000000000000e+04
5.823120000000000518e-01,3.277809999999999854e+04
5.937750000000000528e-01,3.265150000000000000e+04
6.052380000000000537e-01,3.252759999999999854e+04
6.167010000000000547e-01,3.240640000000000146e+04
6.281639999999999446e-01,3.228790000000000146e+04
6.396260000000000279e-01,3.217229999999999927e+04
6.510890000000000288e-01,3.206000000000000000e+04
6.625520000000000298e-01,3.195129999999999927e+04
6.740150000000000308e-01,3.184620000000000073e+04
6.854780000000000317e-01,3.174409999999999854e+04
6.969410000000000327e-01,3.164459999999999854e+04
7.084030000000000049e-01,3.154759999999999854e+04
7.198660000000000059e-01,3.145309999999999854e+04
7.313290000000000068e-01,3.136140000000000146e+04
7.427920000000000078e-01,3.127270000000000073e+04
7.542550000000000088e-01,3.118640000000000146e+04
7.657169999999999810e-01,3.110150000000000000e+04
7.771799999999999820e-01,3.101679999999999927e+04
7.886429999999999829e-01,3.093190000000000146e+04
8.001059999999999839e-01,3.084679999999999927e+04
8.115689999999999849e-01,3.076240000000000146e+04
8.230319999999999858e-01,3.067929999999999927e+04
8.344939999999999580e-01,3.059829999999999927e+04
8.344939999999999580e-01,3.059829999999999927e+04
8.459569999999999590e-01,3.051909999999999854e+04
8.574199999999999600e-01,3.044150000000000000e+04
8.688829999999999609e-01,3.036520000000000073e+04
8.803459999999999619e-01,3.029009999999999854e+04
8.918089999999999629e-01,3.021620000000000073e+04
9.032710000000000461e-01,3.014370000000000073e+04
9.147340000000000471e-01,3.007259999999999854e+04
9.261970000000000480e-01,3.000300000000000000e+04
9.376600000000000490e-01,2.993459999999999854e+04
9.491230000000000500e-01,2.986690000000000146e+04
9.605850000000000222e-01,2.980000000000000000e+04
9.720480000000000231e-01,2.973420000000000073e+04
9.835110000000000241e-01,2.966959999999999854e+04
9.949740000000000251e-01,2.960609999999999854e+04
1.006440000000000001e+00,2.954359999999999854e+04
1.017900000000000027e+00,2.948200000000000000e+04
1.029360000000000053e+00,2.942109999999999854e+04
1.040829999999999922e+00,2.936100000000000000e+04
1.052289999999999948e+00,2.930159999999999854e+04
1.063749999999999973e+00,2.924320000000000073e+04
1.075209999999999999e+00,2.918559999999999854e+04
1.086680000000000090e+00,2.912890000000000146e+04
1.098139999999999894e+00,2.907290000000000146e+04
1.098139999999999894e+00,2.907290000000000146e+04
1.109599999999999920e+00,2.901759999999999854e+04
1.121059999999999945e+00,2.896300000000000000e+04
1.132530000000000037e+00,2.890909999999999854e+04
1.143990000000000062e+00,2.885609999999999854e+04
1.155450000000000088e+00,2.880379999999999927e+04
1.166919999999999957e+00,2.875200000000000000e+04
1.178379999999999983e+00,2.870090000000000146e+04
1.189840000000000009e+00,2.865029999999999927e+04
1.201300000000000034e+00,2.860029999999999927e+04
1.212769999999999904e+00,2.855090000000000146e+04
1.224229999999999929e+00,2.850220000000000073e+04
1.235689999999999955e+00,2.845409999999999854e+04
1.247160000000000046e+00,2.840650000000000000e+04
1.258620000000000072e+00,2.835959999999999854e+04
1.270080000000000098e+00,2.831329999999999927e+04
1.281539999999999901e+00,2.826750000000000000e+04
1.293009999999999993e+00,2.822209999999999854e+04
1.304470000000000018e+00,2.817729999999999927e+04
1.315930000000000044e+00,2.813300000000000000e+04
1.327399999999999913e+00,2.808909999999999854e+04
1.338859999999999939e+00,2.804559999999999854e+04
1.350319999999999965e+00,2.800270000000000073e+04
1.361779999999999990e+00,2.796029999999999927e+04
1.373250000000000082e+00,2.791840000000000146e+04
1.373250000000000082e+00,2.791840000000000146e+04
1.384710000000000107e+00,2.787679999999999927e+04
1.396169999999999911e+00,2.783579999999999927e+04
1.407640000000000002e+00,2.779520000000000073e+04
1.419100000000000028e+00,2.775500000000000000e+04
1.430560000000000054e+00,2.771520000000000073e+04
1.442020000000000080e+00,2.767579999999999927e+04
1.453489999999999949e+00,2.763690000000000146e+04
1.464949999999999974e+00,2.759820000000000073e+04
1.476410000000000000e+00,2.755990000000000146e+04
1.487880000000000091e+00,2.752200000000000000e+04
1.499339999999999895e+00,2.748459999999999854e+04
1.510799999999999921e+00,2.744740000000000146e+04
1.522259999999999946e+00,2.741070000000000073e+04
1.533730000000000038e+00,2.737420000000000073e+04
1.545190000000000063e+00,2.733820000000000073e+04
1.556650000000000089e+00,2.730250000000000000e+04
1.568109999999999893e+00,2.726709999999999854e+04
1.579579999999999984e+00,2.723190000000000146e+04
1.591040000000000010e+00,2.719700000000000000e+04
1.602500000000000036e+00,2.716250000000000000e+04
1.613969999999999905e+00,2.712829999999999927e+04
1.625429999999999930e+00,2.709440000000000146e+04
