# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
3.4842106758073638e-03 3.6620529858523882e-04 0.0000000000000000e+00 -1.0452846326765351e-01 9.9452189536827329e-01 0.0000000000000000e+00 1.2303819678371333e-07 2.5650215510870396e-08 -1.0000000000000000e+00 2.3252211816777449e+03 2.6996341504745915e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4743260671962372e+02 1.3026324987102508e-02 2.7021479993743652e-03 -5.5917163455937919e+02 -4.3917384198328563e+01 0.0000000000000000e+00 4.4626082928810042e+05 4.4626082928810042e+05 0.0000000000000000e+00
3.8185734115430293e-03 4.0134823822607542e-04 0.0000000000000000e+00 -1.0452846326765347e-01 9.9452189536827329e-01 0.0000000000000000e+00 1.3502459332322988e-07 2.5712444271259332e-08 -1.0000000000000000e+00 2.3158313206568100e+03 2.6887323103915610e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4742387889813625e+02 1.3004869447198452e-02 2.6384997807887009e-03 -5.3271432345464768e+02 -4.1828050792389561e+01 0.0000000000000000e+00 4.2479365332636313e+05 4.2479365332636313e+05 0.0000000000000000e+00
4.1533800443211543e-03 4.3653783332609636e-04 0.0000000000000000e+00 -1.0452846326765339e-01 9.9452189536827340e-01 0.0000000000000000e+00 1.4705831609705351e-07 2.5774726042716649e-08 -1.0000000000000000e+00 2.3026729448593619e+03 2.6734551397948534e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4741604628970072e+02 1.2962006504181705e-02 2.5773124075601341e-03 -5.0873165791453886e+02 -3.9928298778189678e+01 0.0000000000000000e+00 4.0551466942200577e+05 4.0551466942200577e+05 0.0000000000000000e+00
4.4886311634555649e-03 4.7177414582468078e-04 0.0000000000000000e+00 -1.0452846326765357e-01 9.9452189536827329e-01 0.0000000000000000e+00 1.5913951139829462e-07 2.5837060856250397e-08 -1.0000000000000000e+00 2.2912698547117338e+03 2.6602158953625173e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4740899257454060e+02 1.2928747407000615e-02 2.5212290647299031e-03 -4.8689806118796344e+02 -3.8201968073904034e+01 0.0000000000000000e+00 3.8813799240208342e+05 3.8813799240208342e+05 0.0000000000000000e+00
4.8243273590424709e-03 5.0705723774343951e-04 0.0000000000000000e+00 -1.0452846326765347e-01 9.9452189536827329e-01 0.0000000000000000e+00 1.7126832593590000e-07 2.5899448743168013e-08 -1.0000000000000000e+00 2.2866715049629470e+03 2.6548771077600862e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4740309133439473e+02 1.2933736961870666e-02 2.4756841821732380e-03 -4.6814809643135391e+02 -3.6707255528634050e+01 0.0000000000000000e+00 3.7351586788692157e+05 3.7351586788692157e+05 0.0000000000000000e+00
5.1604692219614605e-03 5.4238717118631975e-04 0.0000000000000000e+00 -1.0452846326765364e-01 9.9452189536827340e-01 0.0000000000000000e+00 1.8344490683603554e-07 2.5961889734535129e-08 -1.0000000000000000e+00 2.2860300710775173e+03 2.6541323885755103e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4739811302038515e+02 1.2961096389809383e-02 2.4394824365494340e-03 -4.5250294185583795e+02 -3.5440959515567528e+01 0.0000000000000000e+00 3.6109755151648942e+05 3.6109755151648942e+05 0.0000000000000000e+00
5.4970573438765935e-03 5.7776400833972012e-04 0.0000000000000000e+00 -1.0452846326765326e-01 9.9452189536827329e-01 0.0000000000000000e+00 1.9566940164307882e-07 2.6024383861892011e-08 -1.0000000000000000e+00 2.2794960378662117e+03 2.6465462288860275e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4739342400937159e+02 1.2954985653234236e-02 2.4029453415986223e-03 -4.3819646715543513e+02 -3.4316756748174065e+01 0.0000000000000000e+00 3.4940571014806186e+05 3.4940571014806186e+05 0.0000000000000000e+00
5.8340923172374047e-03 6.1318781147259578e-04 0.0000000000000000e+00 -1.0452846326765375e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.0794195832081471e-07 2.6086931156399070e-08 -1.0000000000000000e+00 2.2719841918708184e+03 2.6378248065361598e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4738909070262463e+02 1.2943165922235579e-02 2.3675400820479088e-03 -4.2474272509940283e+02 -3.3241568844866819e+01 0.0000000000000000e+00 3.3858817984962260e+05 3.3858817984962260e+05 0.0000000000000000e+00
6.1715747352799446e-03 6.4865864293656833e-04 0.0000000000000000e+00 -1.0452846326765326e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.2026272525359277e-07 2.6149531649595674e-08 -1.0000000000000000e+00 2.2657289744212630e+03 2.6305623582243483e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4738513590996627e+02 1.2938357600972094e-02 2.3348851383481846e-03 -4.1226783780197815e+02 -3.2245179743015079e+01 0.0000000000000000e+00 3.2869103353865212e+05 3.2869103353865212e+05 0.0000000000000000e+00
6.5095051920278871e-03 6.8417656516604167e-04 0.0000000000000000e+00 -1.0452846326765353e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.3263185124754491e-07 2.6212185372973792e-08 -1.0000000000000000e+00 2.2610849331648792e+03 2.6251705217527309e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4738154057969246e+02 1.2942640519414810e-02 2.3053850600164355e-03 -4.0081998523865389e+02 -3.1331338626218773e+01 0.0000000000000000e+00 3.1966405388853035e+05 3.1966405388853035e+05 0.0000000000000000e+00
