x,Curve1
89.01601,2.2466
89.20709,2.247
89.39817,2.2473
89.95308,2.2399
90.18179,2.2543
90.18964,2.258
90.20296,3.2257
90.21616,3.6652
90.23075,4.1274
90.25064,4.4249
90.30801,4.9048
90.4686,5.6134
90.65207,5.9678
90.83555,6.3223
91.01902,6.5587
91.20248,6.7951
91.38594,6.9725
91.5694,7.1498
91.76049,7.2682
91.94395,7.3865
92.11738,7.477
92.35384,7.5422
92.45321,7.6124
92.52297,7.7822
92.57698,8.0369
92.6071,8.3062
92.63723,8.5866
92.68542,8.0813
92.70643,7.9633
92.72601,7.908
92.75038,7.9375
92.78383,8.0372
92.82923,8.207
92.89423,8.4948
92.96067,8.9228
93.03429,9.4173
93.09835,9.8675
93.22076,10.9301
93.33554,12.1108
93.45031,13.2914
93.55745,14.4721
93.65694,15.7118
93.75645,17.0105
93.78706,17.4237
93.87892,18.7224
93.97078,20.0211
94.06264,21.2607
94.15449,22.5594
94.254,23.8581
94.34585,25.0978
94.45299,26.3374
94.55249,27.5771
94.66726,28.6988
94.87381,30.4108
95.01148,31.2964
95.08032,31.7097
95.15285,31.9995
95.25617,32.1822
95.32559,32.0369
95.4166,31.4741
95.47005,31.002
95.59623,30.076
95.79852,29.2318
95.96662,28.7009
95.99718,28.5829
96.18823,28.2291
96.37163,27.9342
96.55505,27.6985
96.74612,27.6397
96.9372,27.581
97.12063,27.4633
97.28114,27.4635
97.47221,27.3458
97.60212,27.169
97.648,27.3461
97.83909,27.3464
