x [m], y [m], p [Pa], q_wall [W/m2]
0.004757179878652096,0.0005000000237487257,14987.13919902305,20521.855255922408
0.005088941194117069,0.000534869497641921,14987.139199023048,21016.65813165449
0.00542070297524333,0.0005697390297427773,14987.139199023055,20759.09983582503
0.0057524642907083035,0.0006046085618436337,14987.13919902305,19749.180368434063
0.0057524642907083035,0.0006046085618436337,14959.468028686999,81039.26523912295
0.006084225606173277,0.00063947809394449,14959.468028687,82610.21599586874
0.00641598692163825,0.0006743476260453463,14959.468028687,82725.08427465388
0.006747748237103224,0.0007092171581462026,14959.468028687,81383.8700754785
0.006747748237103224,0.0007092171581462026,12742.519535677447,80798.27555788039
0.0070795100182294846,0.000744086632039398,12742.519535677442,82220.30795309415
0.007411271333694458,0.0007789561641402543,12742.519535677444,82418.41374254419
0.0077430326491594315,0.0008138256962411106,12742.519535677444,81392.59292623067
0.0077430326491594315,0.0008138256962411106,10817.241147739305,71450.02059948968
0.008074793964624405,0.0008486952283419669,10817.241147739314,72395.40835497847
0.008406555280089378,0.0008835647604428232,10817.241147739313,72531.32036959621
0.008738316595554352,0.0009184342925436795,10817.241147739316,71857.756643343
0.008738316595554352,0.0009184342925436795,9511.077289423454,63820.500874685116
0.009070077911019325,0.0009533037664368749,9511.077289423456,64433.50747625946
0.009401840157806873,0.0009881732985377312,9511.077289423454,64513.10652982105
0.009733601473271847,0.0010230428306385875,9511.077289423454,64059.29803537
0.009733601473271847,0.0010230428306385875,8610.463002390314,58034.30808340477
0.01006536278873682,0.0010579123627394438,8610.46300239031,58456.57699267439
0.010397124104201794,0.0010927818948403,8610.46300239031,58508.48346780561
0.010728885419666767,0.0011276514269411564,8610.463002390314,58190.027508798405
0.010728885419666767,0.0011276514269411564,7959.28012003007,53491.118352947284
0.01106064673513174,0.0011625209590420127,7959.280120030074,53788.9285167572
0.011392408050596714,0.001197390491142869,7959.28012003007,53826.55605469165
0.011724169366061687,0.0012322599068284035,7959.280120030068,53604.00096675063
0.011724169366061687,0.0012322599068284035,7487.728337281781,49917.02099330068
0.012055930681526661,0.0012671294389292598,7487.728337281788,50129.14761488498
0.012387691996991634,0.001301998971030116,7487.728337281785,50151.62193980314
0.012719454243779182,0.0013368685031309724,7487.728337281788,49984.44396805522
0.012719454243779182,0.0013368685031309724,7127.64032360489,46896.343370957446
0.013051215559244156,0.0013717380352318287,7127.640323604893,47062.92234030584
0.01338297687470913,0.001406607567332685,7127.64032360489,47078.348862639206
0.013714738190174103,0.0014414770994335413,7127.640323604891,46942.62293795749
0.013714738190174103,0.0014414770994335413,6835.789721079548,44224.59193284199
0.014046499505639076,0.0014763466315343976,6835.789721079552,44362.20088411778
0.01437826082110405,0.001511216163635254,6835.789721079549,44373.90584975867
0.014710022136569023,0.0015460856957361102,6835.78972107955,44259.706829764684
0.014710022136569023,0.0015460856957361102,6588.805200001192,41817.2559002114
0.015041783452033997,0.0015809552278369665,6588.805200001192,41933.510910028555
0.01537354476749897,0.0016158247599378228,6588.805200001192,41942.92478001825
0.015705306082963943,0.0016506941756233573,6588.805200001191,41845.497510180525
0.015705306082963943,0.0016506941756233573,6374.728349515051,39643.55480455172
0.016037067398428917,0.0016855637077242136,6374.728349515049,39742.717217598736
0.01636882871389389,0.00172043323982507,6374.7283495150505,39750.44032446784
0.016700590029358864,0.0017553027719259262,6374.72834951505,39666.72412515899
0.016700590029358864,0.0017553027719259262,6186.966659171388,37683.16568539072
0.017032351344823837,0.0017901723040267825,6186.966659171389,37768.348525384245
0.01736411452293396,0.0018250418361276388,6186.966659171388,37774.74300132088
0.017695875838398933,0.0018599113682284951,6186.966659171388,37702.34911320065
0.017695875838398933,0.0018599113682284951,6021.011552622939,35917.4235020845
0.018027637153863907,0.0018947809003293514,6021.01155262294,35991.03407628435
0.01835939846932888,0.0019296504324302077,6021.011552622938,35996.43609793557
0.018691159784793854,0.001964519964531064,6021.011552622939,35933.62956703815
0.018691159784793854,0.001964519964531064,5872.84340348814,34339.54029821247
0.019022921100258827,0.0019993893802165985,5872.84340348814,34401.9008534028
0.0193546824157238,0.0020342590287327766,5872.843403488139,34407.942670719225
0.019686443731188774,0.002069128444418311,5872.843403488136,34357.66575016176
0.019686443731188774,0.002069128444418311,5746.822376303232,33022.99227857947
0.020018205046653748,0.0021039980929344893,5746.822376303235,33072.99831600571
0.02034996636211872,0.0021388675086200237,5746.822376303231,33076.642258408356
0.020681727677583694,0.002173737157136202,5746.822376303233,33033.924105787475
0.020681727677583694,0.002173737157136202,5635.429876570422,31826.22267591523
0.021013488993048668,0.0022086065728217363,5635.429876570422,31870.28559819828
0.02134525030851364,0.002243475988507271,5635.42987657042,31873.343216665027
0.021677011623978615,0.002278345637023449,5635.429876570419,31835.395531315477
0.021677011623978615,0.002278345637023449,5535.460272293508,30740.97410314669
0.022008772939443588,0.0023132150527089834,5535.4602722935115,30780.265422492965
0.02234053425490856,0.0023480847012251616,5535.460272293509,30782.784723560628
0.022672295570373535,0.002382954116910696,5535.460272293507,30748.53200634972
0.022672295570373535,0.002382954116910696,5445.545827819065,29744.177591729458
0.02300405688583851,0.002417823765426874,5445.545827819065,29779.76962282363
0.023335818201303482,0.0024526931811124086,5445.545827819065,29781.87998493081
0.023667579516768456,0.0024875628296285868,5445.545827819065,29750.508678050996
0.023667579516768456,0.0024875628296285868,5363.992933983605,28816.712446142537
0.023999342694878578,0.0025224322453141212,5363.9929339836035,28849.32706040218
0.02433110401034355,0.0025573018938302994,5363.992933983604,28851.13658504543
