"Region: Body 1.Ramp1: Position[X] (m)","Region: Body 1.Ramp1: Skin Friction Coefficient","Region: Body 1.Ramp2: Position[X] (m)","Region: Body 1.Ramp2: Skin Friction Coefficient"
1.2143478528438658,119.90359743770514,2.504147698764818,2094.1818414864215
1.2138515756011077,119.95096878486605,2.504065349305024,963.9883520135705
1.2133552983498792,120.00350485745413,2.50397064748197,751.3492653871904
1.2128590210986563,120.05985880469946,2.5038617404580843,700.3414405806266
1.2123627438495577,120.11937646283576,2.5037364974777425,698.4497570457298
1.2118629534018244,120.18101395000707,2.503592468177229,703.7356859639431
1.2113666751890324,120.24412029962687,2.503426834651504,707.0419522665835
1.2108739121022951,120.30460645607413,2.5032363563198046,707.1940548878451
1.210377634851103,120.3641006071301,2.5030173065380072,707.2008365267747
1.209881357599912,120.42019539373197,2.5027653996788013,707.0906451284659
1.209385080357205,120.47168614798704,2.502475707307319,706.96396358613
1.2088888031060274,120.51757457321126,2.50214256177392,706.8435419475255
1.2083925258548558,120.55766567313678,2.501759445314695,706.7284259414845
1.2078908604323653,120.58863034459722,2.5013188625977163,706.605658909109
1.207394581713309,120.6160187318222,2.500812194075689,706.556165105464
1.2069036941098517,120.63392597932894,2.5001701507654412,706.4532853085146
1.2064074168587005,120.64829706440423,2.499607440122198,706.4717871331402
1.2059111396160336,120.6580560991559,2.4992242991888554,706.496107378771
1.2054148623648964,120.66435111265457,2.498841158251144,706.5075201304445
1.2049185851137652,120.66758298221107,2.4984580173156608,706.548600876688
1.2044223078626395,120.66878037358201,2.498074876382409,706.583385786784
1.2039260306197581,120.668046411448,2.4976917354469887,706.6735937210608
1.2034297533686467,120.66650947704342,2.4973085945104994,706.7623514050599
1.2029334761177715,120.66437697267263,2.4969254535751397,706.8624292011891
1.2024371988666713,120.661425145003,2.496542312640911,707.0048367752477
1.2019409216155723,120.65863052348784,2.496159171705614,707.1404483557612
1.2014446443729576,120.6556496800841,2.495776030770348,707.3059107154221
1.2009483671218728,120.65292595866639,2.495392889835113,707.5086101495274
1.200452089871853,120.64999495809707,2.495009748899909,707.7546800575916
1.1999558126161676,120.64891236260185,2.4946296661178917,707.9814974391627
1.1994595353725128,120.64964839401505,2.4942465267914353,708.20780243354
1.1989632581260674,120.6518712609226,2.493860326094484,708.4856406598806
1.1984669808750097,120.65416574208597,2.4934771851594055,708.766864318197
1.1979707036324356,120.6554544549853,2.4930940442243585,709.0306757001948
1.197474426381392,120.65579177783842,2.492710903289343,709.3116557623014
1.196978149130354,120.65550757156211,2.4923277623543596,709.5884994922795
1.1964858107256182,120.6544361603904,2.4919446214194076,709.8423616790185
1.19598953457261,120.6532029410026,2.4915614804844872,710.0837844368674
1.195489317385751,120.6514237640685,2.4911783395495988,710.3111877279428
1.1949930401347344,120.64984815177854,2.4907973536977286,710.5473954780213
1.1944967628837284,120.64820608514933,2.490414213905564,710.7039699754883
1.1940004856327235,120.64686595026181,2.4900289167451257,710.8996020133114
1.1935042083902028,120.64562971751641,2.489645775811465,711.0421451916161
1.193007931139212,120.6449543509745,2.4892626348767384,711.1720812771752
1.1925171054050814,120.64420733675182,2.488879493940943,711.3025245479414
1.1920208296670953,120.64519087187236,2.488496353008479,711.4194156509813
1.1915190993947495,120.64645863147507,2.4881132120738503,711.5173507366593
1.1910228221437853,120.64972600508969,2.4877300711370527,711.6213432939454
1.1905265448928224,120.65456658868975,2.487346930202487,711.7033269097101
1.1900302676503436,120.6613556809209,2.4869630073252136,711.7999414967361
1.1895339903993947,120.66995429497315,2.4865798659727893,711.8644546159301
