Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Y+
1.3725114,0.044850438
1.372312889,0.044848805
1.374496509,0.044860876
1.374297998,0.044860249
1.372709911,0.044851961
1.372114378,0.044847066
1.37469502,0.044861448
1.374099487,0.04485956
1.372908422,0.04485337
1.371915867,0.044845227
1.381843152,0.044786807
1.381642901,0.044790734
1.374893531,0.044861952
1.373900976,0.044858808
1.373106933,0.044854667
1.382041662,0.044783108
1.38144439,0.0447945
1.376680129,0.044860024
1.37687864,0.044858936
1.375092042,0.044862362
1.373702465,0.044857919
1.373305443,0.044855867
1.382238434,0.044779154
1.38124588,0.044798233
1.378268216,0.044846382
1.378466727,0.044843854
1.376481618,0.044860932
1.377077151,0.044857662
1.375290552,0.044862654
1.373503954,0.044856935
1.382436945,0.044775266
1.381048901,0.044802012
1.379657792,0.04482639
1.379459281,0.04482958
1.37806817,0.044848629
1.378665238,0.044841242
1.377275661,0.044856217
1.376283107,0.044861663
1.375489063,0.0448628
1.382635456,0.044771324
1.38085039,0.04480554
1.379856473,0.044823101
1.379260771,0.044832714
1.378862555,0.044838572
1.377869659,0.044850856
1.377474172,0.044854585
1.376084596,0.044862215
1.375687574,0.044862775
1.380650347,0.044809263
1.382833967,0.044767364
1.380054984,0.044819753
1.379061066,0.044835638
1.377672683,0.044852757
1.375886085,0.044862579
1.380451836,0.044812807
1.383032478,0.044763369
1.380253325,0.044816312
1.383230989,0.04475936
1.383429499,0.044755319
1.38362801,0.044751259
1.383826521,0.044747183
1.384025032,0.044743084
1.384223543,0.044738987
1.384422054,0.044734871
1.384620565,0.044730753
1.384819076,0.044726632
1.385017587,0.044722504
1.385216098,0.044718379
1.385414608,0.04471425
1.385613119,0.044710116
1.38581163,0.044705965
1.386010141,0.044701792
1.386208652,0.044697583
1.386407163,0.044693328
1.386605674,0.044689019
1.386804185,0.044684649
1.387002696,0.044680205
1.387201207,0.044675664
1.387399718,0.044671033
1.387598228,0.044666309
1.387796739,0.044661482
1.38799525,0.044656541
1.388193761,0.044651457
1.388389946,0.044646539
1.388588457,0.044641038
1.388789294,0.04463582
1.388987805,0.044630316
1.389186316,0.04462474
1.389383863,0.044619196
1.389582374,0.044613356
1.389781848,0.044607574
1.389980359,0.044601645
1.39017887,0.044595658
1.390377781,0.044589555
1.390576292,0.044583469
1.390774403,0.044577264
1.390972914,0.044571031
1.391171425,0.044564779
1.391371699,0.044558285
1.391570209,0.044552106
1.391766957,0.044545705
1.391965468,0.044539378
1.392163979,0.044533095
1.392364368,0.044526688
1.392562879,0.044520615
1.392759512,0.044514522
1.392958023,0.044508607
1.393156534,0.044502867
1.393355045,0.044497335
1.393553555,0.04449204
1.393752066,0.044487046
1.393950577,0.044482411
1.394149088,0.044478077
1.394347599,0.044474148
1.39454611,0.044470453
1.394744621,0.044467006
1.394943132,0.044463834
1.395141643,0.044460905
1.395340154,0.044458302
1.395538664,0.044456014
1.395737175,0.04445409
1.395935686,0.044452515
1.396134197,0.044451296
1.396332708,0.044450424
1.396531219,0.044449889
1.39672973,0.044449661
1.396928241,0.044449758
1.397126752,0.044450124
1.397325263,0.044450777
1.397523774,0.044451678
1.397722284,0.044452841
1.397918716,0.044454091
1.398117227,0.044455801
1.398317817,0.04445746
1.398516328,0.044459479
1.398714839,0.044461556
1.398911254,0.04446368
1.399109765,0.04446612
1.399310372,0.044468479
1.399508883,0.044471033
1.399707393,0.044473574
1.399905171,0.044476144
1.400103682,0.044478764
1.400302926,0.044481342
1.400501437,0.044483923
1.400699948,0.044486469
1.400899089,0.044489025
1.4010976,0.044491464
1.401295481,0.044493869
1.401493992,0.044496166
1.401692502,0.04449837
1.401893007,0.044500493
1.402091517,0.044502406
1.402288035,0.04450425
1.402486546,0.044505928
1.402685057,0.044507474
1.402885585,0.044508864
1.403084095,0.044510109
1.40328059,0.044511158
1.403479101,0.044512086
1.403677611,0.04451285
1.403876122,0.044513406
1.404074633,0.044513839
1.404273144,0.044514118
1.404471655,0.044514281
1.404670166,0.044514315
1.404868677,0.044514248
1.405067188,0.04451406
1.405265699,0.04451374
1.40546421,0.044513302
1.40566272,0.044512751
1.405861231,0.044512093
1.406059742,0.044511358
1.406258253,0.044510531
1.406456764,0.044509647
1.406655275,0.044508702
1.406853786,0.044507686
1.407052297,0.044506612
1.407250808,0.044505505
1.407449319,0.044504316
1.40764783,0.044503087
1.40784634,0.044501787
1.408044851,0.044500412
1.408243362,0.044498956
1.408439933,0.044497502
1.408638444,0.044495812
1.408838895,0.044494162
1.409037406,0.044492323
1.409235917,0.0444904
1.409432562,0.044488486
1.409631073,0.044486302
1.409831449,0.044484139
1.41002996,0.044481776
1.410228471,0.044479349
1.410426479,0.044476843
1.41062499,0.044474208
1.410824004,0.044471526
1.411022515,0.044468733
1.411221026,0.044465895
1.411420397,0.044462932
1.411618908,0.044460018
1.411816558,0.044456978
1.412015069,0.044453949
1.41221358,0.04445089
1.412414315,0.044447721
1.412612825,0.044444716
1.412809113,0.044441624
1.413007624,0.044438555
1.413206135,0.044435536
1.413404646,0.044432534
1.413603157,0.044429589
1.413801667,0.044426704
1.414000178,0.044423866
1.414198689,0.044421094
1.4143972,0.044418418
1.303231095,0.044978613
1.303429606,0.044977716
1.303628117,0.044976763
1.303826628,0.044975739
1.304025139,0.044974651
1.30422365,0.04497349
1.30442216,0.044972265
1.304620671,0.044970961
1.304819182,0.044969593
1.305017693,0.044968144
1.305214519,0.044966677
1.30541303,0.044965055
1.305613226,0.044963451
1.305811737,0.044961744
1.306010248,0.04496
1.306207317,0.044958253
1.306405828,0.044956378
1.30660578,0.044954539
1.310178977,0.044922063
1.309980466,0.044923616
1.312164086,0.044908771
1.311965575,0.044909966
1.306804291,0.044952657
1.310377487,0.044920549
1.309781955,0.04492522
1.312362597,0.044907586
1.311767064,0.044911181
1.307002802,0.044950758
1.308590889,0.044935618
1.308393663,0.044937473
1.310575998,0.044919092
1.309583444,0.044926856
1.312561107,0.044906406
1.311568553,0.044912408
1.307201234,0.044948851
1.324471762,0.044743613
1.325265805,0.044730971
1.325464316,0.044728221
1.324670272,0.044740223
1.314149195,0.044896748
1.314347706,0.044895462
1.308195152,0.044939303
1.3087894,0.04493381
1.309386523,0.044928548
1.310774509,0.044917671
1.31097302,0.044916296
1.311370042,0.044913676
1.312759618,0.044905227
1.311171531,0.044914965
1.307399745,0.044946929
1.322883674,0.044774803
1.323082185,0.044770651
1.324273251,0.044747148
1.325067294,0.044733889
1.325662827,0.044725592
1.324868783,0.044736983
1.313950684,0.044897999
1.314546216,0.044894168
1.307995357,0.044941221
1.308987911,0.044932024
1.309188012,0.044930244
1.312958129,0.044904052
1.307598335,0.04494502
1.320501544,0.044823596
1.320700054,0.044819824
1.322685163,0.044778992
1.323280696,0.04476654
1.32407474,0.04475081
1.325861338,0.044723105
1.313752173,0.044899241
1.314744727,0.044892831
1.31315664,0.044902862
1.307796846,0.044943111
1.320303033,0.044827285
1.320898565,0.044815971
1.322486653,0.044783198
1.323479207,0.044762483
1.323876229,0.044754601
1.326059849,0.044720787
1.316332815,0.044880561
1.316531325,0.044878752
1.317722542,0.044866325
1.317921053,0.04486395
1.313553662,0.044900457
1.314943238,0.044891457
1.313355151,0.044901665
1.320104522,0.04483087
1.321097076,0.044812052
1.322288142,0.044787401
1.323677718,0.044758499
1.326256015,0.04471867
1.316134304,0.044882309
1.316728625,0.044876938
1.31752388,0.044868621
1.318119413,0.044861451
1.315141749,0.044890053
1.31871646,0.044853317
1.318914971,0.044850512
1.321295587,0.044808062
1.319907739,0.044834445
1.329436279,0.044715452
1.329633045,0.044716942
1.322089631,0.044791599
1.328044958,0.044710355
1.32824385,0.044710547
1.326655381,0.044715127
1.326853892,0.044713768
1.326454526,0.044716829
1.315934247,0.044883919
1.316927136,0.04487493
1.318317924,0.044858868
1.317325369,0.044870825
1.31534026,0.044888596
1.319111967,0.044847453
1.318516434,0.044856195
1.321494098,0.044804013
1.319709228,0.044837732
1.329237768,0.04471429
1.329831556,0.044718454
1.32189112,0.044795773
1.327846447,0.044710383
1.328442361,0.044710884
1.327052403,0.044712624
1.33519135,0.044773781
1.334992839,0.044772061
1.315735736,0.044885588
1.317126858,0.044872957
1.315538771,0.044887088
1.332610709,0.044747261
1.332809219,0.044749501
1.321692609,0.044799919
1.319310478,0.044844355
1.319508989,0.04484116
1.329037512,0.044713159
1.330030067,0.044720127
1.327647936,0.044710604
1.32864049,0.044711482
1.327249933,0.044711725
1.335389861,0.04477543
1.334794328,0.044770255
1.332412198,0.044745029
1.33300773,0.044751717
1.331419643,0.044733985
1.331221132,0.044731847
1.328839001,0.044712203
1.330230445,0.044721943
1.327448444,0.04471108
1.335588372,0.044776993
1.334595818,0.044768404
1.332213687,0.044742797
1.333206241,0.044753923
1.331618154,0.044736159
1.331022621,0.044729757
1.330428956,0.04472369
1.335784793,0.044778424
1.334397307,0.044766483
1.332015176,0.044740564
1.333404752,0.044756115
1.331816665,0.04473835
1.33082411,0.044727689
1.3306256,0.04472571
1.335983304,0.044779841
1.334198796,0.044764506
1.339161568,0.044788136
1.339360079,0.044787746
1.333603263,0.044758269
1.334000285,0.044762475
1.337573481,0.044787276
1.337771241,0.044787715
1.336183905,0.044781115
1.338963669,0.044788412
1.33955859,0.044787249
1.333801774,0.044760392
1.33737497,0.044786705
1.337969752,0.044788054
1.336777323,0.04478435
1.336975834,0.044785259
1.336382416,0.044782309
1.338765158,0.044788545
1.339759076,0.044786591
1.337176459,0.044786026
1.338169014,0.044788315
1.336580927,0.044783386
1.338566036,0.044788569
1.339957587,0.044785895
1.338367525,0.044788486
1.340154123,0.044784969
1.340352634,0.044783988
1.340551145,0.044782886
1.340751661,0.044781629
1.340950172,0.044780366
1.341146677,0.044778881
1.341345188,0.04477736
1.341543699,0.044775718
1.34174221,0.044774002
1.341940721,0.044772195
1.342139232,0.044770311
1.342337743,0.044768362
1.342536254,0.044766353
1.342734765,0.044764308
1.342933275,0.044762215
1.343131786,0.044760099
1.343330297,0.04475796
1.343528808,0.04475582
1.343727319,0.044753668
1.34392583,0.04475153
1.344124341,0.044749412
1.344322852,0.04474733
1.344521363,0.044745289
1.344719874,0.044743291
1.344918384,0.044741355
1.345116895,0.044739484
1.345315406,0.044737669
1.345513917,0.044735956
1.345712428,0.044734278
1.345910939,0.044732652
1.34610945,0.044731095
1.34630601,0.04472964
1.346504521,0.044728329
1.346704983,0.044727141
1.346903493,0.044726158
1.347102004,0.044725316
1.347298631,0.044724612
1.347497142,0.044724099
1.347697537,0.044723632
1.347896048,0.044723358
1.348094559,0.044723187
1.348292549,0.044723171
1.34849106,0.044723276
1.348690092,0.044723496
1.348888602,0.044723862
1.349087113,0.044724331
1.349286466,0.044724952
1.349484977,0.044725629
1.349682646,0.044726498
1.349881157,0.044727408
1.350079668,0.044728423
1.350280384,0.044729568
1.350478895,0.044730704
1.350675201,0.044732055
1.350873712,0.044733353
1.351072222,0.044734707
1.351270733,0.0447361
1.351469244,0.044737491
1.351667755,0.044738885
1.351866266,0.044740241
1.352064777,0.044741557
1.352263288,0.044742804
1.352461799,0.044743983
1.35266031,0.044745076
1.352858821,0.044746028
1.353057331,0.044746899
1.353255842,0.044747602
1.353454353,0.044748141
1.353652864,0.044748548
1.353851375,0.044748804
1.354049886,0.044748899
1.354248397,0.044748815
1.354446908,0.044748509
1.354645419,0.044747969
1.35484393,0.044747219
1.35504244,0.044746288
1.355240951,0.044745187
1.355439462,0.044743933
1.355637973,0.044742572
1.355836484,0.044741087
1.356034995,0.04473952
1.356233506,0.044737881
1.356432017,0.044736193
1.356630528,0.04473446
1.356827226,0.044732732
1.357025737,0.044730955
1.35722606,0.044729191
1.357424571,0.044727456
1.357623082,0.04472579
1.357819939,0.044724095
1.35801845,0.044722421
1.358218615,0.044720754
1.358417126,0.044719206
1.358615637,0.044717805
1.358813857,0.044716558
1.359012368,0.044715467
1.359211169,0.044714501
1.35940968,0.044713667
1.359608191,0.044712961
1.359807774,0.044712391
1.360006285,0.044711917
1.360203724,0.044711666
1.360402235,0.044711511
1.360600746,0.044711502
1.360801692,0.044711695
1.361000203,0.044711864
1.361196278,0.044712425
1.361394789,0.044712973
1.3615933,0.044713715
1.361791811,0.044714589
1.361990322,0.044715632
1.362188833,0.044716809
1.362387344,0.044718157
1.362585855,0.044719632
1.362784366,0.044721255
1.362982877,0.044723015
1.363181387,0.044724904
1.363379898,0.044726925
1.363578409,0.044729069
1.36377692,0.044731344
1.363975431,0.04473371
1.364173942,0.044736195
1.364372453,0.044738772
1.364570964,0.044741445
1.364769475,0.044744202
1.364967986,0.04474702
1.365166496,0.044749909
1.365365007,0.044752848
1.365563518,0.044755835
1.365762029,0.044758855
1.36596054,0.044761906
1.366159051,0.044764985
1.366357562,0.044768082
1.366556073,0.044771206
1.366754584,0.044774331
1.366953095,0.044777469
1.367151605,0.044780625
1.367348443,0.044783654
1.367546954,0.04478687
1.367747138,0.044789928
