x (mm),P (Pa)
0,10600.6
3.036,14404.1
6.06900000000002,15237.5
9.09800000000001,15391.3
12.123,15410.6
15.145,15466.4
18.163,15505.8
21.178,15522.1
24.189,15526.2
27.196,15525.4
30.199,15522.7
33.199,15519.4
36.196,15515.8
39.188,15512
42.178,15508.3
45.163,15505
48.145,15502.2
51.123,15499.7
54.098,15497.3
57.069,15494.8
60.037,15492.3
63.001,15490
65.961,15487.8
68.918,15485.7
71.872,15483.5
74.821,15481.5
77.768,15479.6
80.71,15477.8
83.649,15476.1
86.585,15474.5
89.517,15472.9
92.446,15471.2
95.371,15469.8
98.292,15468.5
101.21,15467.4
104.124,15466.3
107.035,15465
109.943,15463.6
112.847,15462
115.747,15460.5
118.644,15459
121.537,15457.9
124.427,15457
127.314,15456.3
130.197,15455.6
133.076,15454.7
135.952,15453.5
138.825,15452.1
141.694,15450.6
144.56,15449.1
147.422,15447.9
150.281,15446.9
153.136,15446.1
155.988,15445.2
158.836,15444.4
161.681,15443.5
164.523,15442.5
167.361,15441.6
170.196,15440.7
173.027,15439.8
175.855,15439
178.68,15438.2
181.501,15437.4
184.319,15436.7
187.133,15436
189.944,15435.3
192.752,15434.6
195.556,15433.9
198.356,15433.2
201.154,15432.5
203.948,15431.9
206.739,15431.3
209.526,15430.7
212.31,15430.2
215.091,15429.7
217.868,15429.1
220.642,15428.6
223.412,15428
226.18,15427.4
228.944,15426.9
231.704,15426.3
234.461,15425.7
237.215,15425.2
239.966,15424.5
242.713,15423.9
245.457,15423.3
248.198,15422.8
250.935,15422.2
253.669,15421.9
256.4,15421.6
259.128,15421.4
261.852,15421.1
264.573,15420.9
267.291,15420.5
270.005,15420
272.716,15419.4
275.424,15418.9
278.129,15418.3
280.83,15417.7
283.528,15417.2
286.223,15416.8
288.914,15416.4
291.603,15416
294.288,15415.6
296.97,15415.4
299.648,15415.2
302.324,15414.9
304.996,15414.5
307.665,15414.3
310.331,15414
312.993,15413.6
315.653,15413.1
318.309,15412.7
320.962,15412.4
323.612,15412.1
326.258,15411.5
328.901,15411
331.542,15410.7
334.179,15410.5
336.813,15410.1
339.443,15409.6
342.071,15409.2
344.695,15409.1
347.316,15409
349.934,15408.7
352.549,15408.4
355.161,15408.1
357.769,15408
360.375,15408
362.977,15407.7
365.576,15407.2
368.172,15406.7
370.765,15406.3
373.355,15406.2
375.941,15405.9
378.525,15405.5
381.105,15404.9
383.683,15404.6
386.257,15404.4
388.828,15404.4
391.396,15404.2
393.961,15403.8
396.523,15403.3
399.082,15403
401.637,15402.9
404.19,15402.9
406.739,15402.7
409.286,15402.3
411.829,15401.8
414.369,15401.5
416.907,15401.4
419.441,15401.4
421.972,15401.3
421.972,15401.3
424.5,15401
427.025,15400.5
429.547,15400.1
432.066,15399.8
434.582,15399.8
437.095,15399.8
439.605,15399.7
442.112,15399.3
444.615,15398.8
447.116,15398.4
449.614,15398.3
452.109,15398.3
454.601,15398.3
457.089,15398.2
459.575,15397.8
462.058,15397.3
464.538,15396.9
467.015,15396.7
469.489,15396.7
471.959,15396.7
474.427,15396.6
476.892,15396.3
479.354,15395.8
481.813,15395.3
484.269,15395
486.722,15394.9
489.172,15394.9
491.619,15394.9
494.064,15394.8
496.505,15394.4
498.943,15394
501.379,15393.5
503.811,15393.2
506.241,15393.1
508.667,15393.2
511.091,15393.3
513.512,15393.3
515.929,15393.1
518.344,15392.7
520.756,15392.2
523.165,15391.9
525.572,15391.7
527.975,15391.8
530.375,15391.8
532.773,15391.9
535.168,15391.8
537.559,15391.5
539.948,15391.1
542.334,15390.6
544.717,15390.3
547.097,15390.1
549.475,15390.1
551.849,15390.2
551.849,15390.2
554.221,15390.3
556.59,15390.2
558.956,15389.9
561.319,15389.5
563.679,15389
566.037,15388.6
568.391,15388.4
570.743,15388.3
573.092,15388.4
575.438,15388.5
577.781,15388.6
580.122,15388.5
582.459,15388.2
584.794,15387.8
587.126,15387.4
589.455,15387
591.781,15386.8
594.105,15386.7
596.426,15386.8
598.744,15386.9
601.059,15387
603.371,15386.9
605.681,15386.7
607.988,15386.4
610.292,15386
612.593,15385.7
614.891,15385.4
617.187,15385.3
619.48,15385.3
621.77,15385.4
624.058,15385.6
