x (mm),Q (W/m2)
0,1958420
3.036,1675460
6.06900000000002,1292000
9.09800000000001,1071870
12.123,945768
15.145,933822
18.163,920432
21.178,902860
24.189,884458
27.196,867035
30.199,851237
33.199,837094
36.196,824409
39.188,812967
42.178,802560
45.163,793042
48.145,784299
51.123,776214
54.098,768682
57.069,761633
60.037,755025
63.001,748814
65.961,742953
68.918,737402
71.872,732134
74.821,727128
77.768,722365
80.71,717826
83.649,713490
86.585,709337
89.517,705350
92.446,701522
95.371,697847
98.292,694317
101.21,690923
104.124,687650
107.035,684483
109.943,681414
112.847,678438
115.747,675552
118.644,672759
121.537,670064
124.427,667460
127.314,664936
130.197,662483
133.076,660091
135.952,657752
138.825,655464
141.694,653231
144.56,651055
147.422,648940
150.281,646885
153.136,644885
155.988,642933
158.836,641024
161.681,639155
164.523,637326
167.361,635538
170.196,633790
173.027,632080
175.855,630407
178.68,628768
181.501,627164
184.319,625592
187.133,624050
189.944,622537
192.752,621052
195.556,619596
198.356,618166
201.154,616763
203.948,615386
206.739,614034
209.526,612709
212.31,611407
215.091,610126
217.868,608866
220.642,607627
223.412,606406
226.18,605206
228.944,604025
231.704,602862
234.461,601716
237.215,600587
239.966,599473
242.713,598374
245.457,597294
248.198,596231
250.935,595184
253.669,594157
256.4,593149
259.128,592156
261.852,591176
264.573,590210
267.291,589254
270.005,588302
272.716,587362
275.424,586436
278.129,585521
280.83,584616
283.528,583726
286.223,582852
288.914,581988
291.603,581133
294.288,580292
296.97,579465
299.648,578648
302.324,577836
304.996,577033
307.665,576243
310.331,575463
312.993,574684
315.653,573912
318.309,573152
320.962,572405
323.612,571664
326.258,570925
328.901,570195
331.542,569479
334.179,568774
336.813,568071
339.443,567372
342.071,566682
344.695,566009
347.316,565345
349.934,564683
352.549,564023
355.161,563372
357.769,562735
360.375,562106
362.977,561475
365.576,560841
368.172,560210
370.765,559590
373.355,558981
375.941,558375
378.525,557769
381.105,557164
383.683,556569
386.257,555987
388.828,555415
391.396,554843
393.961,554268
396.523,553694
399.082,553129
401.637,552578
404.19,552034
406.739,551490
409.286,550943
411.829,550396
414.369,549858
416.907,549333
419.441,548817
421.972,548302
421.972,548302
424.5,547783
427.025,547262
429.547,546745
432.066,546240
434.582,545747
437.095,545260
439.605,544770
442.112,544276
444.615,543781
447.116,543292
449.614,542815
452.109,542349
454.601,541888
457.089,541424
459.575,540955
462.058,540484
464.538,540019
467.015,539565
469.489,539121
471.959,538683
474.427,538244
476.892,537801
479.354,537354
481.813,536908
484.269,536471
486.722,536044
489.172,535628
491.619,535215
494.064,534799
496.505,534379
498.943,533956
501.379,533536
503.811,533123
506.241,532722
508.667,532330
511.091,531942
513.512,531552
515.929,531158
518.344,530760
520.756,530361
523.165,529969
525.572,529585
527.975,529210
530.375,528842
532.773,528474
535.168,528103
537.559,527728
539.948,527350
542.334,526973
544.717,526602
547.097,526240
549.475,525886
551.849,525538
551.849,525538
554.221,525191
556.59,524841
558.956,524487
561.319,524129
563.679,523772
566.037,523419
568.391,523073
570.743,522736
573.092,522407
575.438,522081
577.781,521756
580.122,521426
582.459,521093
584.794,520757
587.126,520421
589.455,520089
591.781,519763
594.105,519446
596.426,519135
598.744,518829
601.059,518523
603.371,518214
605.681,517901
607.988,517586
610.292,517270
612.593,516956
614.891,516646
617.187,516344
619.48,516049
621.77,515759
624.058,515472
626.342,515184
628.624,514892
630.904,514596
633.18,514297
635.454,513996
637.725,513697
639.993,513403
642.258,513115
644.521,512834
646.781,512561
649.039,512291
651.293,512022
653.545,511751
655.794,511477
658.041,511198
660.284,510917
662.525,510636
664.764,510355
666.999,510079
669.232,509809
671.463,509547
673.69,509291
673.69,509291
675.915,509040
678.137,508790
680.357,508539
682.574,508284
684.788,508024
687,507761
689.208,507495
691.415,507229
693.618,506966
695.819,506706
698.017,506454
700.213,506208
702.406,505970
704.596,505736
706.784,505504
708.969,505272
711.151,505035
713.331,504794
715.508,504549
717.683,504300
719.855,504049
722.024,503799
724.191,503551
726.355,503308
728.516,503071
730.675,502842
732.832,502621
734.985,502404
737.136,502190
739.285,501975
741.431,501757
743.574,501535
745.715,501308
747.853,501077
749.988,500842
752.121,500607
754.252,500371
756.38,500138
758.505,499910
760.628,499688
762.748,499474
764.866,499268
766.981,499067
769.093,498869
771.203,498672
773.311,498474
775.416,498271
777.518,498064
779.618,497852
781.715,497636
783.81,497416
785.902,497195
787.992,496973
790.079,496753
792.164,496537
794.246,496327
796.326,496124
798.403,495929
800.478,495741
802.55,495557
804.62,495375
806.687,495193
808.752,495010
810.814,494824
812.874,494633
814.931,494439
816.986,494240
819.038,494037
821.088,493832
823.135,493624
825.18,493416
827.222,493211
829.262,493010
831.3,492815
833.335,492627
835.368,492445
837.398,492270
839.426,492098
841.451,491930
843.474,491763
845.494,491595
847.512,491425
849.528,491254
851.541,491079
853.551,490900
855.56,490718
857.566,490531
859.569,490340
861.57,490148
863.57,489954
865.56,489762
867.56,489574
869.55,489390
871.54,489211
873.53,489038
875.51,488871
877.49,488707
879.47,488548
881.45,488391
883.42,488237
885.4,488083
887.36,487930
889.33,487776
891.3,487620
893.26,487461
895.22,487298
897.18,487131
899.13,486960
901.09,486785
903.04,486607
904.99,486428
906.93,486251
908.88,486075
910.82,485902
912.76,485733
914.7,485567
