x (mm),P (Pa)
0,10648.5
1.517,14472.5
3.03399999999999,15291.9
4.54900000000001,15420.3
6.06399999999999,15412.7
7.57799999999997,15459.2
9.09,15532.1
10.602,15580
12.113,15594.4
13.623,15592.4
15.132,15585.7
16.641,15578.7
18.148,15572.3
19.654,15566.6
21.16,15561.3
22.664,15556.4
24.168,15551.8
25.671,15547.6
27.173,15543.8
28.674,15540.3
30.174,15537
31.673,15533.9
33.171,15531
34.669,15528.3
36.165,15525.8
37.661,15523.5
39.155,15521.3
40.649,15519.3
42.142,15517.3
43.634,15515.4
45.125,15513.4
46.615,15511.5
48.105,15509.7
49.593,15507.9
51.081,15506.3
52.567,15504.9
54.053,15503.6
55.538,15502.2
57.022,15500.9
58.505,15499.6
59.987,15498.3
61.468,15497.1
62.948,15496
64.428,15494.9
65.906,15493.8
67.384,15492.6
68.861,15491.3
70.337,15490
71.812,15488.8
73.286,15487.7
74.759,15486.6
76.231,15485.7
77.703,15484.8
79.173,15484
80.643,15483.1
82.112,15482.2
83.58,15481.3
85.047,15480.4
86.513,15479.4
87.978,15478.6
89.443,15477.8
90.906,15477
92.369,15476.2
93.831,15475.4
95.291,15474.7
96.751,15473.9
98.211,15473.1
99.669,15472.3
101.126,15471.6
102.583,15470.9
104.038,15470.3
105.493,15469.6
106.947,15468.9
108.4,15468.2
109.852,15467.5
111.303,15466.8
112.753,15466.1
114.203,15465.3
115.651,15464.7
117.099,15464.1
118.546,15463.5
119.992,15463
121.437,15462.6
122.881,15462.1
124.325,15461.6
125.767,15461.1
127.209,15460.5
128.65,15459.9
130.09,15459.3
131.529,15458.7
132.967,15458.1
134.404,15457.5
135.841,15457
137.276,15456.5
138.711,15456
140.145,15455.6
140.145,15455.6
141.578,15455
143.01,15454.4
144.441,15453.7
145.872,15452.9
147.301,15452.2
148.73,15451.6
150.158,15451.1
151.585,15450.7
153.011,15450.4
154.436,15450
155.86,15449.7
157.284,15449.3
158.707,15448.9
160.128,15448.4
161.549,15447.9
162.969,15447.5
164.389,15447
165.807,15446.6
167.225,15446.3
168.641,15445.9
170.057,15445.5
171.472,15445.1
172.886,15444.7
174.3,15444.4
175.712,15444
177.124,15443.6
178.534,15443.2
179.944,15442.8
181.353,15442.4
182.761,15442.1
184.169,15441.7
185.575,15441.4
186.981,15441
188.386,15440.6
189.79,15440.3
191.193,15439.9
192.595,15439.6
193.997,15439.3
195.397,15438.9
196.797,15438.6
198.196,15438.3
199.594,15438
200.991,15437.7
202.387,15437.4
203.783,15437.1
205.178,15436.8
206.571,15436.5
207.964,15436.1
209.357,15435.8
209.357,15435.8
210.748,15435.4
212.138,15435
213.528,15434.6
214.917,15434.3
216.305,15434.1
217.692,15433.9
219.078,15433.7
220.464,15433.5
221.849,15433.3
223.232,15433.1
224.615,15432.9
225.997,15432.6
227.379,15432.3
228.759,15432
230.139,15431.6
231.518,15431.3
232.896,15431
234.273,15430.7
235.649,15430.4
237.025,15430.2
238.399,15429.9
239.773,15429.6
241.146,15429.4
242.519,15429.1
242.519,15429.1
243.89,15428.9
245.26,15428.7
246.63,15428.6
247.999,15428.4
249.367,15428.2
250.734,15428
252.101,15427.7
253.466,15427.4
254.831,15427.1
256.195,15426.7
257.558,15426.4
258.921,15426
260.282,15425.8
261.643,15425.5
263.003,15425.4
264.362,15425.3
265.72,15425.2
267.077,15425.1
268.434,15424.9
269.79,15424.7
271.145,15424.5
272.499,15424.2
273.852,15424
275.205,15423.7
276.556,15423.5
277.907,15423.2
279.257,15423
280.607,15422.9
281.955,15422.7
283.303,15422.5
284.65,15422.3
285.996,15422.1
287.341,15421.9
288.685,15421.7
290.029,15421.4
291.372,15421.2
292.714,15421
294.055,15420.8
295.395,15420.7
296.735,15420.5
298.073,15420.4
299.411,15420.2
300.748,15420.1
302.085,15420
303.42,15419.8
304.755,15419.7
306.089,15419.5
307.422,15419.3
308.754,15419
310.086,15418.8
311.417,15418.6
312.747,15418.3
314.076,15418.1
315.404,15417.8
316.731,15417.6
318.058,15417.4
319.384,15417.3
320.709,15417.1
322.033,15417
323.357,15416.8
324.68,15416.7
326.002,15416.6
327.323,15416.4
328.643,15416.3
329.963,15416.2
331.281,15416
332.599,15415.9
333.916,15415.8
335.233,15415.6
336.548,15415.5
337.863,15415.3
337.863,15415.3
339.177,15415.2
