x (mm),Q (W/m2)
0,2974030
1.012,2490450
2.02300000000002,1799790
3.03299999999999,1434730
4.04400000000001,1190580
5.054,1064500
6.06299999999999,1019880
7.072,1026850
8.08099999999999,1048090
9.089,1057130
10.097,1050050
11.104,1034660
12.112,1017400
13.118,1000940
14.124,985935
15.13,972355
16.136,960011
17.141,948701
18.146,938256
19.15,928548
19.15,928548
20.154,919482
21.157,910983
22.16,902995
23.163,895473
24.165,888374
25.167,881660
26.168,875297
27.169,869254
28.17,863505
29.17,858024
30.17,852790
31.169,847785
32.168,842991
33.167,838391
34.165,833969
35.163,829713
36.16,825609
37.157,821651
38.154,817829
39.15,814133
40.146,810556
41.142,807087
42.137,803719
43.131,800448
44.125,797270
45.119,794182
46.113,791180
47.106,788262
48.098,785420
49.091,782650
50.082,779946
51.074,777306
52.065,774727
53.055,772209
54.046,769750
55.036,767347
56.025,764997
57.014,762696
58.003,760442
58.991,758233
59.979,756072
60.966,753959
61.953,751890
62.94,749863
63.926,747873
64.912,745919
65.898,743999
66.883,742112
67.867,740258
68.852,738434
69.836,736642
70.819,734881
71.802,733150
72.785,731450
73.767,729781
74.749,728142
75.731,726530
76.712,724944
77.693,723382
78.673,721842
79.653,720326
80.633,718831
81.612,717358
82.59,715908
83.569,714480
84.547,713072
85.524,711685
86.502,710318
87.478,708969
88.455,707638
89.431,706326
90.407,705033
91.382,703757
92.357,702497
93.331,701254
94.305,700027
95.279,698814
96.252,697617
97.225,696435
98.198,695269
99.17,694118
100.142,692982
101.113,691860
102.084,690753
103.054,689658
104.025,688576
104.994,687505
105.964,686445
106.933,685396
107.901,684358
108.87,683332
109.837,682319
110.805,681320
111.772,680333
112.739,679359
113.705,678396
114.671,677441
115.636,676494
116.602,675554
117.566,674621
118.531,673697
119.495,672783
120.458,671879
121.421,670987
122.384,670107
123.347,669237
124.309,668376
125.27,667523
126.232,666677
127.192,665838
128.153,665006
129.113,664181
130.073,663363
131.032,662553
131.991,661751
131.991,661751
132.95,660957
133.908,660170
134.866,659390
135.823,658617
136.78,657851
137.737,657091
138.693,656340
139.649,655595
140.604,654858
141.559,654127
142.514,653401
143.469,652678
144.422,651958
145.376,651241
146.329,650531
147.282,649830
148.235,649138
149.187,648457
150.138,647784
151.09,647117
152.04,646454
152.991,645793
153.941,645134
154.891,644478
155.84,643827
156.789,643182
157.738,642544
158.686,641914
159.634,641288
160.581,640668
161.529,640052
162.475,639439
163.422,638830
164.368,638226
165.313,637626
166.258,637031
167.203,636440
168.148,635855
169.092,635273
170.035,634695
170.979,634121
171.922,633551
172.864,632984
173.806,632422
174.748,631864
175.689,631310
176.63,630761
177.571,630215
178.511,629673
179.451,629134
180.391,628599
181.33,628067
182.269,627538
183.207,627013
184.145,626492
185.083,625973
186.02,625459
186.02,625459
186.957,624948
187.893,624441
188.83,623936
189.765,623436
190.701,622938
191.636,622444
192.57,621952
193.505,621464
194.439,620978
195.372,620496
196.305,620016
197.238,619539
198.17,619065
199.102,618594
200.034,618126
200.965,617661
201.896,617200
202.827,616741
203.757,616285
204.687,615831
205.616,615379
206.545,614930
207.474,614483
208.402,614038
209.33,613597
210.257,613159
211.185,612724
212.111,612293
213.038,611864
213.964,611439
214.89,611015
215.815,610593
216.74,610171
217.664,609751
218.589,609332
219.512,608915
220.436,608500
221.359,608087
222.282,607678
223.204,607271
224.126,606868
225.048,606468
225.969,606071
226.89,605677
227.81,605285
228.73,604894
229.65,604506
230.569,604119
231.488,603733
232.407,603349
233.325,602967
234.243,602587
235.161,602209
236.078,601833
236.995,601459
237.911,601087
238.827,600718
239.743,600350
240.658,599984
241.573,599621
242.488,599258
243.402,598898
244.316,598538
245.229,598180
246.143,597823
247.055,597467
247.968,597113
248.88,596761
249.791,596410
250.703,596062
251.614,595716
252.524,595373
253.434,595032
254.344,594693
255.254,594356
256.163,594020
257.072,593686
257.98,593352
258.888,593019
259.796,592687
260.703,592356
261.61,592027
262.516,591699
263.423,591373
264.329,591049
265.234,590727
266.139,590407
267.044,590088
267.948,589771
268.852,589455
269.756,589141
270.659,588827
271.562,588515
272.465,588204
273.367,587895
274.269,587587
275.17,587280
276.071,586975
276.972,586672
277.872,586370
278.773,586068
279.672,585769
280.572,585470
281.47,585172
282.369,584876
283.267,584581
284.165,584287
285.063,583995
285.96,583704
286.857,583414
287.753,583126
288.649,582839
289.545,582553
290.44,582268
291.335,581984
292.23,581702
293.124,581421
294.018,581140
294.912,580861
295.805,580582
296.698,580305
297.59,580029
298.482,579754
299.374,579480
300.265,579207
301.156,578936
