x (mm),Q (W/m2)
0,2.48E+06
1.517,2.09E+06
3.03399999999999,1.53E+06
4.54900000000001,1.21E+06
6.06399999999999,1.03E+06
7.57799999999997,1.01E+06
9.09,1.03E+06
10.602,1.03E+06
12.113,1.01E+06
13.623,9.91E+05
15.132,9.72E+05
16.641,9.54E+05
18.148,9.38E+05
19.654,9.24E+05
21.16,9.11E+05
22.664,8.99E+05
24.168,8.88E+05
25.671,8.78E+05
27.173,8.69E+05
28.674,8.61E+05
30.174,8.53E+05
31.673,8.45E+05
33.171,8.38E+05
34.669,8.32E+05
36.165,8.25E+05
37.661,8.20E+05
39.155,8.14E+05
40.649,8.09E+05
42.142,8.04E+05
43.634,7.99E+05
45.125,7.94E+05
46.615,7.90E+05
48.105,7.85E+05
49.593,7.81E+05
51.081,7.77E+05
52.567,7.73E+05
54.053,7.70E+05
55.538,7.66E+05
57.022,7.62E+05
58.505,7.59E+05
59.987,7.56E+05
61.468,7.53E+05
62.948,7.50E+05
64.428,7.47E+05
65.906,7.44E+05
67.384,7.41E+05
68.861,7.38E+05
70.337,7.36E+05
71.812,7.33E+05
73.286,7.30E+05
74.759,7.28E+05
76.231,7.26E+05
77.703,7.23E+05
79.173,7.21E+05
80.643,7.19E+05
82.112,7.16E+05
83.58,7.14E+05
85.047,7.12E+05
86.513,7.10E+05
87.978,7.08E+05
89.443,7.06E+05
90.906,7.04E+05
92.369,7.02E+05
93.831,7.00E+05
95.291,6.99E+05
96.751,6.97E+05
98.211,6.95E+05
99.669,6.93E+05
101.126,6.92E+05
102.583,6.90E+05
104.038,6.88E+05
105.493,6.87E+05
106.947,6.85E+05
108.4,6.84E+05
109.852,6.82E+05
111.303,6.81E+05
112.753,6.79E+05
114.203,6.78E+05
115.651,6.76E+05
117.099,6.75E+05
118.546,6.73E+05
119.992,6.72E+05
121.437,6.71E+05
122.881,6.69E+05
124.325,6.68E+05
125.767,6.67E+05
127.209,6.66E+05
128.65,6.64E+05
130.09,6.63E+05
131.529,6.62E+05
132.967,6.61E+05
134.404,6.60E+05
135.841,6.58E+05
137.276,6.57E+05
138.711,6.56E+05
140.145,6.55E+05
140.145,6.55E+05
141.578,6.54E+05
143.01,6.53E+05
144.441,6.52E+05
145.872,6.51E+05
147.301,6.50E+05
148.73,6.49E+05
150.158,6.48E+05
151.585,6.47E+05
153.011,6.46E+05
154.436,6.45E+05
155.86,6.44E+05
157.284,6.43E+05
158.707,6.42E+05
160.128,6.41E+05
161.549,6.40E+05
162.969,6.39E+05
164.389,6.38E+05
165.807,6.37E+05
167.225,6.36E+05
168.641,6.35E+05
170.057,6.34E+05
171.472,6.34E+05
172.886,6.33E+05
174.3,6.32E+05
175.712,6.31E+05
177.124,6.30E+05
178.534,6.29E+05
179.944,6.29E+05
181.353,6.28E+05
182.761,6.27E+05
184.169,6.26E+05
185.575,6.25E+05
186.981,6.25E+05
188.386,6.24E+05
189.79,6.23E+05
191.193,6.22E+05
192.595,6.22E+05
193.997,6.21E+05
195.397,6.20E+05
196.797,6.20E+05
198.196,6.19E+05
199.594,6.18E+05
200.991,6.17E+05
202.387,6.17E+05
203.783,6.16E+05
205.178,6.15E+05
206.571,6.15E+05
207.964,6.14E+05
209.357,6.13E+05
209.357,6.13E+05
210.748,6.13E+05
212.138,6.12E+05
213.528,6.11E+05
214.917,6.11E+05
216.305,6.10E+05
217.692,6.10E+05
219.078,6.09E+05
220.464,6.08E+05
221.849,6.08E+05
