x(mm),Q (W/m2)
0,1691500
1.012,1423690
2.02300000000002,1066880
3.03299999999999,920250
4.04400000000001,843985
5.054,810169
6.06299999999999,780484
7.072,752893
8.08099999999999,728785
9.089,708137
10.097,690394
11.104,675000
12.112,661496
13.118,649519
14.124,638787
15.13,629083
16.136,620238
17.141,612120
18.146,604626
19.15,597672
20.154,591192
21.157,585127
22.16,579433
23.163,574070
24.165,569006
25.167,564210
26.168,559660
27.169,555332
28.17,551209
29.17,547274
30.17,543511
31.169,539908
32.168,536452
33.167,533133
34.165,529941
35.163,526869
36.16,523908
37.157,521051
38.154,518292
39.15,515625
40.146,513045
41.142,510546
42.137,508124
43.131,505775
44.125,503496
45.119,501283
46.113,499131
47.106,497039
48.098,495003
49.091,493020
50.082,491088
51.074,489205
52.065,487368
53.055,485576
54.046,483826
55.036,482118
56.025,480448
57.014,478817
58.003,477221
58.991,475661
59.979,474133
60.966,472638
61.953,471173
62.94,469738
63.926,468332
64.912,466954
65.898,465604
66.883,464279
67.867,462980
68.852,461705
69.836,460453
70.819,459223
71.802,458015
72.785,456828
73.767,455661
74.749,454514
75.731,453387
76.712,452279
77.693,451189
78.673,450117
79.653,449062
80.633,448024
81.612,447002
82.59,445995
83.569,445004
84.547,444027
85.524,443064
86.502,442116
87.478,441182
88.455,440263
89.431,439356
90.407,438463
91.382,437582
92.357,436712
93.331,435854
94.305,435008
95.279,434173
96.252,433349
97.225,432536
98.198,431734
99.17,430941
100.142,430158
101.113,429386
102.084,428623
103.054,427869
104.025,427125
104.994,426391
105.964,425665
106.933,424948
107.901,424239
108.87,423538
109.837,422844
110.805,422158
111.772,421480
112.739,420809
113.705,420145
114.671,419490
115.636,418843
116.602,418203
117.566,417570
118.531,416944
119.495,416324
120.458,415711
121.421,415103
122.384,414502
123.347,413907
124.309,413318
125.27,412735
126.232,412157
127.192,411585
128.153,411019
129.113,410458
130.073,409902
131.032,409352
131.991,408807
132.95,408266
133.908,407732
134.866,407202
135.823,406677
136.78,406158
137.737,405643
138.693,405133
139.649,404628
140.604,404127
141.559,403631
142.514,403139
143.469,402651
144.422,402167
145.376,401687
146.329,401210
147.282,400737
148.235,400268
149.187,399804
150.138,399344
151.09,398888
152.04,398436
152.991,397989
153.941,397545
154.891,397105
155.84,396667
156.789,396233
157.738,395803
158.686,395375
159.634,394951
160.581,394531
161.529,394114
162.475,393700
163.422,393290
164.368,392882
