x(mm),Q (W/m2)
418.224,326868
419.068,326762
419.911,326657
420.755,326551
421.597,326446
422.44,326342
423.282,326238
424.123,326134
424.965,326030
425.806,325926
426.646,325823
427.487,325720
428.327,325618
429.166,325516
430.006,325414
430.845,325312
431.683,325210
432.522,325109
433.36,325008
434.197,324908
435.035,324807
435.872,324707
436.708,324607
437.545,324507
438.381,324408
439.216,324309
440.052,324210
440.886,324112
441.721,324014
442.555,323916
443.389,323818
444.223,323720
445.056,323623
445.889,323526
446.722,323429
447.554,323333
448.386,323236
449.218,323140
450.049,323045
450.88,322949
451.711,322854
452.541,322759
453.371,322664
454.2,322570
455.03,322476
455.859,322382
456.687,322288
457.516,322195
458.344,322102
459.171,322009
459.998,321916
460.825,321824
461.652,321732
462.478,321639
463.304,321548
464.13,321456
464.955,321364
465.78,321273
466.605,321182
467.429,321091
468.253,321000
469.077,320910
469.9,320820
470.723,320730
471.546,320640
472.368,320551
473.19,320462
474.012,320373
474.833,320284
475.654,320196
476.475,320107
477.295,320019
478.115,319932
478.935,319844
479.754,319757
480.573,319670
481.392,319583
482.21,319496
483.028,319410
483.846,319323
484.664,319237
485.481,319151
486.297,319066
487.114,318980
487.93,318895
488.746,318810
489.561,318725
490.376,318640
491.191,318556
492.005,318471
492.819,318387
493.633,318303
494.447,318219
495.26,318136
496.073,318053
496.885,317969
497.697,317886
498.509,317803
499.321,317721
500.132,317639
500.943,317556
501.753,317474
502.563,317393
503.373,317311
504.183,317230
504.992,317149
505.801,317068
506.61,316987
507.418,316907
508.226,316826
509.033,316746
509.841,316666
510.648,316586
511.454,316507
512.261,316427
513.067,316348
513.872,316269
514.678,316190
515.483,316111
516.287,316032
517.092,315954
517.896,315875
518.7,315797
519.503,315719
520.306,315641
521.109,315564
521.911,315486
522.713,315409
523.515,315332
524.317,315255
525.118,315179
525.919,315102
526.719,315026
527.519,314950
528.319,314874
529.119,314798
529.918,314722
530.717,314647
531.515,314572
532.314,314497
533.112,314422
533.909,314347
534.707,314272
535.504,314198
536.3,314123
537.097,314049
537.893,313975
538.688,313901
539.484,313828
540.279,313754
541.073,313680
541.868,313607
542.662,313534
543.456,313461
544.249,313388
545.043,313316
545.835,313243
546.628,313171
547.42,313099
548.212,313027
549.004,312955
549.795,312883
550.586,312812
550.586,312812
551.376,312740
552.167,312669
552.957,312598
553.746,312527
554.536,312457
555.325,312386
556.113,312316
556.902,312245
557.69,312175
558.478,312106
559.265,312036
560.052,311966
560.839,311897
561.625,311827
562.412,311758
563.198,311689
563.983,311619
564.768,311551
565.553,311482
566.338,311413
567.122,311345
567.906,311276
568.69,311208
569.473,311140
570.256,311072
571.039,311004
571.821,310936
572.603,310869
573.385,310802
574.167,310735
574.948,310668
575.729,310601
576.509,310534
577.289,310467
578.069,310401
578.849,310334
579.628,310268
580.407,310202
581.186,310136
581.964,310070
582.742,310005
583.52,309939
584.297,309874
585.074,309808
585.851,309743
586.628,309678
587.404,309613
588.18,309548
588.955,309484
589.73,309419
590.505,309355
591.28,309291
592.054,309226
592.828,309162
593.602,309098
594.375,309035
595.148,308971
595.921,308908
596.693,308844
597.465,308781
598.237,308718
599.009,308655
599.78,308592
600.551,308529
601.321,308466
602.092,308404
602.862,308341
603.631,308279
604.401,308217
605.17,308155
605.938,308093
606.707,308031
607.475,307969
608.243,307908
609.01,307846
609.777,307785
610.544,307723
611.311,307662
612.077,307601
612.843,307541
613.608,307480
614.374,307419
615.139,307359
615.904,307298
616.668,307238
617.432,307177
618.196,307117
618.959,307057
619.723,306997
620.485,306938
621.248,306878
622.01,306819
622.772,306760
623.534,306700
624.295,306641
625.056,306582
625.817,306523
626.577,306464
627.338,306405
628.097,306347
628.857,306288
629.616,306230
630.375,306172
631.134,306114
631.892,306056
632.65,305998
633.408,305940
634.165,305882
634.922,305824
635.679,305766
636.435,305709
637.191,305652
637.947,305594
638.703,305537
639.458,305480
640.213,305424
640.968,305367
641.722,305310
642.476,305253
643.23,305196
643.983,305140
644.736,305084
645.489,305027
646.242,304971
646.994,304915
647.746,304860
648.498,304804
649.249,304748
650,304693
650.751,304637
651.501,304581
652.251,304526
653.001,304471
653.751,304416
654.5,304361
655.249,304306
655.997,304251
656.746,304196
657.494,304142
658.241,304087
658.989,304033
659.736,303979
660.483,303924
661.229,303870
661.976,303816
662.721,303762
663.467,303708
664.212,303654
664.957,303601
665.702,303547
666.447,303494
667.191,303440
667.935,303387
668.678,303334
669.421,303281
670.164,303227
670.907,303174
671.649,303121
672.391,303069
673.133,303016
673.874,302964
674.616,302911
675.356,302859
676.097,302807
676.837,302754
677.577,302702
678.317,302650
679.056,302598
679.795,302546
680.534,302494
681.273,302443
682.011,302391
682.749,302340
683.486,302288
684.223,302237
684.96,302186
685.697,302135
686.434,302084
687.17,302033
687.906,301982
688.641,301931
689.376,301880
690.111,301830
690.846,301779
691.58,301729
692.314,301679
693.048,301629
693.781,301578
694.515,301528
695.247,301478
695.98,301428
696.712,301379
697.444,301329
698.176,301279
698.907,301229
699.638,301179
700.369,301130
701.1,301080
701.83,301031
702.56,300982
703.29,300933
704.019,300884
704.748,300835
705.477,300786
706.205,300737
706.933,300688
707.661,300640
708.389,300591
709.116,300542
709.843,300494
710.57,300445
711.296,300397
