x(mm),Q (W/m2)
0,1.14E+06
3.036,9.87E+05
6.06900000000002,7.75E+05
9.09800000000001,6.44E+05
12.123,5.67E+05
15.145,5.54E+05
18.163,5.44E+05
21.178,5.33E+05
24.189,5.22E+05
27.196,5.11E+05
30.199,5.02E+05
33.199,4.94E+05
36.196,4.86E+05
39.188,4.79E+05
42.178,4.73E+05
45.163,4.68E+05
48.145,4.62E+05
51.123,4.58E+05
54.098,4.53E+05
57.069,4.49E+05
60.037,4.45E+05
63.001,4.41E+05
65.961,4.38E+05
68.918,4.35E+05
71.872,4.32E+05
74.821,4.29E+05
77.768,4.26E+05
80.71,4.23E+05
83.649,4.21E+05
86.585,4.18E+05
89.517,4.16E+05
92.446,4.14E+05
95.371,4.11E+05
98.292,4.09E+05
101.21,4.07E+05
104.124,4.05E+05
107.035,4.03E+05
109.943,4.02E+05
112.847,4.00E+05
115.747,3.98E+05
118.644,3.97E+05
121.537,3.95E+05
124.427,3.93E+05
127.314,3.92E+05
130.197,3.90E+05
133.076,3.89E+05
135.952,3.88E+05
138.825,3.86E+05
141.694,3.85E+05
144.56,3.84E+05
147.422,3.83E+05
150.281,3.81E+05
153.136,3.80E+05
155.988,3.79E+05
158.836,3.78E+05
161.681,3.77E+05
164.523,3.76E+05
167.361,3.75E+05
170.196,3.74E+05
173.027,3.73E+05
175.855,3.72E+05
178.68,3.71E+05
181.501,3.70E+05
184.319,3.69E+05
187.133,3.68E+05
189.944,3.67E+05
192.752,3.66E+05
195.556,3.65E+05
198.356,3.64E+05
201.154,3.64E+05
203.948,3.63E+05
206.739,3.62E+05
209.526,3.61E+05
212.31,3.60E+05
215.091,3.60E+05
217.868,3.59E+05
220.642,3.58E+05
223.412,3.58E+05
226.18,3.57E+05
228.944,3.56E+05
231.704,3.55E+05
234.461,3.55E+05
237.215,3.54E+05
239.966,3.53E+05
242.713,3.53E+05
245.457,3.52E+05
248.198,3.52E+05
250.935,3.51E+05
253.669,3.50E+05
256.4,3.50E+05
259.128,3.49E+05
261.852,3.49E+05
264.573,3.48E+05
267.291,3.47E+05
270.005,3.47E+05
272.716,3.46E+05
275.424,3.46E+05
278.129,3.45E+05
280.83,3.45E+05
283.528,3.44E+05
286.223,3.44E+05
288.914,3.43E+05
291.603,3.43E+05
294.288,3.42E+05
296.97,3.42E+05
299.648,3.41E+05
302.324,3.41E+05
304.996,3.40E+05
307.665,3.40E+05
310.331,3.39E+05
312.993,3.39E+05
315.653,3.38E+05
318.309,3.38E+05
320.962,3.37E+05
323.612,3.37E+05
326.258,3.36E+05
328.901,3.36E+05
331.542,3.36E+05
334.179,3.35E+05
336.813,3.35E+05
339.443,3.34E+05
342.071,3.34E+05
344.695,3.33E+05
347.316,3.33E+05
349.934,3.33E+05
352.549,3.32E+05
355.161,3.32E+05
357.769,3.32E+05
360.375,3.31E+05
362.977,3.31E+05
365.576,3.30E+05
368.172,3.30E+05
370.765,3.30E+05
373.355,3.29E+05
375.941,3.29E+05
378.525,3.29E+05
381.105,3.28E+05
383.683,3.28E+05
386.257,3.27E+05
388.828,3.27E+05
391.396,3.27E+05
393.961,3.26E+05
396.523,3.26E+05
399.082,3.26E+05
401.637,3.25E+05
404.19,3.25E+05
406.739,3.25E+05
409.286,3.24E+05
411.829,3.24E+05
414.369,3.24E+05
416.907,3.23E+05
419.441,3.23E+05
