x(mm),P (Pa)
0,11407.9
3.036,14749.3
6.06900000000002,15397.3
9.09800000000001,15461.9
12.123,15441
15.145,15455.1
18.163,15473.1
21.178,15480.9
24.189,15482.2
27.196,15480.5
30.199,15477.8
33.199,15474.8
36.196,15472
39.188,15469.3
42.178,15466.7
45.163,15464.2
48.145,15461.9
51.123,15459.8
54.098,15457.8
57.069,15455.8
60.037,15453.9
63.001,15452.2
65.961,15450.5
68.918,15448.8
71.872,15447.2
74.821,15445.6
77.768,15444.2
80.71,15442.9
83.649,15441.6
86.585,15440.4
89.517,15439.2
92.446,15438
95.371,15436.9
98.292,15435.9
101.21,15434.9
104.124,15433.9
107.035,15432.7
109.943,15431.6
112.847,15430.7
115.747,15429.9
118.644,15429.2
121.537,15428.5
124.427,15427.8
127.314,15426.9
130.197,15426
133.076,15425
135.952,15424
138.825,15423
141.694,15422.2
144.56,15421.7
147.422,15421.3
150.281,15421
153.136,15420.6
155.988,15419.9
158.836,15419
161.681,15417.9
164.523,15416.9
167.361,15416.1
170.196,15415.4
173.027,15414.9
175.855,15414.5
178.68,15414
181.501,15413.4
184.319,15412.8
187.133,15412.2
189.944,15411.7
192.752,15411.2
195.556,15410.7
198.356,15410.2
201.154,15409.8
203.948,15409.3
206.739,15408.8
209.526,15408.4
212.31,15407.9
215.091,15407.3
217.868,15406.9
220.642,15406.4
223.412,15406
226.18,15405.7
228.944,15405.3
231.704,15404.9
234.461,15404.6
237.215,15404.2
239.966,15403.8
242.713,15403.4
245.457,15403.1
248.198,15402.7
250.935,15402.4
253.669,15402.1
256.4,15401.8
259.128,15401.4
261.852,15401.1
264.573,15400.8
267.291,15400.4
270.005,15399.9
272.716,15399.6
275.424,15399.3
278.129,15399
280.83,15398.6
283.528,15398.4
286.223,15398.1
288.914,15397.8
291.603,15397.4
294.288,15397.1
296.97,15396.9
299.648,15396.6
302.324,15396.2
304.996,15396
307.665,15395.9
310.331,15395.7
312.993,15395.3
315.653,15395
318.309,15394.9
320.962,15394.7
323.612,15394.3
326.258,15393.9
328.901,15393.6
331.542,15393.4
334.179,15393.1
336.813,15392.7
339.443,15392.3
342.071,15392
344.695,15391.9
347.316,15391.7
349.934,15391.4
352.549,15391.1
355.161,15391
357.769,15391
360.375,15390.9
362.977,15390.6
365.576,15390.3
368.172,15390
370.765,15389.9
373.355,15389.8
375.941,15389.5
378.525,15389.1
381.105,15388.7
383.683,15388.6
386.257,15388.5
388.828,15388.4
391.396,15388.2
393.961,15387.8
396.523,15387.4
399.082,15387.3
401.637,15387.3
404.19,15387.2
406.739,15386.9
409.286,15386.5
411.829,15386.2
414.369,15386.1
416.907,15386.1
419.441,15386.1
421.972,15385.8
424.5,15385.5
427.025,15385.1
429.547,15384.9
432.066,15384.8
434.582,15384.9
437.095,15384.8
439.605,15384.5
442.112,15384.1
444.615,15383.8
447.116,15383.6
449.614,15383.7
452.109,15383.7
454.601,15383.6
457.089,15383.3
459.575,15382.9
462.058,15382.5
464.538,15382.4
467.015,15382.4
469.489,15382.4
471.959,15382.4
474.427,15382.2
476.892,15381.9
479.354,15381.5
481.813,15381.3
484.269,15381.2
486.722,15381.3
489.172,15381.3
491.619,15381.3
494.064,15381.1
496.505,15380.7
498.943,15380.3
501.379,15380.1
503.811,15380
506.241,15380.1
508.667,15380.1
511.091,15380.1
513.512,15379.9
515.929,15379.5
518.344,15379.2
520.756,15378.9
523.165,15378.7
525.572,15378.8
527.975,15378.9
530.375,15378.9
532.773,15378.8
535.168,15378.6
537.559,15378.2
539.948,15377.9
542.334,15377.6
544.717,15377.5
547.097,15377.5
549.475,15377.6
551.849,15377.7
554.221,15377.6
556.59,15377.4
558.956,15377.1
561.319,15376.7
563.679,15376.4
566.037,15376.3
568.391,15376.3
570.743,15376.4
573.092,15376.5
575.438,15376.6
577.781,15376.5
580.122,15376.2
582.459,15375.9
584.794,15375.5
587.126,15375.2
589.455,15375.1
591.781,15375.1
594.105,15375.2
596.426,15375.3
598.744,15375.4
601.059,15375.3
603.371,15375.1
605.681,15374.8
607.988,15374.5
610.292,15374.1
612.593,15373.9
614.891,15373.8
617.187,15373.9
619.48,15374
621.77,15374.1
624.058,15374.1
626.342,15374.1
628.624,15373.8
630.904,15373.6
633.18,15373.2
635.454,15372.9
637.725,15372.7
639.993,15372.6
642.258,15372.6
644.521,15372.7
646.781,15372.9
649.039,15373
649.039,15373
651.293,15372.9
653.545,15372.8
655.794,15372.6
658.041,15372.3
660.284,15372
662.525,15371.7
664.764,15371.5
666.999,15371.4
669.232,15371.5
671.463,15371.6
673.69,15371.7
675.915,15371.8
678.137,15371.8
680.357,15371.6
682.574,15371.4
684.788,15371.2
687,15370.9
689.208,15370.6
691.415,15370.4
693.618,15370.2
695.819,15370.2
698.017,15370.2
700.213,15370.4
702.406,15370.5
704.596,15370.6
706.784,15370.6
708.969,15370.5
711.151,15370.3
713.331,15370.1
715.508,15369.8
717.683,15369.6
719.855,15369.3
722.024,15369.1
724.191,15369
726.355,15369
728.516,15369.1
730.675,15369.3
732.832,15369.4
734.985,15369.5
737.136,15369.5
739.285,15369.4
741.431,15369.2
743.574,15368.9
745.715,15368.7
747.853,15368.4
749.988,15368.1
752.121,15367.9
754.252,15367.8
756.38,15367.7
758.505,15367.8
760.628,15367.9
762.748,15368.1
764.866,15368.3
766.981,15368.4
769.093,15368.4
771.203,15368.2
773.311,15368
775.416,15367.8
777.518,15367.5
779.618,15367.2
781.715,15366.9
783.81,15366.6
785.902,15366.4
787.992,15366.3
790.079,15366.3
792.164,15366.4
794.246,15366.6
796.326,15366.9
798.403,15367.1
800.478,15367.3
802.55,15367.3
804.62,15367.3
806.687,15367.1
808.752,15366.9
810.814,15366.6
812.874,15366.3
814.931,15366
816.986,15365.7
819.038,15365.4
821.088,15365.1
823.135,15365
825.18,15365
827.222,15365.1
829.262,15365.2
831.3,15365.5
833.335,15365.8
835.368,15366
837.398,15366.1
839.426,15366.2
841.451,15366.2
843.474,15366.1
845.494,15365.9
847.512,15365.6
849.528,15365.3
851.541,15364.9
853.551,15364.5
855.56,15364.2
857.566,15363.9
859.569,15363.6
861.57,15363.5
863.57,15363.5
865.56,15363.6
867.56,15363.8
869.55,15364.1
871.54,15364.3
873.53,15364.6
875.51,15364.8
877.49,15365
879.47,15365
881.45,15365
883.42,15364.9
885.4,15364.8
887.36,15364.5
889.33,15364.2
891.3,15363.9
893.26,15363.5
895.22,15363.1
897.18,15362.8
899.13,15362.4
901.09,15362.2
903.04,15362.1
904.99,15362.1
906.93,15362.2
908.88,15362.4
910.82,15362.6
912.76,15362.8
914.7,15363
916.63,15363.3
918.56,15363.5
920.49,15363.6
922.42,15363.7
924.35,15363.8
926.27,15363.7
928.19,15363.7
930.11,15363.5
932.02,15363.3
933.94,15363
935.85,15362.6
937.76,15362.2
939.67,15361.9
941.57,15361.5
943.47,15361.2
945.37,15361
947.27,15360.9
949.16,15360.8
951.06,15360.8
952.95,15360.9
954.84,15360.9
956.72,15361.1
958.61,15361.2
960.49,15361.4
962.37,15361.6
964.25,15361.8
966.12,15362
967.99,15362.1
969.86,15362.3
971.73,15362.4
973.6,15362.4
975.46,15362.4
977.32,15362.3
979.18,15362.1
981.04,15361.9
982.89,15361.6
984.75,15361.3
986.6,15361
988.45,15360.8
990.29,15360.5
992.13,15360.3
993.98,15360
995.81,15359.8
997.65,15359.6
999.49,15359.5
1001.32,15359.4
1003.15,15359.3
1004.98,15359.3
1006.8,15359.3
1008.63,15359.4
1010.45,15359.5
1012.27,15359.7
1014.08,15359.9
1015.9,15360.1
1017.71,15360.4
1019.52,15360.6
1021.33,15360.8
1023.14,15361
1024.94,15361.1
1026.74,15361.2
1028.54,15361.2
1030.34,15361.1
1032.14,15361.1
1033.93,15361
1035.72,15360.8
1037.51,15360.7
1039.3,15360.4
1041.08,15360.2
1042.86,15359.8
1044.64,15359.5
1046.42,15359.1
1048.2,15358.7
1049.97,15358.4
1051.74,15358
1053.51,15357.7
1055.28,15357.4
1057.04,15357.2
1058.81,15357.1
1060.57,15357
1062.33,15357.1
1064.08,15357.2
1065.84,15357.4
1067.59,15357.6
1069.34,15357.9
1071.09,15358.2
1072.84,15358.5
1074.58,15358.9
1076.32,15359.2
1078.06,15359.5
1079.8,15359.8
1081.54,15360.1
1083.27,15360.4
1085,15360.6
1086.73,15360.8
1088.46,15360.9
1090.18,15360.9
1091.91,15360.8
1093.63,15360.6
1095.35,15360.3
1097.06,15359.9
1098.78,15359.5
1100.49,15359
1102.2,15358.4
1103.91,15357.8
1103.91,15357.8
1105.62,15357.2
1107.32,15356.7
1109.03,15356.1
1110.73,15355.7
1112.43,15355.3
1114.12,15354.9
1115.82,15354.7
1117.51,15354.5
1119.2,15354.5
1120.89,15354.5
1122.57,15354.6
1124.26,15354.8
1125.94,15355
1127.62,15355.4
1129.3,15355.7
1130.97,15356.2
1132.65,15356.7
1134.32,15357.3
1135.99,15357.9
1137.66,15358.5
1139.33,15359.1
1140.99,15359.6
1142.65,15360.1
1144.31,15360.5
1145.97,15360.8
1147.63,15361
1149.28,15361
1150.93,15361
1152.58,15360.8
1154.23,15360.6
1155.88,15360.2
1157.52,15359.7
1159.16,15359.1
1160.8,15358.5
1162.44,15357.8
1164.08,15357.1
1165.71,15356.4
1167.34,15355.7
1168.97,15355
1170.6,15354.3
1172.23,15353.7
1173.85,15353.1
1175.48,15352.6
1177.1,15352.1
1178.71,15351.8
