x(mm),P (Pa)
0,11495.7
1.012,14885.6
2.02300000000002,15523
3.03299999999999,15604.5
4.04400000000001,15601.8
5.054,15605.3
6.06299999999999,15606.8
7.072,15600.5
8.08099999999999,15591.3
9.089,15582.2
10.097,15574
11.104,15566.9
12.112,15560.6
13.118,15555
14.124,15550.1
15.13,15545.6
16.136,15541.5
17.141,15537.7
18.146,15534.2
19.15,15530.9
20.154,15527.8
21.157,15525
22.16,15522.2
23.163,15519.6
24.165,15517.2
25.167,15514.8
26.168,15512.6
27.169,15510.5
28.17,15508.5
29.17,15506.5
30.17,15504.7
31.169,15502.9
32.168,15501.2
33.167,15499.6
34.165,15498
35.163,15496.5
36.16,15495
37.157,15493.6
38.154,15492.2
39.15,15490.9
40.146,15489.6
41.142,15488.3
42.137,15487.1
43.131,15485.9
44.125,15484.8
45.119,15483.7
46.113,15482.6
47.106,15481.6
48.098,15480.6
49.091,15479.6
50.082,15478.6
51.074,15477.6
52.065,15476.7
53.055,15475.8
54.046,15474.9
55.036,15474
56.025,15473.1
57.014,15472.3
58.003,15471.5
58.991,15470.7
59.979,15469.9
60.966,15469.1
61.953,15468.3
62.94,15467.5
63.926,15466.8
64.912,15466.1
65.898,15465.4
66.883,15464.7
67.867,15464.1
68.852,15463.5
69.836,15462.8
70.819,15462.2
71.802,15461.5
72.785,15460.9
73.767,15460.3
74.749,15459.7
75.731,15459.1
76.712,15458.5
77.693,15457.9
78.673,15457.4
79.653,15456.8
80.633,15456.3
81.612,15455.7
82.59,15455.2
83.569,15454.7
84.547,15454.1
85.524,15453.6
86.502,15453.1
87.478,15452.6
88.455,15452.1
89.431,15451.6
90.407,15451.2
91.382,15450.7
92.357,15450.3
93.331,15449.8
94.305,15449.4
95.279,15448.9
96.252,15448.5
97.225,15448
98.198,15447.6
99.17,15447.2
100.142,15446.8
101.113,15446.3
102.084,15445.9
103.054,15445.5
104.025,15445.1
104.994,15444.8
105.964,15444.4
106.933,15444
107.901,15443.7
108.87,15443.3
109.837,15442.9
110.805,15442.5
111.772,15442.1
112.739,15441.7
113.705,15441.3
114.671,15441
115.636,15440.6
116.602,15440.3
117.566,15440
118.531,15439.7
119.495,15439.4
120.458,15439.1
121.421,15438.8
122.384,15438.5
123.347,15438.1
124.309,15437.8
125.27,15437.5
126.232,15437.2
127.192,15436.9
128.153,15436.6
129.113,15436.2
130.073,15435.9
131.032,15435.6
131.991,15435.3
132.95,15435
133.908,15434.6
134.866,15434.3
135.823,15434
136.78,15433.7
137.737,15433.5
138.693,15433.2
139.649,15432.9
140.604,15432.7
141.559,15432.4
142.514,15432.1
143.469,15431.9
144.422,15431.6
145.376,15431.3
146.329,15431
147.282,15430.7
148.235,15430.3
149.187,15430
150.138,15429.7
151.09,15429.5
152.04,15429.2
152.991,15429
153.941,15428.8
154.891,15428.6
155.84,15428.3
156.789,15428.1
157.738,15427.8
158.686,15427.6
159.634,15427.3
160.581,15427.1
161.529,15426.9
162.475,15426.6
163.422,15426.4
164.368,15426.2
165.313,15425.9
166.258,15425.7
167.203,15425.5
168.148,15425.3
169.092,15425.1
170.035,15424.8
170.979,15424.6
171.922,15424.4
172.864,15424.2
173.806,15424
174.748,15423.8
175.689,15423.6
176.63,15423.4
177.571,15423.2
178.511,15423
179.451,15422.8
180.391,15422.6
181.33,15422.4
182.269,15422.2
183.207,15422
184.145,15421.8
185.083,15421.6
186.02,15421.4
186.957,15421.2
187.893,15421
188.83,15420.8
189.765,15420.6
190.701,15420.4
191.636,15420.2
192.57,15420.1
193.505,15419.9
194.439,15419.7
195.372,15419.5
196.305,15419.4
197.238,15419.2
198.17,15419
199.102,15418.8
200.034,15418.6
200.965,15418.5
201.896,15418.3
202.827,15418.1
203.757,15417.9
204.687,15417.8
205.616,15417.6
206.545,15417.4
207.474,15417.3
208.402,15417.1
209.33,15416.9
210.257,15416.8
211.185,15416.6
212.111,15416.4
213.038,15416.3
213.964,15416.1
214.89,15416
215.815,15415.8
216.74,15415.7
217.664,15415.6
218.589,15415.4
219.512,15415.2
220.436,15415.1
221.359,15414.9
222.282,15414.7
223.204,15414.5
224.126,15414.4
225.048,15414.2
225.969,15414
226.89,15413.9
227.81,15413.7
228.73,15413.6
229.65,15413.5
230.569,15413.3
231.488,15413.2
232.407,15413.1
233.325,15412.9
234.243,15412.8
235.161,15412.7
236.078,15412.5
236.995,15412.4
237.911,15412.2
238.827,15412.1
239.743,15412
240.658,15411.8
241.573,15411.7
242.488,15411.6
243.402,15411.5
244.316,15411.3
245.229,15411.2
246.143,15411.1
247.055,15411
247.968,15410.9
248.88,15410.7
249.791,15410.6
250.703,15410.5
251.614,15410.3
252.524,15410.2
253.434,15410
254.344,15409.8
255.254,15409.7
256.163,15409.5
257.072,15409.4
257.98,15409.3
258.888,15409.2
259.796,15409.1
260.703,15409
261.61,15408.9
262.516,15408.8
263.423,15408.7
264.329,15408.6
265.234,15408.5
266.139,15408.3
267.044,15408.2
267.948,15408
268.852,15407.9
269.756,15407.8
270.659,15407.6
271.562,15407.5
272.465,15407.4
273.367,15407.3
274.269,15407.2
275.17,15407.2
276.071,15407
276.972,15406.9
277.872,15406.8
278.773,15406.7
279.672,15406.6
280.572,15406.5
281.47,15406.4
282.369,15406.2
283.267,15406.1
284.165,15406
285.063,15405.9
285.96,15405.8
286.857,15405.7
287.753,15405.6
288.649,15405.5
289.545,15405.3
290.44,15405.2
291.335,15405.1
292.23,15405
293.124,15404.9
294.018,15404.8
294.912,15404.7
295.805,15404.6
296.698,15404.5
297.59,15404.4
298.482,15404.3
299.374,15404.2
300.265,15404.1
301.156,15404
302.047,15403.9
302.937,15403.8
303.827,15403.7
304.717,15403.6
305.606,15403.5
306.495,15403.4
307.384,15403.3
308.272,15403.2
309.16,15403.1
310.047,15403
310.934,15402.9
311.821,15402.8
312.708,15402.7
313.594,15402.6
314.479,15402.5
315.365,15402.4
316.25,15402.3
317.134,15402.2
318.019,15402.2
318.903,15402.1
319.786,15402
320.669,15401.9
321.552,15401.8
322.435,15401.7
323.317,15401.6
324.199,15401.6
325.08,15401.5
325.961,15401.4
326.842,15401.3
327.722,15401.2
328.602,15401.1
329.482,15401
330.361,15400.9
331.24,15400.8
332.119,15400.7
332.997,15400.6
333.875,15400.5
334.753,15400.4
335.63,15400.3
336.507,15400.2
337.383,15400.1
338.26,15400.1
339.135,15400
340.011,15399.9
340.886,15399.8
341.761,15399.8
342.635,15399.7
343.509,15399.6
344.383,15399.6
345.256,15399.5
346.129,15399.4
347.002,15399.3
347.874,15399.3
348.746,15399.2
349.618,15399.1
350.489,15399
351.36,15398.9
352.23,15398.8
353.101,15398.7
353.97,15398.6
354.84,15398.5
355.709,15398.4
356.578,15398.3
357.446,15398.2
358.314,15398.2
359.182,15398.1
360.05,15398
360.917,15398
361.783,15397.9
362.65,15397.8
363.516,15397.8
364.381,15397.7
365.247,15397.6
366.112,15397.5
366.976,15397.4
367.841,15397.3
368.705,15397.3
369.568,15397.2
370.431,15397.1
371.294,15397
372.157,15396.9
373.019,15396.9
373.881,15396.8
374.742,15396.7
375.604,15396.7
376.464,15396.6
377.325,15396.5
378.185,15396.4
379.045,15396.4
379.904,15396.3
380.763,15396.2
381.622,15396.1
382.481,15396.1
383.339,15396
384.196,15395.9
385.054,15395.8
385.911,15395.8
386.767,15395.7
387.624,15395.6
388.48,15395.5
389.335,15395.5
390.191,15395.4
391.046,15395.3
391.9,15395.3
392.755,15395.2
393.609,15395.2
394.462,15395.1
395.315,15395
396.168,15395
397.021,15394.9
397.873,15394.8
398.725,15394.8
399.577,15394.7
400.428,15394.6
401.279,15394.5
402.129,15394.5
402.979,15394.4
403.829,15394.3
404.679,15394.3
405.528,15394.2
406.377,15394.1
407.225,15394
408.073,15394
408.921,15393.9
409.769,15393.8
410.616,15393.8
411.462,15393.7
412.309,15393.6
413.155,15393.6
414.001,15393.5
414.846,15393.5
415.691,15393.4
416.536,15393.3
417.38,15393.3
418.224,15393.2
419.068,15393.1
