x(mm),P (Pa)
0,11499.2
1.012,14885.2
2.02300000000002,15501.8
3.03299999999999,15556.1
4.04400000000001,15503.1
5.054,15460.2
6.06299999999999,15478.2
7.072,15522.6
8.08099999999999,15556.5
9.089,15566.4
10.097,15562.7
11.104,15555.3
12.112,15548
13.118,15541.8
14.124,15536.6
15.13,15532
16.136,15528
17.141,15524.2
18.146,15520.7
19.15,15517.4
20.154,15514.3
21.157,15511.4
22.16,15508.7
23.163,15506.2
24.165,15503.7
25.167,15501.4
26.168,15499.2
27.169,15497.2
28.17,15495.2
29.17,15493.4
30.17,15491.6
31.169,15489.9
32.168,15488.3
33.167,15486.7
34.165,15485.3
35.163,15483.8
36.16,15482.5
37.157,15481.2
38.154,15479.9
39.15,15478.7
40.146,15477.5
41.142,15476.4
42.137,15475.3
43.131,15474.3
44.125,15473.2
45.119,15472.2
46.113,15471.2
47.106,15470.3
48.098,15469.4
49.091,15468.5
50.082,15467.6
51.074,15466.8
52.065,15465.9
53.055,15465.1
54.046,15464.3
55.036,15463.5
56.025,15462.8
57.014,15462
58.003,15461.3
58.991,15460.6
59.979,15459.9
60.966,15459.3
61.953,15458.6
62.94,15457.9
63.926,15457.3
64.912,15456.6
65.898,15456
66.883,15455.4
67.867,15454.8
68.852,15454.2
69.836,15453.6
70.819,15453
71.802,15452.5
72.785,15451.9
73.767,15451.3
74.749,15450.8
75.731,15450.3
76.712,15449.8
77.693,15449.3
78.673,15448.7
79.653,15448.2
80.633,15447.8
81.612,15447.3
82.59,15446.8
83.569,15446.3
84.547,15445.8
85.524,15445.4
86.502,15444.9
87.478,15444.5
88.455,15444.1
89.431,15443.6
90.407,15443.2
91.382,15442.8
92.357,15442.4
93.331,15442
94.305,15441.6
95.279,15441.2
96.252,15440.8
97.225,15440.4
98.198,15440
99.17,15439.6
100.142,15439.2
101.113,15438.9
102.084,15438.5
103.054,15438.1
104.025,15437.7
104.994,15437.4
105.964,15437
106.933,15436.7
107.901,15436.4
108.87,15436.1
109.837,15435.7
110.805,15435.4
111.772,15435.1
112.739,15434.8
113.705,15434.4
114.671,15434
115.636,15433.7
116.602,15433.3
117.566,15433
118.531,15432.7
119.495,15432.4
120.458,15432.1
121.421,15431.8
