x(mm),Q (W/m2)
418.224,323660
419.068,323555
419.911,323451
420.755,323347
421.597,323243
422.44,323139
423.282,323036
424.123,322934
424.965,322831
425.806,322729
426.646,322627
427.487,322525
428.327,322424
429.166,322323
430.006,322222
430.845,322121
431.683,322021
432.522,321921
433.36,321821
434.197,321721
435.035,321622
435.872,321523
436.708,321424
437.545,321325
438.381,321227
439.216,321129
440.052,321032
440.886,320935
441.721,320838
442.555,320741
443.389,320644
444.223,320548
445.056,320452
445.889,320356
446.722,320260
447.554,320165
448.386,320070
449.218,319975
450.049,319880
450.88,319786
451.711,319691
452.541,319597
453.371,319503
454.2,319410
455.03,319317
455.859,319224
456.687,319131
457.516,319039
458.344,318947
459.171,318855
459.998,318764
460.825,318672
461.652,318581
462.478,318490
463.304,318400
464.13,318309
464.955,318219
465.78,318129
466.605,318039
467.429,317949
468.253,317859
469.077,317770
469.9,317681
470.723,317592
471.546,317503
472.368,317415
473.19,317327
474.012,317239
474.833,317151
475.654,317064
476.475,316976
477.295,316889
478.115,316803
478.935,316716
479.754,316630
480.573,316543
481.392,316458
482.21,316372
483.028,316286
483.846,316201
484.664,316116
485.481,316031
486.297,315946
487.114,315862
487.93,315777
488.746,315693
489.561,315609
490.376,315525
491.191,315442
492.005,315358
492.819,315275
493.633,315192
494.447,315109
495.26,315027
496.073,314944
496.885,314862
497.697,314780
498.509,314698
499.321,314617
500.132,314536
500.943,314455
501.753,314374
502.563,314293
503.373,314213
504.183,314133
504.992,314052
505.801,313972
506.61,313893
507.418,313813
508.226,313734
509.033,313654
509.841,313575
510.648,313496
511.454,313417
512.261,313339
513.067,313260
513.872,313182
514.678,313104
515.483,313026
516.287,312948
517.092,312871
517.896,312793
518.7,312716
519.503,312639
520.306,312562
521.109,312486
521.911,312409
522.713,312333
523.515,312257
524.317,312181
525.118,312105
525.919,312029
526.719,311954
527.519,311879
528.319,311803
529.119,311729
529.918,311654
530.717,311579
531.515,311505
532.314,311430
533.112,311356
533.909,311282
534.707,311209
535.504,311135
536.3,311062
537.097,310988
537.893,310915
538.688,310842
539.484,310769
540.279,310697
541.073,310624
541.868,310552
542.662,310480
543.456,310408
544.249,310336
545.043,310264
545.835,310192
546.628,310121
547.42,310049
547.42,310049
548.212,309978
549.004,309907
549.795,309837
550.586,309766
551.376,309696
552.167,309625
552.957,309555
553.746,309485
554.536,309415
555.325,309345
556.113,309276
556.902,309206
557.69,309137
558.478,309068
559.265,308999
560.052,308930
560.839,308861
561.625,308792
562.412,308724
563.198,308655
563.983,308587
564.768,308519
565.553,308452
566.338,308384
567.122,308316
567.906,308249
568.69,308181
569.473,308114
570.256,308047
571.039,307980
571.821,307913
572.603,307846
573.385,307780
574.167,307714
574.948,307647
575.729,307581
576.509,307515
577.289,307449
578.069,307383
578.849,307318
579.628,307252
580.407,307187
581.186,307122
581.964,307057
582.742,306992
583.52,306927
584.297,306862
585.074,306798
585.851,306733
586.628,306669
587.404,306605
588.18,306541
588.955,306477
589.73,306414
590.505,306350
591.28,306286
592.054,306223
592.828,306159
593.602,306096
594.375,306033
595.148,305971
595.921,305908
596.693,305845
597.465,305783
598.237,305720
599.009,305658
599.78,305596
600.551,305534
601.321,305472
602.092,305410
602.862,305348
603.631,305287
604.401,305226
605.17,305164
605.938,305103
606.707,305042
607.475,304981
608.243,304920
609.01,304859
609.777,304798
610.544,304738
611.311,304678
612.077,304617
612.843,304557
613.608,304497
614.374,304437
615.139,304377
615.904,304318
616.668,304258
617.432,304198
618.196,304139
618.959,304080
619.723,304021
620.485,303962
621.248,303903
622.01,303844
622.772,303786
623.534,303727
624.295,303669
625.056,303610
625.817,303552
626.577,303494
627.338,303436
628.097,303378
628.857,303320
629.616,303263
630.375,303205
631.134,303147
631.892,303090
631.892,303090
632.65,303033
633.408,302975
634.165,302918
634.922,302861
635.679,302804
636.435,302748
637.191,302691
637.947,302635
638.703,302578
639.458,302522
640.213,302466
640.968,302409
641.722,302353
642.476,302297
643.23,302241
643.983,302185
644.736,302130
645.489,302075
646.242,302019
646.994,301964
647.746,301909
648.498,301854
649.249,301798
650,301743
650.751,301688
651.501,301634
652.251,301579
653.001,301524
653.751,301470
654.5,301416
655.249,301362
655.997,301307
656.746,301253
657.494,301199
658.241,301145
658.989,301092
659.736,301038
660.483,300984
661.229,300930
661.976,300877
662.721,300824
663.467,300771
664.212,300718
664.957,300665
665.702,300612
666.447,300559
667.191,300506
667.935,300454
668.678,300401
669.421,300348
670.164,300296
670.907,300243
671.649,300191
672.391,300139
673.133,300087
673.874,300036
674.616,299984
675.356,299932
676.097,299880
676.837,299829
677.577,299777
678.317,299726
679.056,299674
679.056,299674
679.795,299623
680.534,299572
681.273,299521
682.011,299470
682.749,299419
683.486,299368
684.223,299318
684.96,299267
685.697,299217
686.434,299166
687.17,299115
687.906,299065
688.641,299015
689.376,298965
690.111,298915
690.846,298865
691.58,298815
692.314,298766
693.048,298716
693.781,298667
694.515,298617
695.247,298568
695.98,298518
696.712,298469
697.444,298420
698.176,298370
698.907,298321
699.638,298273
700.369,298224
701.1,298175
701.83,298127
702.56,298078
703.29,298030
704.019,297981
704.748,297933
705.477,297884
706.205,297836
706.933,297788
707.661,297739
708.389,297691
709.116,297643
709.843,297595
710.57,297548
711.296,297500
712.022,297453
712.748,297405
713.474,297358
714.199,297311
714.924,297263
715.649,297216
716.373,297169
717.097,297122
717.821,297075
718.545,297028
719.268,296981
719.991,296934
720.713,296888
721.436,296841
722.158,296795
722.88,296748
723.601,296702
724.322,296656
725.043,296610
725.764,296563
726.484,296517
727.204,296471
727.924,296425
728.643,296379
729.362,296333
730.081,296288
730.8,296242
731.518,296197
732.236,296151
732.954,296106
733.671,296061
734.389,296015
735.106,295970
735.822,295925
736.538,295880
737.254,295835
737.97,295790
738.686,295745
739.401,295700
740.116,295655
740.83,295611
741.544,295566
742.258,295522
742.972,295477
743.685,295433
744.399,295389
745.112,295345
745.824,295301
746.536,295256
747.248,295212
747.96,295168
748.671,295124
749.383,295080
750.093,295036
750.804,294993
751.514,294949
752.224,294906
752.934,294862
753.643,294819
754.353,294776
755.061,294733
755.77,294689
756.478,294646
757.186,294603
757.894,294560
758.601,294517
759.309,294474
760.015,294431
760.722,294388
761.428,294345
762.134,294303
762.84,294260
763.546,294218
764.251,294176
764.956,294133
765.66,294091
766.365,294049
767.069,294007
767.772,293965
768.476,293922
769.179,293880
769.882,293838
770.585,293796
771.287,293754
771.989,293713
772.691,293671
773.392,293630
774.093,293588
774.794,293547
775.495,293506
776.195,293464
776.896,293423
777.595,293382
778.295,293341
778.994,293300
779.693,293258
780.392,293217
781.09,293176
781.788,293135
782.486,293094
783.184,293054
783.881,293013
784.578,292972
785.275,292932
785.971,292892
786.667,292851
787.363,292811
788.059,292771
788.754,292731
789.449,292690
790.144,292650
790.839,292610
791.533,292570
792.227,292530
792.92,292489
793.614,292450
794.307,292410
795,292370
795.692,292330
796.384,292291
797.076,292251
797.768,292212
798.46,292173
799.151,292133
799.842,292094
800.532,292055
801.223,292016
801.913,291976
802.602,291937
803.292,291898
803.981,291859
804.67,291820
805.359,291781
806.047,291742
806.735,291703
807.423,291664
808.111,291626
808.798,291587
809.485,291549
810.172,291511
810.858,291472
811.544,291434
812.23,291395
812.916,291357
813.601,291319
814.286,291280
814.971,291242
815.656,291204
816.34,291166
817.024,291128
817.708,291090
818.391,291052
819.074,291014
819.757,290977
820.44,290939
821.122,290902
821.804,290864
822.486,290827
823.167,290789
823.849,290752
824.53,290714
825.21,290677
825.891,290640
826.571,290602
827.251,290565
827.93,290528
828.61,290490
829.289,290453
829.968,290416
830.646,290380
831.324,290343
832.002,290306
832.68,290270
833.357,290233
834.035,290197
834.712,290160
835.388,290124
836.065,290087
836.741,290051
837.416,290014
838.092,289978
838.767,289941
839.442,289905
840.117,289868
840.791,289832
841.466,289796
842.139,289760
842.813,289724
843.486,289688
844.16,289653
844.832,289617
845.505,289581
846.177,289546
846.849,289510
847.521,289474
848.192,289439
848.864,289403
849.535,289367
850.205,289332
850.876,289296
851.546,289261
852.216,289225
852.885,289190
853.555,289154
854.224,289119
854.892,289084
855.561,289049
856.229,289014
856.897,288979
857.565,288945
858.232,288910
858.899,288875
859.566,288840
860.23,288806
860.9,288771
861.57,288736
862.23,288701
862.9,288666
863.56,288632
864.23,288597
864.89,288563
865.56,288528
866.22,288494
866.88,288460
867.55,288425
868.21,288391
868.88,288357
869.54,288323
870.2,288290
870.86,288256
871.53,288222
872.19,288188
