x(mm),Q (W/m2)
0,1420060
1.517,1191240
3.03399999999999,867921
4.54900000000001,703260
6.06399999999999,631111
7.57799999999997,629626
9.09,624672
10.602,611619
12.113,597131
13.623,583901
15.132,572206
16.641,561822
18.148,552537
19.654,544187
21.16,536633
22.664,529764
24.168,523481
25.671,517701
27.173,512354
28.674,507382
30.174,502740
31.673,498388
33.171,494293
34.669,490428
36.165,486767
37.661,483293
39.155,479989
40.649,476839
42.142,473829
43.634,470951
45.125,468193
46.615,465544
48.105,462998
49.593,460549
51.081,458190
52.567,455916
54.053,453719
55.538,451596
57.022,449543
58.505,447554
59.987,445627
61.468,443757
62.948,441942
64.428,440180
65.906,438468
67.384,436804
68.861,435184
70.337,433606
71.812,432068
73.286,430568
74.759,429107
76.231,427682
77.703,426291
79.173,424933
80.643,423605
82.112,422306
83.58,421036
85.047,419793
86.513,418578
87.978,417389
89.443,416224
90.906,415083
92.369,413965
93.831,412869
95.291,411794
96.751,410739
98.211,409704
99.669,408688
101.126,407692
102.583,406713
104.038,405752
105.493,404807
106.947,403879
108.4,402966
109.852,402068
111.303,401185
112.753,400317
114.203,399463
115.651,398624
117.099,397798
118.546,396986
119.992,396186
121.437,395398
122.881,394622
124.325,393857
125.767,393103
127.209,392359
128.65,391624
130.09,390900
131.529,390185
132.967,389481
134.404,388787
135.841,388103
137.276,387429
138.711,386765
140.145,386109
141.578,385463
143.01,384824
144.441,384193
145.872,383570
147.301,382953
148.73,382343
150.158,381739
151.585,381143
153.011,380555
154.436,379974
155.86,379401
157.284,378836
158.707,378278
160.128,377726
161.549,377180
162.969,376639
164.389,376105
165.807,375576
167.225,375053
168.641,374537
170.057,374026
171.472,373521
172.886,373020
174.3,372525
175.712,372034
177.124,371549
178.534,371069
179.944,370594
181.353,370124
182.761,369659
184.169,369199
185.575,368744
186.981,368292
188.386,367845
189.79,367403
191.193,366964
192.595,366530
193.997,366099
195.397,365673
196.797,365250
198.196,364832
199.594,364417
200.991,364006
202.387,363599
203.783,363195
205.178,362796
206.571,362400
207.964,362007
209.357,361619
210.748,361233
212.138,360851
213.528,360471
214.917,360095
216.305,359722
217.692,359352
219.078,358984
220.464,358620
221.849,358260
223.232,357902
224.615,357548
225.997,357196
227.379,356847
228.759,356501
230.139,356158
231.518,355817
232.896,355479
234.273,355143
235.649,354810
237.025,354480
238.399,354152
239.773,353827
241.146,353504
242.519,353184
243.89,352866
245.26,352551
246.63,352238
247.999,351928
249.367,351619
250.734,351313
252.101,351008
253.466,350706
254.831,350405
256.195,350106
257.558,349808
258.921,349512
260.282,349217
261.643,348925
263.003,348634
264.362,348345
265.72,348058
267.077,347774
268.434,347491
269.79,347210
271.145,346932
272.499,346655
273.852,346379
275.205,346105
276.556,345833
277.907,345562
279.257,345292
280.607,345024
281.955,344758
283.303,344493
284.65,344231
285.996,343969
287.341,343710
288.685,343452
290.029,343195
291.372,342940
292.714,342686
294.055,342434
295.395,342183
296.735,341933
298.073,341685
299.411,341439
300.748,341194
302.085,340950
303.42,340709
304.755,340468
306.089,340229
307.422,339992
308.754,339755
310.086,339520
311.417,339285
312.747,339052
314.076,338821
315.404,338590
316.731,338360
318.058,338132
319.384,337905
320.709,337680
322.033,337456
323.357,337232
324.68,337011
326.002,336791
327.323,336571
328.643,336353
329.963,336136
331.281,335921
332.599,335706
333.916,335493
335.233,335280
336.548,335068
337.863,334858
339.177,334649
340.49,334440
341.803,334233
343.114,334026
344.425,333820
345.735,333616
347.045,333412
348.353,333209
349.661,333008
350.968,332808
352.274,332609
353.579,332412
354.884,332215
356.187,332020
357.49,331826
358.792,331633
360.094,331440
361.394,331248
362.694,331057
363.993,330866
365.292,330677
366.589,330488
367.886,330299
369.182,330112
370.477,329926
371.771,329741
373.065,329557
374.358,329374
375.65,329192
376.941,329010
378.231,328830
379.521,328650
380.81,328471
382.098,328293
383.385,328115
384.672,327938
385.958,327762
387.243,327587
388.527,327413
389.811,327239
391.093,327066
392.375,326894
393.656,326724
394.937,326554
396.216,326384
397.495,326215
398.773,326047
400.051,325880
401.327,325713
402.603,325547
403.878,325382
405.152,325218
406.426,325054
407.699,324891
408.971,324729
410.242,324568
411.512,324407
412.782,324246
414.051,324087
415.319,323927
416.586,323769
417.853,323612
419.119,323455
420.384,323299
421.648,323143
422.912,322987
424.175,322833
425.437,322679
426.698,322526
427.958,322374
429.218,322222
430.477,322071
431.735,321920
432.993,321771
434.25,321622
435.506,321474
436.761,321326
438.015,321178
439.269,321030
440.522,320884
441.774,320738
443.026,320594
444.276,320449
445.526,320305
446.775,320161
448.024,320018
449.272,319876
450.518,319735
451.765,319594
453.01,319454
454.255,319314
455.499,319174
456.742,319035
457.984,318896
459.226,318758
460.467,318621
461.707,318484
462.947,318347
464.185,318211
465.423,318075
466.661,317939
467.897,317805
469.133,317672
470.368,317539
471.602,317406
472.835,317273
474.068,317141
475.3,317009
476.531,316879
477.762,316749
478.992,316620
480.221,316491
481.449,316362
482.677,316233
483.904,316105
485.13,315977
486.355,315850
487.58,315724
488.803,315599
490.027,315473
491.249,315348
492.471,315223
493.692,315098
494.912,314973
496.131,314850
497.35,314727
498.568,314605
499.785,314483
501.002,314361
502.218,314239
503.433,314117
504.647,313996
505.861,313876
507.074,313757
508.286,313639
509.497,313520
510.708,313402
511.918,313284
513.127,313166
514.335,313048
515.543,312932
516.75,312816
517.957,312700
519.162,312585
520.367,312470
521.571,312355
522.775,312239
523.977,312124
525.179,312010
526.381,311897
527.581,311784
528.781,311672
529.98,311560
531.178,311449
532.376,311337
533.573,311225
534.769,311114
535.965,311004
537.159,310894
538.353,310785
539.547,310677
540.739,310568
541.931,310460
543.122,310352
544.313,310243
545.503,310135
546.692,310028
547.88,309922
549.067,309816
550.254,309711
551.44,309606
552.626,309500
553.811,309395
554.995,309290
556.178,309184
557.361,309080
558.542,308976
559.724,308873
560.904,308770
562.084,308668
563.263,308566
564.441,308463
565.619,308361
566.796,308258
567.972,308156
569.147,308055
570.322,307954
571.496,307854
572.67,307755
573.842,307656
575.014,307557
576.186,307458
577.356,307358
578.526,307259
579.695,307161
580.863,307063
582.031,306966
583.198,306869
584.365,306773
585.53,306677
586.695,306581
587.859,306485
589.023,306388
590.186,306292
591.348,306196
592.509,306101
593.67,306006
594.83,305913
595.989,305819
597.148,305726
598.306,305633
599.463,305540
600.62,305446
601.775,305352
602.931,305259
604.085,305166
605.239,305074
606.392,304983
607.544,304892
608.696,304801
609.847,304711
610.997,304621
612.147,304530
613.296,304439
614.444,304348
615.591,304258
616.738,304168
617.884,304079
619.03,303991
620.175,303903
621.319,303816
622.462,303728
