x(mm),P (Pa)
338.26,15393.1
339.135,15393
340.011,15392.9
340.886,15392.8
341.761,15392.7
342.635,15392.6
343.509,15392.5
344.383,15392.4
345.256,15392.3
346.129,15392.2
347.002,15392.1
347.874,15392
348.746,15391.9
349.618,15391.8
350.489,15391.7
351.36,15391.7
352.23,15391.6
353.101,15391.5
353.97,15391.5
354.84,15391.4
355.709,15391.3
356.578,15391.3
357.446,15391.2
358.314,15391.2
359.182,15391.1
360.05,15391
360.917,15390.9
361.783,15390.8
362.65,15390.7
363.516,15390.6
364.381,15390.6
365.247,15390.5
366.112,15390.4
366.976,15390.3
367.841,15390.2
368.705,15390.2
369.568,15390.1
370.431,15390
371.294,15390
372.157,15389.9
373.019,15389.8
373.881,15389.7
374.742,15389.7
375.604,15389.6
376.464,15389.5
377.325,15389.4
378.185,15389.4
379.045,15389.3
379.904,15389.2
380.763,15389.1
381.622,15389.1
382.481,15389
383.339,15388.9
384.196,15388.9
385.054,15388.8
385.911,15388.7
386.767,15388.7
387.624,15388.6
388.48,15388.5
389.335,15388.4
390.191,15388.4
391.046,15388.3
391.9,15388.2
392.755,15388.1
393.609,15388.1
394.462,15388
395.315,15387.9
396.168,15387.9
397.021,15387.8
397.873,15387.7
398.725,15387.7
399.577,15387.6
400.428,15387.5
401.279,15387.5
402.129,15387.4
402.979,15387.3
403.829,15387.3
404.679,15387.2
405.528,15387.1
406.377,15387.1
407.225,15387
408.073,15386.9
408.921,15386.9
409.769,15386.8
410.616,15386.7
411.462,15386.7
412.309,15386.6
413.155,15386.5
414.001,15386.5
414.846,15386.4
415.691,15386.4
416.536,15386.3
417.38,15386.2
418.224,15386.2
419.068,15386.1
419.911,15386
420.755,15386
421.597,15385.9
422.44,15385.8
423.282,15385.8
424.123,15385.7
424.965,15385.7
425.806,15385.6
426.646,15385.5
427.487,15385.5
428.327,15385.4
429.166,15385.4
430.006,15385.3
430.845,15385.2
431.683,15385.2
432.522,15385.1
433.36,15385
434.197,15385
435.035,15384.9
435.872,15384.9
436.708,15384.8
437.545,15384.7
438.381,15384.7
439.216,15384.6
440.052,15384.6
440.886,15384.5
441.721,15384.4
442.555,15384.4
443.389,15384.3
444.223,15384.3
445.056,15384.2
445.889,15384.1
446.722,15384.1
447.554,15384
448.386,15384
449.218,15383.9
450.049,15383.8
450.88,15383.8
451.711,15383.7
452.541,15383.7
453.371,15383.6
454.2,15383.6
455.03,15383.5
455.859,15383.5
456.687,15383.4
457.516,15383.4
458.344,15383.3
459.171,15383.3
459.998,15383.2
460.825,15383.2
461.652,15383.1
462.478,15383
463.304,15383
464.13,15382.9
464.955,15382.9
465.78,15382.8
466.605,15382.7
467.429,15382.7
468.253,15382.6
469.077,15382.6
469.9,15382.5
470.723,15382.4
471.546,15382.4
472.368,15382.3
473.19,15382.3
474.012,15382.2
474.833,15382.2
475.654,15382.1
476.475,15382.1
477.295,15382
478.115,15382
478.935,15381.9
479.754,15381.9
480.573,15381.8
481.392,15381.8
482.21,15381.7
483.028,15381.7
483.846,15381.6
484.664,15381.6
485.481,15381.5
486.297,15381.5
487.114,15381.4
487.93,15381.4
488.746,15381.3
489.561,15381.3
490.376,15381.2
491.191,15381.2
492.005,15381.1
492.819,15381.1
493.633,15381
494.447,15380.9
495.26,15380.9
496.073,15380.8
496.885,15380.8
497.697,15380.7
498.509,15380.7
499.321,15380.6
500.132,15380.6
500.943,15380.5
501.753,15380.5
502.563,15380.4
503.373,15380.4
504.183,15380.3
504.992,15380.3
505.801,15380.2
506.61,15380.2
507.418,15380.2
508.226,15380.1
509.033,15380.1
509.841,15380
510.648,15380
511.454,15379.9
512.261,15379.9
513.067,15379.8
513.872,15379.8
514.678,15379.7
515.483,15379.7
516.287,15379.6
517.092,15379.6
517.896,15379.5
518.7,15379.5
519.503,15379.4
520.306,15379.4
521.109,15379.3
521.911,15379.3
522.713,15379.2
523.515,15379.2
524.317,15379.1
525.118,15379.1
525.919,15379
526.719,15379
527.519,15379
528.319,15378.9
529.119,15378.9
529.918,15378.8
530.717,15378.8
531.515,15378.7
532.314,15378.7
533.112,15378.7
533.909,15378.6
534.707,15378.6
535.504,15378.5
536.3,15378.5
537.097,15378.4
537.893,15378.4
538.688,15378.4
539.484,15378.3
540.279,15378.3
541.073,15378.2
541.868,15378.2
542.662,15378.1
543.456,15378.1
544.249,15378
545.043,15378
545.835,15377.9
546.628,15377.9
547.42,15377.8
548.212,15377.8
549.004,15377.8
549.795,15377.7
550.586,15377.7
550.586,15377.7
551.376,15377.6
552.167,15377.6
552.957,15377.6
553.746,15377.5
554.536,15377.5
555.325,15377.4
556.113,15377.4
556.902,15377.4
557.69,15377.3
558.478,15377.3
559.265,15377.2
560.052,15377.2
560.839,15377.2
561.625,15377.1
562.412,15377.1
563.198,15377
563.983,15377
564.768,15376.9
565.553,15376.9
566.338,15376.9
567.122,15376.8
567.906,15376.8
568.69,15376.7
569.473,15376.7
570.256,15376.6
571.039,15376.6
571.821,15376.5
572.603,15376.5
573.385,15376.5
574.167,15376.4
574.948,15376.4
575.729,15376.4
576.509,15376.3
577.289,15376.3
578.069,15376.2
578.849,15376.2
579.628,15376.2
580.407,15376.1
581.186,15376.1
581.964,15376
582.742,15376
583.52,15376
584.297,15375.9
585.074,15375.9
585.851,15375.8
586.628,15375.8
587.404,15375.8
588.18,15375.7
588.955,15375.7
589.73,15375.7
590.505,15375.6
591.28,15375.6
592.054,15375.5
592.828,15375.5
593.602,15375.4
594.375,15375.4
595.148,15375.4
595.921,15375.3
596.693,15375.3
597.465,15375.3
598.237,15375.2
599.009,15375.2
599.78,15375.2
600.551,15375.1
601.321,15375.1
602.092,15375
602.862,15375
603.631,15375
604.401,15374.9
605.17,15374.9
605.938,15374.9
606.707,15374.8
607.475,15374.8
608.243,15374.7
609.01,15374.7
609.777,15374.7
610.544,15374.6
611.311,15374.6
612.077,15374.5
612.843,15374.5
613.608,15374.5
614.374,15374.4
615.139,15374.4
615.904,15374.4
616.668,15374.3
617.432,15374.3
618.196,15374.2
618.959,15374.2
619.723,15374.2
620.485,15374.1
621.248,15374.1
622.01,15374.1
622.772,15374
623.534,15374
624.295,15374
625.056,15373.9
625.817,15373.9
626.577,15373.8
627.338,15373.8
628.097,15373.8
628.857,15373.8
629.616,15373.7
630.375,15373.7
631.134,15373.7
631.892,15373.6
632.65,15373.6
633.408,15373.6
634.165,15373.5
634.922,15373.5
635.679,15373.4
636.435,15373.4
637.191,15373.4
637.947,15373.3
638.703,15373.3
639.458,15373.3
640.213,15373.3
640.968,15373.2
641.722,15373.2
642.476,15373.1
643.23,15373.1
643.983,15373.1
644.736,15373
645.489,15373
646.242,15373
646.994,15372.9
647.746,15372.9
648.498,15372.9
649.249,15372.8
650,15372.8
650.751,15372.8
651.501,15372.7
652.251,15372.7
653.001,15372.7
653.751,15372.6
654.5,15372.6
655.249,15372.6
655.997,15372.5
656.746,15372.5
657.494,15372.5
658.241,15372.4
658.989,15372.4
659.736,15372.4
660.483,15372.3
661.229,15372.3
661.976,15372.3
662.721,15372.2
663.467,15372.2
664.212,15372.2
664.957,15372.1
665.702,15372.1
666.447,15372.1
667.191,15372.1
667.935,15372
668.678,15372
669.421,15371.9
