x(mm),P (Pa)
491.249,15383.7
492.471,15383.6
493.692,15383.5
494.912,15383.4
496.131,15383.3
497.35,15383.3
498.568,15383.2
499.785,15383.1
501.002,15383
502.218,15382.9
503.433,15382.8
504.647,15382.7
505.861,15382.7
507.074,15382.6
508.286,15382.6
509.497,15382.6
510.708,15382.5
511.918,15382.4
513.127,15382.3
514.335,15382.2
515.543,15382.2
516.75,15382.1
517.957,15382.1
519.162,15382
520.367,15382
521.571,15381.9
522.775,15381.7
523.977,15381.6
525.179,15381.5
526.381,15381.5
527.581,15381.4
528.781,15381.4
529.98,15381.3
531.178,15381.3
532.376,15381.2
533.573,15381.1
534.769,15381
535.965,15380.9
537.159,15380.9
538.353,15380.8
539.547,15380.8
540.739,15380.8
541.931,15380.7
543.122,15380.6
544.313,15380.5
545.503,15380.4
546.692,15380.4
547.88,15380.3
549.067,15380.3
550.254,15380.3
551.44,15380.2
552.626,15380.2
553.811,15380.1
554.995,15380
556.178,15379.9
557.361,15379.8
558.542,15379.8
559.724,15379.8
560.904,15379.7
562.084,15379.7
563.263,15379.6
564.441,15379.5
565.619,15379.4
566.796,15379.3
567.972,15379.2
569.147,15379.2
570.322,15379.1
571.496,15379.1
572.67,15379.1
573.842,15379
575.014,15379
576.186,15378.9
577.356,15378.8
578.526,15378.7
579.695,15378.6
580.863,15378.6
582.031,15378.5
583.198,15378.5
584.365,15378.5
585.53,15378.5
586.695,15378.4
587.859,15378.3
589.023,15378.2
590.186,15378.2
591.348,15378.1
592.509,15378
593.67,15378
594.83,15377.9
595.989,15377.9
597.148,15377.9
598.306,15377.8
599.463,15377.8
600.62,15377.7
601.775,15377.6
602.931,15377.5
604.085,15377.4
605.239,15377.4
606.392,15377.3
607.544,15377.3
608.696,15377.3
609.847,15377.3
610.997,15377.2
612.147,15377.1
613.296,15377
614.444,15376.9
615.591,15376.9
616.738,15376.8
617.884,15376.8
619.03,15376.7
620.175,15376.7
621.319,15376.7
622.462,15376.7
623.605,15376.6
624.747,15376.6
625.888,15376.5
627.029,15376.4
628.169,15376.3
629.308,15376.2
630.447,15376.2
631.584,15376.2
632.722,15376.2
633.858,15376.1
634.994,15376.1
636.129,15376.1
637.264,15376
638.397,15375.9
639.531,15375.8
640.663,15375.7
641.795,15375.7
642.926,15375.6
644.056,15375.6
645.186,15375.6
646.315,15375.5
647.443,15375.5
648.571,15375.5
649.698,15375.4
650.824,15375.4
651.95,15375.3
653.075,15375.2
654.199,15375.1
655.323,15375.1
656.445,15375
657.568,15375
658.689,15375
659.81,15375
660.93,15375
662.05,15374.9
663.169,15374.9
664.287,15374.8
665.405,15374.7
666.521,15374.6
667.638,15374.6
668.753,15374.5
669.868,15374.4
670.982,15374.4
672.096,15374.4
673.208,15374.4
674.321,15374.4
675.432,15374.3
676.543,15374.3
677.653,15374.2
678.762,15374.2
679.871,15374.1
680.979,15374
682.087,15373.9
683.194,15373.9
684.3,15373.8
685.405,15373.8
686.51,15373.8
687.614,15373.8
688.718,15373.8
689.821,15373.8
690.923,15373.7
692.024,15373.7
693.125,15373.6
694.225,15373.5
695.325,15373.4
696.424,15373.4
697.522,15373.3
698.619,15373.3
699.716,15373.2
700.812,15373.2
701.908,15373.2
703.003,15373.2
704.097,15373.2
705.191,15373.1
706.283,15373.1
707.376,15373
708.467,15372.9
709.558,15372.8
710.649,15372.8
711.738,15372.7
712.827,15372.7
713.915,15372.6
715.003,15372.6
716.09,15372.6
717.176,15372.6
718.262,15372.6
719.347,15372.6
720.432,15372.5
721.515,15372.5
722.598,15372.4
723.681,15372.3
724.763,15372.3
725.844,15372.2
726.924,15372.1
728.004,15372.1
729.083,15372.1
730.162,15372
731.24,15372
732.317,15372
733.393,15372
734.469,15372
735.545,15372
736.619,15371.9
737.693,15371.8
738.767,15371.8
739.839,15371.7
740.911,15371.6
741.983,15371.5
743.053,15371.5
744.124,15371.5
745.193,15371.4
746.262,15371.4
747.33,15371.4
748.398,15371.4
749.464,15371.4
750.531,15371.4
751.596,15371.4
752.661,15371.3
753.726,15371.2
754.789,15371.2
755.852,15371.1
756.915,15371
757.977,15371
759.038,15370.9
760.098,15370.9
761.158,15370.9
762.217,15370.8
763.276,15370.8
764.334,15370.8
765.391,15370.8
766.448,15370.8
767.504,15370.8
768.559,15370.7
769.614,15370.7
770.668,15370.6
771.722,15370.5
772.775,15370.4
773.827,15370.4
774.878,15370.3
775.929,15370.3
776.98,15370.2
778.029,15370.2
779.078,15370.2
780.127,15370.2
781.175,15370.2
