X-Location (inches),HeatFlux 9but/ft^2-s)
6.848,7.291456
9.892,6.3987456
15.892,30.534432
16.892,32.037984
17.892,33.611264
18.892,32.587584
19.892,31.946912
20.892,30.957184
21.892,30.88416
22.761,29.643936
24.672,28.472416
25.257,27.67728
25.842,26.616192
27.827,26.216736
28.842,25.830432
31.842,25.676832
33.342,24.941856
34.842,26.052224
36.342,25.089312
37.842,25.621408
40.842,25.805664
42.217,23.49168
43.592,25.631232
45.816,22.480128
48.516,21.728736
51.216,22.45968
53.916,23.3856
56.616,22.548384
59.316,21.290688
66.405,20.304096
70.365,21.037248
74.326,22.05936
78.287,21.283392
82.248,21.924576
86.209,22.31184
89.607,21.24192
89.761,22.181184
89.915,24.286656
90.069,21.275712
90.223,20.91072
90.377,22.989888
90.531,22.139904
90.684,23.617344
90.838,23.895168
90.992,21.64464
91.146,22.509888
91.3,23.708448
91.454,23.974944
91.607,26.188896
91.761,32.147136
91.915,32.919744
92.069,32.37024
92.223,31.98384
92.377,33.017184
92.531,41.226144
92.757,72.4488
92.875,75.897216
92.994,92.453184
93.113,99.88992
93.232,108.43968
93.35,113.63904
93.469,121.98144
93.588,128.33376
93.707,129.26976
93.825,131.55552
93.944,134.82624
94.063,135.05184
94.181,142.008
94.3,141.0192
94.419,137.99424
94.538,132.21024
94.656,135.27584
94.824,137.39232
95.018,138.63808
95.208,134.3136
95.399,138.91008
95.591,137.22112
95.782,142.37536
95.974,140.89984
96.165,139.0528
96.357,138.68192
96.548,139.83168
97.133,135.90624
97.44,134.78944
97.746,133.07936
