X-Location (inches),HeatFlux 9but/ft^2-s)
9.892,7.2231257
15.892,5.731247
16.892,5.512547
17.892,5.50908
18.892,5.431247
19.892,5.387318
20.892,5.110328
21.892,5.27318
22.761,7.07978
24.672,8.49874
25.257,9.24196
25.842,11.1777
27.827,12.0239
28.842,14.1332
31.842,16.06
33.342,15.7068
34.842,15.2612
36.342,15.41
37.842,15.1425
40.842,14.6297
42.217,14.1535
43.592,14.8078
48.516,12.9361
51.216,12.8533
53.916,13.9308
56.616,12.4941
59.316,11.8575
66.405,11.7783
70.365,12.4794
74.326,12.6554
78.287,12.2327
82.248,12.6278
86.209,13.3151
89.607,12.2247
89.761,12.4826
89.915,13.0263
90.069,11.5794
90.223,11.4556
90.377,12.4199
90.531,11.9229
90.684,13.4295
90.838,13.328
90.992,11.6772
91.146,13.1242
91.3,12.4638
91.454,12.505
91.607,12.2748
91.761,12.2312
91.915,12.6566
92.069,13.0824
92.223,8.81948
92.377,8.20284
92.531,17.0899
92.757,86.871
92.875,140.853
92.994,158.109
93.113,184.987
93.232,194.028
93.35,197.89
93.469,200.374
93.588,208.528
93.707,212.925
93.825,207.511
93.944,204.39
94.063,197.694
94.181,197.519
94.3,198.583
94.419,194.369
94.538,189.502
94.656,186.103
94.824,185.075
95.018,175.775
95.208,176.652
95.399,173.25
95.591,175.083
95.782,173.602
95.974,167.546
96.165,164.834
96.357,165.641
96.548,165.808
97.133,160.182
97.44,158.217
97.746,152.967
