X-Location (inches),HeatFlux 9but/ft^2-s)
6.848,0.75030256
9.892,0.61504
15.892,1.0633088
16.892,1.413672
17.892,1.5373568
18.892,2.0282976
19.892,1.8101664
20.892,1.6774016
21.892,1.82784
22.761,1.7926592
24.672,1.6978032
25.257,1.6850848
25.842,1.7691184
27.827,1.6722224
28.842,1.7436496
31.842,1.7346448
33.342,1.7154032
34.842,1.6530192
37.842,1.7162432
40.842,1.6594256
42.217,1.5932
43.592,1.7079776
45.816,1.5354192
48.516,1.5578976
51.216,1.5441216
53.916,1.5438752
56.616,1.5695792
59.316,1.5057056
70.365,1.5172528
74.326,1.5491392
78.287,1.5377488
82.248,1.5283632
86.209,1.4706272
89.607,1.4568736
89.761,1.5600144
89.915,1.7234112
90.069,1.49688
90.223,1.477336
90.377,1.6317392
90.531,1.4996688
90.684,1.6796864
90.992,2.1748608
91.146,3.2222176
91.3,3.407768
91.454,3.3554192
91.607,3.1684576
91.761,3.0627408
91.915,2.9844304
92.069,3.215016
92.377,3.5002464
92.531,4.1259344
92.757,6.6364704
93.113,10.8399872
93.35,12.9086272
93.469,17.467408
93.588,18.206496
93.707,19.848864
93.825,22.548288
93.944,24.003952
94.063,27.647872
94.181,26.112576
94.3,26.172944
94.419,26.71648
94.538,25.589424
94.656,25.334064
94.824,24.594192
95.018,22.948016
95.208,22.343328
95.591,22.556912
95.782,21.905632
95.974,22.677984
96.165,21.301952
96.357,22.064224
96.548,22.316448
96.827,21.216944
97.133,21.04256
97.44,20.030864
97.746,20.434288
