X-Location (inches),Pressure (Psi)
89.607,0.355409
89.761,0.301625
89.915,0.36475
90.069,0.326115
90.223,0.364125
90.377,0.326853
90.531,0.304244
90.838,0.324801
90.992,0.357744
91.146,0.412659
91.3,0.570817
91.454,0.768429
91.607,0.89325
91.761,1.11108
91.915,1.271033
92.069,1.3055
92.223,1.27417
92.377,1.3573
92.757,1.58332
92.875,1.79478
93.113,3.07401
93.35,4.23634
93.469,5.54758
93.588,6.58218
93.707,8.27006
93.825,9.72052
93.944,9.32645
94.063,9.43312
94.3,9.22883
94.419,9.2184
94.538,9.5906
94.824,9.28619
95.018,8.93029
95.208,9.05001
95.399,8.55177
95.591,8.63256
95.782,8.7426
95.974,8.55636
96.165,8.54942
96.357,8.7969
96.548,8.67371
97.21,7.94525
