X-Location (inches),Pressure (Psi)
89.607,1.003543
89.761,1.02119
89.915,1.007053
90.069,1.032401
90.223,1.023749
90.377,1.00308
90.531,1.004996
90.684,1.00748
90.838,1.002238
90.992,1.006813
91.146,1.003631
91.3,1.04034
91.454,1.00795
91.607,1.024277
91.761,1.18099
91.915,1.69416
92.069,2.06517
92.223,2.66371
92.377,3.37911
92.757,4.94255
92.875,5.50325
93.113,10.7043
93.232,12.7549
93.35,13.8721
93.469,15.1306
93.588,16.967
93.707,18.6486
93.825,19.126578
93.944,19.2579
94.063,19.356782
94.181,19.0841
94.3,18.9118
94.419,18.973
94.538,18.7795
94.824,18.4631
95.018,17.8058
95.208,17.4307
95.399,17.0186
95.591,16.979
95.782,16.903
95.974,16.9649
96.165,16.7233
96.357,16.918
96.548,16.7848
96.827,16.6039
97.21,16.4727
97.593,16.3174
