X-Location (inches),HeatFlux 9but/ft^2-s)
6.848,1.68322
9.892,1.43846
15.892,1.11444
16.892,1.08744
17.892,1.06649
18.892,1.00741
19.892,1.50236
20.892,1.73364
21.892,1.84533
22.761,2.46152
24.672,3.53302
25.257,3.73175
25.842,4.40258
27.827,4.00492
28.842,4.29021
31.842,4.29803
33.342,4.13761
34.842,3.75362
36.342,3.95814
37.842,4.25962
40.842,3.81323
42.217,3.58442
43.592,3.77813
48.516,3.28985
51.216,3.38932
53.916,3.53486
56.616,3.34632
59.316,3.23219
70.365,3.22302
74.326,3.27996
78.287,3.20753
82.248,3.32108
89.607,3.03827
89.761,3.28582
89.915,3.53952
90.069,3.12382
90.223,3.07483
90.377,3.393
90.531,3.15077
90.684,3.51837
90.838,3.35445
90.992,3.09962
91.146,3.66462
91.3,4.55167
91.454,6.7942
91.607,7.70704
91.761,7.22097
91.915,7.18281
92.069,6.94142
92.223,6.85861
92.531,9.07461
92.757,13.4614
92.875,16.0872
92.994,19.9003
93.113,23.9809
93.35,25.2967
93.469,35.8542
93.588,37.4771
93.707,43.4681
93.825,61.8993
93.944,56.351
94.063,53.7329
94.181,52.3486
94.3,55.3038
94.419,55.2677
94.538,54.4694
94.656,53.2776
94.824,54.5732
95.018,54.3013
95.208,53.4281
95.399,52.1237
95.591,51.3255
95.782,50.0251
95.974,49.3544
96.165,50.3411
96.357,49.0276
96.548,48.1866
97.133,47.7142
97.44,46.6833
97.746,45.134
