X-Location (inches),Pressure (Psi)
89.607,0.36268064
89.761,0.36868832
89.915,0.374696
90.069,0.37094792
90.223,0.36719984
90.377,0.3781316
90.531,0.38906336
90.684,0.48095992
90.838,0.57285648
90.992,0.7789516
91.146,0.98504672
91.3,1.08770816
91.454,1.1903696
91.607,1.249276
91.761,1.3081824
91.915,1.3354712
92.069,1.36276
92.223,1.4644784
92.377,1.5661968
92.757,1.6515856
92.875,1.9721744
92.994,2.088772
93.113,2.6113472
93.232,3.532732
93.35,4.4541168
93.469,4.7905704
93.588,5.127024
93.707,6.5591512
93.825,7.9912784
93.944,8.68021896
94.063,9.36915952
94.181,10.03880304
94.3,10.78804037
94.419,10.36234578
94.538,9.9366512
94.824,9.446996881
95.018,9.11701737
95.208,8.811171382
95.399,8.522557221
95.591,8.217600287
95.782,8.268254179
95.974,8.141101641
96.548,8.114989004
96.827,8.088099968
97.593,7.833596273
