X-Location (inches),Pressure (Psi)
89.607,0.435403
89.915,0.413367
90.069,0.543046
90.223,0.442035
90.377,0.585537
90.531,0.414878
90.684,0.466152
90.838,0.440358
90.992,0.332452
91.146,0.415016
91.3,0.330417
91.454,0.449231
91.607,0.260153
91.761,0.411029
91.915,0.266687
92.069,0.317528
92.223,0.358877
92.377,0.406239
92.757,2.90233
92.875,3.60717
92.994,4.53791
93.113,6.58069
93.232,7.86184
93.35,8.672
93.469,9.71278
93.588,9.95112
93.707,11.3075
93.825,12.4647
93.944,12.4907
94.063,11.9365
94.181,11.8391
94.3,11.7835
94.419,11.5968
94.538,11.6731
94.824,11.48348
95.018,11.717
95.208,11.56851
95.399,11.4573
95.591,11.264
95.782,11.375
95.974,11.2849
96.165,11.1292
96.357,11.3999
96.548,11.287
96.827,11.05137
97.21,11.2041
97.593,10.9788
