X-Location (inches),HeatFlux 9but/ft^2-s)
6.848,5.78375
9.892,4.8132
15.892,10.3957
16.892,18.6311
17.892,19.4629
18.892,20.3014
19.892,19.0116
20.892,18.377
21.892,18.9265
22.761,17.4585
24.672,16.5
25.257,16.0731
25.842,16.1916
27.827,15.5325
28.842,15.5781
31.842,16.0779
33.342,16.027
34.842,14.662
36.342,15.3563
37.842,14.4005
40.842,14.9874
42.217,15.0019
43.592,15.2939
45.816,14.1089
48.516,13.8787
51.216,14.4181
53.916,15.4142
56.616,14.6087
59.316,14.2549
66.405,13.6545
70.365,14.1312
74.326,14.4579
78.287,14.0107
82.248,14.2614
86.209,15.2213
89.607,13.6228
89.761,14.8704
89.915,15.7242
90.069,13.546
90.223,13.3462
90.377,14.787
90.531,13.8582
90.684,15.5879
90.838,15.3593
90.992,13.5059
91.146,14.5447
91.3,14.8679
91.454,14.1899
91.607,14.3695
91.761,13.8684
91.915,17.5131
92.069,23.973
92.223,26.3906
92.377,25.4151
92.531,27.8622
92.757,60.5388
92.875,77.1016
92.994,87.9035
93.113,95.223
93.232,102.976
93.35,108.111
93.469,115.176
93.588,124.852
93.707,138.628
93.825,140.845
93.944,144.829
94.063,139.927
94.181,139.265
94.3,138.313
94.419,135.184
94.538,132.325
94.656,135.729
94.824,132.734
95.018,130.204
95.208,128.966
95.399,130.268
95.591,128.441
95.782,128.566
95.974,126.577
96.165,123.18
96.357,121.593
96.548,116.688
97.133,112.447
97.44,108.042
97.746,104.892
