X-Location (inches),Pressure (Psi)
89.607,2.20573275
89.761,2.2370985
89.915,2.2281675
90.069,2.22552525
90.223,2.24791125
90.377,2.314338
90.531,2.21253825
90.684,2.516826
90.838,2.253459
90.992,2.29697325
91.146,2.386995
91.3,2.86832325
91.454,2.4008595
91.607,3.632655
91.761,5.58560925
91.915,6.224439
92.069,6.99421125
92.223,7.36982025
92.377,7.744893
92.757,9.0501645
92.875,9.252165
93.113,17.127435
93.232,20.8842075
93.35,21.5688525
93.469,26.8997625
93.588,29.5024275
93.707,31.389345
93.825,30.0295125
93.944,30.97146
94.063,31.38174
94.3,30.5413875
94.419,29.823495
94.538,30.8916075
94.824,29.7531
95.018,30.1270125
95.208,29.0106375
95.399,29.314155
95.591,29.555175
95.782,29.90286
95.974,29.4995025
96.165,29.3286825
96.357,29.23323
97.21,27.881295
97.593,27.8897775
