# x(m), q(W/m2)
5.658054925121690226e-02,7.950172612566557946e+05
5.707686985868370283e-02,7.935092821151793469e+05
5.757319046615050340e-02,7.920597408669252181e+05
5.806951107361729703e-02,7.906675741476480616e+05
5.856583168108409759e-02,7.893232028652406298e+05
5.906215228855089816e-02,7.880210038519505179e+05
5.955847289601769873e-02,7.867524356614093995e+05
6.005479350348460338e-02,7.855421625864520902e+05
6.055111411095140395e-02,7.843498144648609450e+05
6.104743471841820451e-02,7.832002682356700534e+05
6.154375532588500508e-02,7.820993166562968399e+05
6.204007593335180565e-02,7.810324513463001931e+05
6.253639654081860622e-02,7.799782264876230620e+05
6.303271714828539984e-02,7.789321539825211512e+05
6.352903775575220735e-02,7.779123613778750878e+05
6.402535836321900098e-02,7.769123847245163051e+05
6.452167897068590563e-02,7.758857003451728960e+05
6.501799957815269926e-02,7.748326310150206555e+05
6.551432018561949289e-02,7.738018351814124035e+05
6.601064079308630039e-02,7.728236774322133278e+05
6.650696140055309402e-02,7.718945817954828963e+05
6.700328200801990153e-02,7.709980255652096821e+05
6.749960261548679230e-02,7.701195728875664063e+05
6.799592322295361368e-02,7.692140017233529361e+05
6.849224383042040731e-02,7.682344098569715861e+05
6.898856443788720094e-02,7.672118506395493168e+05
6.948488504535400845e-02,7.662091954070149222e+05
6.998120565282080208e-02,7.652411194478130201e+05
7.047752626028760958e-02,7.642998304496129276e+05
7.097384686775450036e-02,7.633221078990453389e+05
7.147016747522130786e-02,7.623186954513344681e+05
7.196648808268810149e-02,7.612899643345802324e+05
7.246280869015490900e-02,7.602388929417151958e+05
7.295912929762170263e-02,7.591837075062356889e+05
7.345544990508849625e-02,7.581377056997828186e+05
7.395177051255530376e-02,7.571081691527771764e+05
7.444809112002219453e-02,7.560975719153492246e+05
7.494441172748900204e-02,7.551077754395435331e+05
7.544073233495579567e-02,7.541381674602665007e+05
7.593705294242260317e-02,7.531821504181980854e+05
7.643337354988939680e-02,7.522301175487514120e+05
7.692969415735619043e-02,7.512753955192599678e+05
7.742601476482299794e-02,7.503166662301995093e+05
7.792233537228988871e-02,7.493588368675600505e+05
7.841865597975659907e-02,7.484087626638720976e+05
7.891497658722350372e-02,7.474684145729838638e+05
7.941129719469031123e-02,7.465454578635209473e+05
7.990761780215710486e-02,7.456676992889288813e+05
8.040393840962391236e-02,7.448018812210424803e+05
8.090025901709070599e-02,7.439484463772894815e+05
8.139657962455761064e-02,7.430695137947225012e+05
8.189290023202440427e-02,7.421876235044328496e+05
8.238922083949119790e-02,7.413004066604711115e+05
8.288554144695800541e-02,7.404366165492205182e+05
8.338186205442479904e-02,7.395770810645901365e+05
8.387818266189160654e-02,7.387148466761527816e+05
8.437450326935840017e-02,7.378459004287698772e+05
8.487082387682519380e-02,7.369900798292701365e+05
8.536714448429200131e-02,7.361667596009661211e+05
8.586346509175889208e-02,7.353757635692652548e+05
8.635978569922569958e-02,7.346177902945044916e+05
8.685610630669249321e-02,7.338772216429281980e+05
8.735242691415930072e-02,7.331460465717102634e+05
8.784874752162609435e-02,7.324172586599424249e+05
8.834506812909290185e-02,7.316889612565067364e+05
8.884138873655979263e-02,7.309130008391459705e+05
8.933770934402661401e-02,7.301467415831871331e+05
8.983402995149340764e-02,7.293760532636769349e+05
9.033035055896020127e-02,7.286206800224459730e+05
9.082667116642700877e-02,7.278860357558552641e+05
9.132299177389380240e-02,7.271623343511749990e+05
9.181931238136060991e-02,7.264436463805370731e+05
9.231563298882740354e-02,7.257242421582564712e+05
9.281195359629430819e-02,7.250006709859267576e+05
9.330827420376110182e-02,7.242732895344468998e+05
9.380459481122790932e-02,7.235444331628051586e+05
9.430091541869470295e-02,7.228165939265529159e+05
9.479723602616149658e-02,7.220917328751075547e+05
9.529355663362830409e-02,7.213711987441061065e+05
9.578987724109509772e-02,7.206559330751606030e+05
9.628619784856190522e-02,7.199463951707992237e+05
9.678251845602879599e-02,7.192420756380921230e+05
9.727883906349560350e-02,7.185425859783381457e+05
9.777515967096239713e-02,7.178489311482001795e+05
9.827148027842919076e-02,7.171621511776710395e+05
9.876780088589599826e-02,7.164810553227735218e+05
9.926412149336279189e-02,7.158027848354380112e+05
9.976044210082971042e-02,7.151251047469738405e+05
1.002567627082959906e-01,7.144478030692843022e+05
1.007530833157630062e-01,7.137725830031019868e+05
1.012494039232300080e-01,7.131019710570508614e+05
1.017457245306970098e-01,7.124387460205046227e+05
1.022420451381639978e-01,7.117820086927558295e+05
1.027383657456309995e-01,7.111330296361813089e+05
1.032346863530970021e-01,7.104992284258161671e+05
1.037310069605640039e-01,7.098757546093480196e+05
1.042273275680310057e-01,7.092721582135501085e+05
1.047236481754980075e-01,7.086867605343867326e+05
1.052199687829649954e-01,7.081078158818399534e+05
1.057162893904309980e-01,7.075200049418431008e+05
1.062126099978979998e-01,7.069154337157153059e+05
1.067089306053650016e-01,7.062980380569739500e+05
1.072052512128320034e-01,7.056783468488329090e+05
1.077015718202989913e-01,7.050624039819338359e+05
1.081978924277649939e-01,7.044488905897488585e+05
1.086942130352319957e-01,7.038265928646549582e+05
1.091905336426989975e-01,7.031980293935918016e+05
1.096868542501659993e-01,7.025603493399888976e+05
1.101831748576330011e-01,7.019248026033652714e+05
1.106794954651000029e-01,7.013211450891466811e+05
1.111758160725659916e-01,7.007286283913900843e+05
1.116721366800330073e-01,7.001574959111212520e+05
1.121684572875000091e-01,6.996037413840766530e+05
1.126647778949670109e-01,6.990564245982441353e+05
1.131610985024339988e-01,6.985089511761378963e+05
1.136574191099000014e-01,6.979625129925884539e+05
1.141537397173670032e-01,6.974196156002574135e+05
1.146500603248340050e-01,6.968769929439665284e+05
1.151463809323010068e-01,6.963220381157064112e+05
1.156427015397679947e-01,6.957658484634201741e+05
1.161390221472339973e-01,6.952054954189063283e+05
1.166353427547009991e-01,6.946486279598001856e+05
1.171316633621680009e-01,6.940984962520094123e+05
1.176279839696350027e-01,6.935518445027868729e+05
1.181243045771019906e-01,6.930034897064988036e+05
1.186206251845689924e-01,6.924494826450368855e+05
1.191169457920349950e-01,6.918886956714140251e+05
1.196132663995019968e-01,6.913234169633857673e+05
1.201095870069689986e-01,6.907558316491628066e+05
1.206059076144360143e-01,6.901879853225289844e+05
1.211022282219030022e-01,6.896213105658057611e+05
1.215985488293689909e-01,6.890568471766255097e+05
1.220948694368360066e-01,6.884957730024988996e+05
1.225911900443030084e-01,6.879398087324054213e+05
1.230875106517700102e-01,6.873909336900697090e+05
1.235838312592369981e-01,6.868506096848985180e+05
1.240801518667039999e-01,6.863197025404796004e+05
1.245764724741700025e-01,6.857979989741450408e+05
1.250727930816370181e-01,6.852847612243160838e+05
1.255691136891040061e-01,6.847790399630294414e+05
1.260654342965709940e-01,6.842796539053706219e+05
1.265617549040380097e-01,6.837858445861936780e+05
1.270580755115039984e-01,6.832969250277852407e+05
1.275543961189710140e-01,6.828122288111016387e+05
1.280507167264380020e-01,6.823311517476749141e+05
1.285470373339049899e-01,6.818533250142971519e+05
1.290433579413720055e-01,6.813784076543379342e+05
1.295396785488389935e-01,6.809062403022537474e+05
1.300359991563050099e-01,6.804361722771831555e+05
1.305323197637719979e-01,6.799711745543427533e+05
1.310286403712389858e-01,6.795087526908868458e+05
1.315249609787060014e-01,6.790498964239207562e+05
1.320212815861729894e-01,6.785950250855042832e+05
1.325176021936399773e-01,6.781436558715339052e+05
1.330139228011069930e-01,6.776958092193887569e+05
1.335102434085729817e-01,6.772516941537604434e+05
1.340065640160399973e-01,6.768118254821597366e+05
1.345028846235069853e-01,6.763780651314575225e+05
1.349992052309740287e-01,6.759540004008443793e+05
1.354955258384410166e-01,6.755435471404149430e+05
1.359918464459080045e-01,6.751472852073803078e+05
1.364881670533740210e-01,6.747599383619354339e+05
