Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
1.151666464,7032.128592
1.151964243,7031.873709
1.152262022,7031.589106
1.152559801,7031.274929
1.15285758,7030.930974
1.153157312,7030.553097
1.1534544,7030.150478
1.153750227,7029.719295
1.154048697,7029.25607
1.154346476,7028.767991
1.154644255,7028.254819
1.154942034,7027.718853
1.155239813,7027.162853
1.155537592,7026.590723
1.155835371,7026.005543
1.15613315,7025.41115
1.156430929,7024.811399
1.156728708,7024.210473
1.157026487,7023.612824
1.157324266,7023.023101
1.157622045,7022.446482
1.157919824,7021.888114
1.158217603,7021.353237
1.158515382,7020.84676
1.158813161,7020.371844
1.15911094,7019.932929
1.159408719,7019.53321
1.159707153,7019.174085
1.160002954,7018.863815
1.16030008,7018.594201
1.160599836,7018.369084
1.160897615,7018.190062
1.161195394,7018.054667
1.161493173,7017.958478
1.161790952,7017.903848
1.162088731,7017.884809
1.16238651,7017.899499
1.162684289,7017.957167
1.162982068,7018.032445
1.163279847,7018.145829
1.163577626,7018.27443
1.163875405,7018.436212
1.164173184,7018.608564
1.164470963,7018.807464
1.164768742,7019.014823
1.165066521,7019.243433
1.1653643,7019.477585
1.165662079,7019.727343
1.165960119,7019.983588
1.166255122,7020.236771
1.16655264,7020.496767
1.166853195,7020.742909
1.167150974,7020.977709
1.167448753,7021.186806
1.167746532,7021.3743
1.168044312,7021.528198
1.168342091,7021.64934
1.16863987,7021.732363
1.168937649,7021.777521
1.169235428,7021.785084
1.169533207,7021.764631
1.169830986,7021.716165
1.170128765,7021.641681
1.170426544,7021.551221
1.170724323,7021.452266
1.171022102,7021.353437
1.171319881,7021.26439
1.17161766,7021.192608
1.171915439,7021.145493
1.172214557,7021.133851
1.172510584,7021.162511
1.172807024,7021.237665
1.173106555,7021.371892
1.173404334,7021.559739
1.173702113,7021.816659
1.173999892,7022.138261
1.174297671,7022.519261
1.17459545,7022.964322
1.174893229,7023.459026
1.175191008,7024.011935
1.175488788,7024.607608
1.175786567,7025.257099
1.176084346,7025.940877
1.176382125,7026.668987
1.176679904,7027.424599
1.176977683,7028.215971
1.177275462,7029.025657
1.177573241,7029.861025
1.17787102,7030.708666
1.178168799,7031.571729
1.178468995,7032.447672
1.178764756,7033.312685
1.179060119,7034.177643
1.179359915,7035.045054
1.179657694,7035.890862
1.179955473,7036.712604
1.180253252,7037.50117
1.180551031,7038.24535
1.18084881,7038.935048
1.181146589,7039.560041
1.181444368,7040.114051
1.181742147,7040.591033
1.090028131,7009.144296
1.089728424,7009.62883
1.090325183,7008.673796
1.089430645,7010.116051
1.090621034,7008.216781
1.089132866,7010.605756
1.085857297,7015.407786
1.085559518,7015.775866
1.081390611,7020.902189
1.081092832,7021.266892
1.09091954,7007.774193
1.088835087,7011.093985
1.085261739,7016.137353
1.086155076,7015.032862
1.092706215,7005.771432
1.093003994,7005.582473
1.08168839,7020.529641
1.080795053,7021.620707
1.091217319,7007.355547
1.088537308,7011.57746
1.088239529,7012.053175
1.08794175,7012.51879
1.084963959,7016.495022
1.086452855,7014.64758
1.092408435,7006.005884
1.093301773,7005.437733
1.081986169,7020.15273
1.080497274,7021.959548
1.091515098,7006.96364
1.087643971,7012.972273
1.086750634,7014.250115
1.08466618,7016.85019
1.092110656,7006.284581
1.093599552,7005.344923
1.082283948,7019.774362
1.080199495,7022.279798
1.083177285,7018.650611
1.083475064,7018.28404
1.091812877,7006.604111
1.087346192,7013.41277
1.087048413,7013.839043
1.08436633,7017.208007
1.094790668,7005.454823
1.093897331,7005.298159
1.075137251,7022.389985
1.07543503,7022.662787
