Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Skin Friction Coefficient
1.117124096,467.9338391
1.117421875,467.8988956
1.109977399,468.5736632
1.110275178,468.5632599
1.115039642,468.1788235
1.115339809,468.1442984
1.116826317,467.9687569
1.117719654,467.8645734
1.10967784,468.5827402
1.110572957,468.5511595
1.113252968,468.365129
1.112955189,468.3924588
1.114741863,468.2120473
1.115635534,468.1105203
1.116528538,468.0042475
1.118017433,467.8311576
1.120101886,467.6367756
1.120399665,467.6163538
1.129035257,467.8199798
1.129333036,467.8332627
1.10938137,468.5900348
1.110870736,468.537538
1.113550747,468.3368078
1.11265741,468.4184011
1.114444084,468.2449265
1.115930926,468.0752895
1.116230759,468.0397319
1.118315212,467.7988299
1.119804107,467.6593739
1.120697444,467.5976575
1.128735489,467.8055267
1.129630815,467.8457923
1.106106271,468.57825
1.10640405,468.585365
1.109085371,468.595856
1.111168515,468.522301
1.113848526,468.3071202
1.112359631,468.4426838
1.114146305,468.2764206
1.118612991,467.7687099
1.119506328,467.6841487
1.120995223,467.5815802
1.128438346,467.789398
1.129928594,467.8571446
1.106701829,468.5918014
1.108786283,468.6002171
1.111466294,468.5050474
1.112061852,468.4653212
1.11891077,467.7393014
1.119208549,467.7109884
1.121293002,467.5670838
1.128142556,467.7733283
1.130226373,467.8677963
1.133501943,467.9260982
1.133799722,467.9263996
1.107892946,468.6044342
1.107595166,468.6032588
1.106999608,468.5968766
1.108488504,468.6030986
1.111764073,468.4862663
1.121592721,467.5558235
1.123079677,467.5352145
1.123377456,467.5381077
1.130524153,467.8770665
1.127844141,467.7556653
1.133204164,467.9249507
1.134097501,467.9256262
1.108190725,468.6044019
1.107297387,468.6008343
1.121889791,467.5457331
1.122781897,467.5338008
1.123675235,467.5435268
1.123973014,467.5505027
1.124270793,467.5596105
1.126355246,467.6613384
1.126653025,467.6801878
1.130821932,467.8857919
1.127546362,467.7373427
1.132906385,467.9229759
1.134395527,467.9240637
1.122185631,467.539747
1.122484118,467.5354234
1.124568572,467.5700312
1.126057467,467.643266
1.126950804,467.6992621
1.127248583,467.7183748
1.131119711,467.8934028
1.132608606,467.9201567
1.134690515,467.9213274
1.124866351,467.5819026
1.125461909,467.6100741
1.125759688,467.62581
1.13141749,467.9002103
1.132310827,467.916469
1.134988048,467.9176505
1.12516413,467.5948464
1.131715269,467.9065192
1.132013048,467.9118885
1.135288617,467.9128945
1.135586396,467.906497
1.135884175,467.8992657
1.136181954,467.8909648
1.136479733,467.881187
