x,Curve1
89.00915,11.205
89.20035,11.208
89.39154,11.21
89.58274,11.213
89.77393,11.215
89.96513,11.217
90.15632,11.22
90.28346,11.332
90.34751,10.779
90.36184,8.926
90.38955,6.381
90.43783,7.599
90.48516,9.01
90.57168,10.118
90.66872,10.783
90.74663,11.476
90.85227,12.114
91.03583,13.001
91.21938,13.446
91.31927,13.364
91.41057,13.891
91.60177,13.893
91.79297,14.781
91.97652,15.669
92.06495,16.334
92.16008,17.442
92.25712,18.909
92.34364,20.543
92.44021,22.813
92.51193,25.414
92.55735,27.822
92.58174,29.759
92.62574,33.107
92.6391,29.981
92.64952,15.068
92.67347,23.314
92.71843,28.073
92.78442,31.505
92.86379,35.158
92.99385,43.128
93.10862,51.54
93.2081,60.395
93.29993,70.135
93.38412,79.875
93.44537,90.5
93.48368,101.125
93.49175,111.014
93.49792,134.23
93.51268,182.928
93.51996,284.856
93.53288,233.021
93.54069,146.22
93.55149,131.423
93.5565,123.354
93.57368,115.302
93.59847,113.079
93.66461,114.99
93.70137,117.709
93.73618,120.606
93.77428,124.194
93.82801,129.461
93.93514,139.201
94.02697,148.499
94.12645,157.796
94.23358,167.094
94.34835,175.949
94.47077,184.361
94.60847,191.446
94.67589,194.324
94.76146,196.76
94.84464,198.061
94.93736,196.319
95.00951,191.921
95.05967,188.353
95.11557,183.207
95.17433,179.5
95.3043,171.976
95.44957,165.781
95.60248,159.585
95.7707,154.275
95.93892,149.85
96.1148,146.754
96.29068,143.214
96.36285,142.219
96.47421,141.003
96.54542,140.036
96.65774,138.792
96.75238,137.991
96.84128,137.023
96.94165,136.665
97.03247,136.583
97.11755,135.477
97.21601,134.815
97.3919,133.489
97.4851,132.715
97.57543,132.163
97.65573,131.804
97.76662,131.28
97.83927,130.368
97.95016,129.954
