x [m],Pressure [kPa]
2.086876631000000037e-01,2.080636960000000091e+00
2.093576044000000080e-01,2.080595166000000162e+00
2.100275457000000123e-01,2.080553639000000121e+00
2.106974869999999889e-01,2.080512375000000080e+00
2.113674282999999932e-01,2.080471372999999957e+00
2.120373695999999974e-01,2.080430450000000153e+00
2.127073258000000133e-01,2.080389964000000091e+00
2.133772670999999899e-01,2.080349732000000174e+00
2.140472083999999942e-01,2.080309929999999863e+00
2.147171496999999984e-01,2.080270200000000180e+00
2.153871058999999866e-01,2.080230891999999887e+00
2.160570471999999909e-01,2.080191827000000160e+00
2.167269886000000034e-01,2.080153005000000110e+00
2.173969299000000077e-01,2.080114421999999852e+00
2.180668712000000120e-01,2.080076077000000190e+00
2.187368274000000001e-01,2.080037965999999905e+00
2.194067687000000044e-01,2.080000087999999803e+00
2.200767100000000087e-01,2.079962441000000162e+00
2.207466513000000130e-01,2.079925021999999846e+00
2.214165925999999895e-01,2.079887826999999856e+00
2.220865488000000054e-01,2.079850858999999996e+00
2.227564901000000097e-01,2.079813945000000164e+00
2.234264313999999862e-01,2.079777417999999933e+00
2.240963726999999905e-01,2.079741111999999781e+00
2.247663139999999948e-01,2.079704851999999882e+00
2.254362702000000107e-01,2.079668808000000091e+00
2.261062114999999872e-01,2.079633314000000066e+00
2.267761527999999915e-01,2.079597863000000046e+00
2.274460942000000041e-01,2.079562951999999854e+00
2.281160355000000084e-01,2.079528246000000191e+00
2.287859916999999965e-01,2.079493747999999975e+00
2.294559330000000008e-01,2.079459775000000121e+00
2.301258743000000051e-01,2.079426005000000188e+00
2.307958156000000094e-01,2.079392593000000122e+00
2.314657569000000137e-01,2.079359538999999923e+00
2.321357131000000018e-01,2.079326675999999985e+00
2.328056544000000061e-01,2.079294163000000140e+00
2.334755957000000104e-01,2.079261514999999783e+00
2.341455369999999869e-01,2.079229049999999912e+00
2.348154782999999912e-01,2.079196288999999975e+00
2.354854345000000071e-01,2.079163391999999888e+00
2.361553758000000114e-01,2.079130038000000180e+00
2.368253170999999879e-01,2.079096235000000181e+00
2.374952585000000005e-01,2.079061820000000171e+00
2.381651998000000048e-01,2.079026966999999892e+00
2.388351559999999929e-01,2.078991672999999984e+00
2.395050972999999972e-01,2.078955944000000056e+00
2.401750386000000015e-01,2.078919782999999910e+00
2.408449799000000058e-01,2.078883509000000185e+00
2.415149212000000101e-01,2.078847275999999855e+00
2.421848773999999982e-01,2.078811092000000027e+00
2.428548187000000025e-01,2.078775103999999985e+00
2.435247600000000068e-01,2.078739624999999869e+00
2.441947013000000111e-01,2.078704498000000012e+00
2.448646425999999876e-01,2.078669872999999946e+00
2.455345988000000035e-01,2.078635897999999926e+00
2.462045401000000078e-01,2.078602416999999924e+00
2.468744814000000121e-01,2.078569732000000059e+00
2.475444226999999886e-01,2.078537988999999975e+00
2.482143641000000012e-01,2.078507028000000201e+00
2.488843202999999893e-01,2.078477148999999802e+00
2.495542615999999936e-01,2.078448492999999786e+00
2.502242029000000256e-01,2.078421046999999966e+00
2.508941591000000138e-01,2.078394809999999815e+00
2.515640854999999787e-01,2.078369914000000040e+00
2.522340417000000223e-01,2.078345604999999985e+00
2.529039680999999873e-01,2.078321723000000176e+00
2.535739242999999754e-01,2.078297817000000158e+00
2.542438805000000190e-01,2.078273143000000100e+00
2.549138068999999840e-01,2.078247112000000119e+00
2.555837631000000276e-01,2.078219289999999830e+00
2.562536894999999926e-01,2.078189244999999907e+00
2.569236456999999807e-01,2.078156703999999966e+00
2.575936019000000243e-01,2.078121830000000170e+00
2.582635282999999893e-01,2.078084934000000050e+00
2.589334845999999857e-01,2.078046473000000116e+00
2.596034110000000061e-01,2.078006896999999853e+00
2.602733671999999943e-01,2.077967087000000213e+00
2.609433233999999824e-01,2.077927918999999957e+00
2.616132498000000028e-01,2.077890253000000076e+00
2.622832059999999910e-01,2.077854660999999936e+00
2.629531324000000114e-01,2.077821986000000010e+00
2.636230885999999995e-01,2.077792786999999919e+00
2.642930447999999877e-01,2.077767462000000176e+00
2.649629712000000081e-01,2.077745842000000120e+00
2.656329273999999963e-01,2.077727900000000183e+00
2.663028538000000167e-01,2.077713462000000177e+00
2.669728100000000048e-01,2.077701654000000175e+00
2.676427661999999930e-01,2.077691746000000173e+00
2.683126926000000134e-01,2.077682874000000179e+00
2.689826488000000015e-01,2.077674049000000078e+00
2.696525752999999748e-01,2.077664281000000113e+00
2.703225315000000184e-01,2.077652459999999923e+00
2.709924877000000065e-01,2.077638040000000075e+00
2.716624141000000270e-01,2.077620201999999860e+00
2.723323703000000151e-01,2.077598973999999821e+00
2.730022966999999801e-01,2.077573962000000218e+00
2.736722529000000237e-01,2.077545332000000133e+00
2.743422091000000118e-01,2.077513113999999828e+00
2.750121354999999768e-01,2.077477882000000164e+00
2.756820917000000204e-01,2.077439794000000006e+00
2.763520180999999853e-01,2.077399285999999901e+00
2.770219742999999735e-01,2.077356648999999944e+00
2.776919305000000171e-01,2.077311896999999963e+00
2.783618568999999821e-01,2.077265725000000174e+00
2.790318131000000257e-01,2.077218146999999959e+00
2.797017394999999906e-01,2.077169576000000184e+00
2.803716957999999870e-01,2.077120293000000117e+00
2.810416519999999752e-01,2.077071108000000166e+00
2.817115783999999956e-01,2.077022291000000020e+00
2.823815345999999837e-01,2.076974781000000103e+00
2.830514610000000042e-01,2.076928968999999903e+00
2.837214171999999923e-01,2.076885777000000211e+00
2.843913733999999804e-01,2.076845719000000035e+00
2.850612998000000009e-01,2.076809175999999812e+00
2.857312559999999890e-01,2.076776519000000043e+00
2.864011824000000095e-01,2.076748115000000006e+00
2.870711385999999976e-01,2.076723807000000033e+00
2.877410947999999857e-01,2.076703560999999976e+00
2.884110212000000062e-01,2.076687088999999986e+00
2.890809773999999943e-01,2.076674107000000102e+00
2.897509335999999824e-01,2.076663926000000160e+00
2.904208601000000112e-01,2.076656144999999842e+00
2.910908162999999993e-01,2.076649961000000211e+00
2.917607427000000198e-01,2.076644584999999932e+00
2.924306989000000079e-01,2.076639364000000043e+00
2.931006252999999728e-01,2.076633261000000008e+00
2.937705815000000165e-01,2.076625637999999885e+00
2.944405377000000046e-01,2.076615859999999980e+00
2.951104641000000250e-01,2.076603174999999801e+00
2.957804203000000132e-01,2.076587470000000213e+00
2.964503765000000013e-01,2.076568384000000211e+00
2.971203029000000218e-01,2.076545939999999923e+00
2.977902591000000099e-01,2.076520288000000214e+00
2.984601854999999748e-01,2.076491958000000082e+00
2.991301417000000185e-01,2.076461471000000003e+00
2.998000680999999834e-01,2.076429226000000128e+00
3.004700243000000270e-01,2.076395864999999841e+00
3.011399806000000234e-01,2.076362018000000198e+00
3.018099069999999884e-01,2.076328576999999953e+00
3.024798631999999765e-01,2.076295406999999926e+00
3.031498194000000201e-01,2.076263260999999805e+00
3.038197457999999851e-01,2.076232254999999860e+00
3.044897019999999732e-01,2.076202627999999883e+00
3.051596283999999937e-01,2.076174373999999823e+00
3.058295845999999818e-01,2.076147360000000219e+00
3.064995408000000254e-01,2.076121452999999839e+00
3.071694671999999904e-01,2.076096523999999999e+00
3.078394233999999785e-01,2.076072439999999908e+00
3.085093497999999990e-01,2.076048951999999836e+00
3.091793059999999871e-01,2.076025688000000091e+00
3.098492621999999752e-01,2.076002406000000189e+00
3.105191885999999957e-01,2.075979220999999875e+00
3.111891447999999838e-01,2.075955893000000163e+00
3.118590713000000125e-01,2.075932179000000044e+00
3.125290275000000007e-01,2.075908082999999849e+00
3.131989836999999888e-01,2.075883844999999894e+00
3.138689101000000092e-01,2.075859229000000195e+00
3.145388662999999974e-01,2.075834235999999944e+00
3.152087927000000178e-01,2.075809110999999874e+00
3.158787489000000059e-01,2.075784089999999971e+00
3.165487050999999941e-01,2.075759174999999956e+00
3.172186315000000145e-01,2.075734365999999831e+00
3.178885877000000026e-01,2.075709900000000108e+00
3.185585141000000231e-01,2.075685774000000094e+00
3.192284703000000112e-01,2.075661987999999791e+00
3.198984264999999994e-01,2.075638538999999838e+00
3.205683529000000198e-01,2.075615421999999821e+00
3.212383091000000079e-01,2.075592638999999906e+00
3.219082354999999729e-01,2.075569950000000219e+00
3.225781918000000248e-01,2.075547122000000133e+00
3.232481480000000129e-01,2.075524386000000110e+00
3.239180743999999779e-01,2.075501511000000132e+00
3.245880306000000215e-01,2.075478264000000017e+00
3.252579569999999864e-01,2.075454646999999930e+00
3.259279131999999746e-01,2.075430663000000120e+00
3.265978694000000182e-01,2.075406542000000076e+00
3.272677957999999832e-01,2.075381827000000179e+00
3.279377520000000268e-01,2.075356981000000101e+00
3.286076783999999917e-01,2.075331774999999990e+00
3.292776345999999799e-01,2.075306213000000177e+00
3.299475908000000235e-01,2.075280752999999923e+00
3.306175171999999884e-01,2.075255166999999901e+00
3.312874733999999766e-01,2.075229455000000112e+00
3.319573997999999970e-01,2.075203848000000129e+00
3.326273560999999934e-01,2.075178343000000147e+00
3.332973122999999815e-01,2.075152715999999842e+00
3.339672387000000020e-01,2.075127186000000012e+00
3.346371948999999901e-01,2.075101762000000072e+00
3.353071213000000106e-01,2.075076666000000181e+00
3.359770774999999987e-01,2.075051442999999995e+00
3.366470336999999868e-01,2.075026099000000013e+00
3.373169601000000073e-01,2.075001074999999862e+00
3.379869162999999954e-01,2.074975929999999913e+00
3.386568427000000159e-01,2.074950881999999996e+00
3.393267989000000040e-01,2.074925710000000034e+00
3.399967550999999921e-01,2.074900637999999908e+00
3.406666815000000126e-01,2.074875442000000181e+00
3.413366377000000007e-01,2.074850344000000124e+00
3.420065641000000212e-01,2.074825124999999826e+00
3.426765203000000093e-01,2.074800003000000004e+00
