x [m],Heat flux [MW/m^2]
7.268895954000000048e-02,1.351632655999999988e-01
7.335890085000000560e-02,1.348205265999999902e-01
7.402884960000000181e-02,1.344829727000000086e-01
7.469879091000000693e-02,1.341505611999999903e-01
7.536873966000000313e-02,1.338230106999999947e-01
7.603868096999999437e-02,1.335007880999999896e-01
7.670862227999999949e-02,1.331851530000000006e-01
7.737857102999999570e-02,1.328766825999999901e-01
7.804851234000000082e-02,1.325750843000000068e-01
7.871846109999999785e-02,1.322799833999999952e-01
7.938840240000000215e-02,1.319902277999999984e-01
8.005834370999999339e-02,1.317047339999999900e-01
8.072829247000000430e-02,1.314217820999999953e-01
8.139823376999999471e-02,1.311404351999999884e-01
8.206818253000000563e-02,1.308617414999999895e-01
8.273812382999999604e-02,1.305862634999999938e-01
8.340806514000000116e-02,1.303143576000000137e-01
8.407801389999999819e-02,1.300465265999999898e-01
8.474795520000000248e-02,1.297834568000000022e-01
8.541790395999999952e-02,1.295253325000000066e-01
8.608784527000000464e-02,1.292716462000000066e-01
8.675778656999999505e-02,1.290216694000000108e-01
8.742773533000000596e-02,1.287751646999999999e-01
8.809767662999999638e-02,1.285322586000000045e-01
8.876762538999999341e-02,1.282930461000000022e-01
8.943756669999999853e-02,1.280570128000000085e-01
9.010750800000000282e-02,1.278239402999999941e-01
9.077745675999999986e-02,1.275931386999999972e-01
9.144739807000000498e-02,1.273650856000000109e-01
9.211734682000000118e-02,1.271404936999999957e-01
9.278728813000000630e-02,1.269183520000000120e-01
9.345722943999999754e-02,1.266981305999999863e-01
9.412717818999999375e-02,1.264798903000000085e-01
9.479711949999999887e-02,1.262640983999999966e-01
9.546706824999999508e-02,1.260511709000000091e-01
9.613700956000000020e-02,1.258409476000000027e-01
9.680695087000000532e-02,1.256329361000000089e-01
9.747689962000000152e-02,1.254269919000000066e-01
9.814684093000000664e-02,1.252234536000000065e-01
9.881678969000000368e-02,1.250227362000000120e-01
9.948673098999999409e-02,1.248247589999999935e-01
1.001566722999999992e-01,1.246288999000000064e-01
1.008266210999999996e-01,1.244345189999999934e-01
1.014965624000000038e-01,1.242417294999999949e-01
1.021665110999999959e-01,1.240514449000000019e-01
1.028364524000000002e-01,1.238649062999999939e-01
1.035063937000000045e-01,1.236830433999999979e-01
1.041763425000000048e-01,1.235058931999999943e-01
1.048462837999999953e-01,1.233324796000000029e-01
1.055162325999999956e-01,1.231614280999999977e-01
1.061861738999999999e-01,1.229915131999999994e-01
1.068561226000000058e-01,1.228216850999999943e-01
1.075260638999999963e-01,1.226514489999999957e-01
1.081960052000000005e-01,1.224806900999999976e-01
1.088659540000000009e-01,1.223097280000000064e-01
1.095358953000000052e-01,1.221389962000000023e-01
1.102058439999999973e-01,1.219695739000000029e-01
1.108757853999999959e-01,1.218016224000000036e-01
1.115457267000000002e-01,1.216372564000000045e-01
1.122156754000000062e-01,1.214770243999999944e-01
1.128856166999999966e-01,1.213204154000000062e-01
1.135555654999999969e-01,1.211609688999999990e-01
1.142255068000000012e-01,1.210205216999999944e-01
1.148954481000000055e-01,1.208476752999999987e-01
1.155653967999999976e-01,1.207117998999999997e-01
1.162353381999999963e-01,1.205596721999999954e-01
1.169052869000000022e-01,1.204098658999999960e-01
1.175752282000000065e-01,1.202610384000000060e-01
1.182451694999999969e-01,1.201126527000000027e-01
1.189151182999999973e-01,1.199649864000000010e-01
1.195850596000000016e-01,1.198188627000000006e-01
1.202550082999999936e-01,1.196753502000000025e-01
1.209249495999999979e-01,1.195353829999999951e-01
1.215948909999999966e-01,1.193994778999999951e-01
1.222648397000000026e-01,1.192673806999999947e-01
1.229347810000000069e-01,1.191383225999999990e-01
1.236047297999999933e-01,1.190111905000000025e-01
1.242746710999999976e-01,1.188849146000000023e-01
1.249446124000000019e-01,1.187587281999999966e-01
1.256145536999999923e-01,1.186323427000000041e-01
1.262845099000000082e-01,1.185059502999999959e-01
1.269544512000000125e-01,1.183799702999999981e-01
1.276243924999999890e-01,1.182548308999999964e-01
1.282943337999999933e-01,1.181306975000000065e-01
1.289642750999999976e-01,1.180077041999999937e-01
1.296342313000000135e-01,1.178856937000000021e-01
1.303041725999999900e-01,1.177651876999999958e-01
1.309741138999999943e-01,1.176462459999999960e-01
1.316440551999999986e-01,1.175285984000000034e-01
1.323139966000000112e-01,1.174127065000000053e-01
1.329839527999999993e-01,1.172982543000000016e-01
1.336538941000000036e-01,1.171845794999999968e-01
1.343238354000000079e-01,1.170709161000000054e-01
1.349937767000000122e-01,1.169566115999999961e-01
1.356637179999999887e-01,1.168413997999999954e-01
1.363336742000000046e-01,1.167254357999999992e-01
1.370036155000000089e-01,1.166093027999999948e-01
1.376735568000000132e-01,1.164939846999999973e-01
1.383434980999999897e-01,1.163804296000000016e-01
1.390134393999999940e-01,1.162696775000000016e-01
1.396833956000000099e-01,1.161614730999999956e-01
1.403533368999999864e-01,1.160556509999999958e-01
1.410232781999999907e-01,1.159518008999999988e-01
1.416932194999999950e-01,1.158485327000000065e-01
1.423631607999999993e-01,1.157450077999999938e-01
1.430331170999999957e-01,1.156407829000000026e-01
1.437030584000000000e-01,1.155360020999999932e-01
1.443729997000000043e-01,1.154313425000000060e-01
1.450429410000000086e-01,1.153278732000000001e-01
1.457128971999999967e-01,1.152265724000000047e-01
1.463828385000000010e-01,1.151280692999999966e-01
1.470527798000000053e-01,1.150324570999999990e-01
1.477227211000000096e-01,1.149393697000000020e-01
1.483926624000000138e-01,1.148480820999999985e-01
1.490626036999999904e-01,1.147576634999999956e-01
1.497325599000000063e-01,1.146672244000000035e-01
1.504025012000000106e-01,1.145761312000000004e-01
1.510724424999999871e-01,1.144839784999999999e-01
1.517423837999999914e-01,1.143907625000000067e-01
1.524123400000000073e-01,1.142965140000000018e-01
1.530822813999999921e-01,1.142015697000000052e-01
1.537522226999999964e-01,1.141063308000000026e-01
1.544221640000000006e-01,1.140113246000000052e-01
1.550921053000000049e-01,1.139170614999999998e-01
1.557620466000000092e-01,1.138239885999999951e-01
1.564320027999999974e-01,1.137324301000000037e-01
1.571019441000000016e-01,1.136426046000000023e-01
1.577718854000000059e-01,1.135546964000000020e-01
1.584418267000000102e-01,1.134688105999999974e-01
1.591117828999999984e-01,1.133849066000000017e-01
1.597817242000000026e-01,1.133027555999999991e-01
