x [m],Heat flux [MW/m^2]
7.268895954000000048e-02,1.442055318000000086e-01
7.335890085000000560e-02,1.438784060999999947e-01
7.402884960000000181e-02,1.435572663999999943e-01
7.469879091000000693e-02,1.432417578000000080e-01
7.536873966000000313e-02,1.429310813999999930e-01
7.603868096999999437e-02,1.426257770000000091e-01
7.670862227999999949e-02,1.423253965000000065e-01
7.737857102999999570e-02,1.420293913000000019e-01
7.804851234000000082e-02,1.417377412999999975e-01
7.871846109999999785e-02,1.414511628000000021e-01
7.938840240000000215e-02,1.411704997999999878e-01
8.005834370999999339e-02,1.408962065999999902e-01
8.072829247000000430e-02,1.406282580000000060e-01
8.139823376999999471e-02,1.403659659000000004e-01
8.206818253000000563e-02,1.401077944999999936e-01
8.273812382999999604e-02,1.398520107000000012e-01
8.340806514000000116e-02,1.395973567000000082e-01
8.407801389999999819e-02,1.393434325000000029e-01
8.474795520000000248e-02,1.390905622999999980e-01
8.541790395999999952e-02,1.388395544999999898e-01
8.608784527000000464e-02,1.385912344999999934e-01
8.675778656999999505e-02,1.383462481000000133e-01
8.742773533000000596e-02,1.381049205999999863e-01
8.809767662999999638e-02,1.378672496999999997e-01
8.876762538999999341e-02,1.376330575999999972e-01
8.943756669999999853e-02,1.374019153999999909e-01
9.010750800000000282e-02,1.371733267999999950e-01
9.077745675999999986e-02,1.369468098999999939e-01
9.144739807000000498e-02,1.367220818000000060e-01
9.211734682000000118e-02,1.364989463999999875e-01
9.278728813000000630e-02,1.362772650000000085e-01
9.345722943999999754e-02,1.360574578000000034e-01
9.412717818999999375e-02,1.358396907999999959e-01
9.479711949999999887e-02,1.356252052999999957e-01
9.546706824999999508e-02,1.354153600999999929e-01
9.613700956000000020e-02,1.352097570000000137e-01
9.680695087000000532e-02,1.350078594000000132e-01
9.747689962000000152e-02,1.348088731000000040e-01
9.814684093000000664e-02,1.346120379999999894e-01
9.881678969000000368e-02,1.344165901999999913e-01
9.948673098999999409e-02,1.342227437000000079e-01
1.001566722999999992e-01,1.340302141999999974e-01
1.008266210999999996e-01,1.338385682000000076e-01
1.014965624000000038e-01,1.336486678999999900e-01
1.021665110999999959e-01,1.334608919999999976e-01
1.028364524000000002e-01,1.332755392999999955e-01
1.035063937000000045e-01,1.330926790999999998e-01
1.041763425000000048e-01,1.329122403999999924e-01
1.048462837999999953e-01,1.327340154999999966e-01
1.055162325999999956e-01,1.325577908999999999e-01
1.061861738999999999e-01,1.323834603000000054e-01
1.068561226000000058e-01,1.322109884999999874e-01
1.075260638999999963e-01,1.320404078000000092e-01
1.081960052000000005e-01,1.318717167000000023e-01
1.088659540000000009e-01,1.317048024999999956e-01
1.095358953000000052e-01,1.315395666999999991e-01
1.102058439999999973e-01,1.313758254000000070e-01
1.108757853999999959e-01,1.312139539999999938e-01
1.115457267000000002e-01,1.310531620000000008e-01
1.122156754000000062e-01,1.308950207000000032e-01
1.128856166999999966e-01,1.307397717999999875e-01
1.135555654999999969e-01,1.305863651999999986e-01
1.142255068000000012e-01,1.304297313999999985e-01
1.148954481000000055e-01,1.302912183000000113e-01
1.155653967999999976e-01,1.301198557000000089e-01
1.162353381999999963e-01,1.299887104000000126e-01
1.169052869000000022e-01,1.298406810999999939e-01
1.175752282000000065e-01,1.296960520000000061e-01
1.182451694999999969e-01,1.295537247999999919e-01
1.189151182999999973e-01,1.294130927999999903e-01
1.195850596000000016e-01,1.292738447000000013e-01
1.202550082999999936e-01,1.291356867000000019e-01
1.209249495999999979e-01,1.289983413000000134e-01
