Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Shear Stress: Magnitude (Pa)
2.248088891,72.91796125
2.24838667,72.91653792
2.248684449,72.91528468
2.248982228,72.91415494
2.249280007,72.91322329
2.249577786,72.91224946
2.249875565,72.91158436
2.250173345,72.91088636
2.250471124,72.91028378
2.250768903,72.90970882
2.251066682,72.90918459
2.251364461,72.90860439
2.251665152,72.90816494
2.251961531,72.90775036
2.252256398,72.90719242
2.252555577,72.90682415
2.252853356,72.90623081
2.253151135,72.90570276
2.253448914,72.90497129
2.253746693,72.90413623
2.254044472,72.90320326
2.256426704,72.88982587
2.256128925,72.89209286
2.254342251,72.90211508
2.256724483,72.8875134
2.255831146,72.89416322
2.25464003,72.90082792
2.257022262,72.88504501
2.255533367,72.8960306
2.254937809,72.89943667
2.257320041,72.88249714
2.255235588,72.89785475
2.259404495,72.86239322
2.259106716,72.86560066
2.257617821,72.87985481
2.261488948,72.83721781
2.261786727,72.8328411
2.259702274,72.85929503
2.258806476,72.86843454
2.257917986,72.87704686
2.261191169,72.84139583
2.262084506,72.82809808
2.258508643,72.8714703
2.260000053,72.85601442
2.25821571,72.87439925
2.26089339,72.84533918
2.262382285,72.82315274
2.260297832,72.85267349
2.260595611,72.8490634
2.262680064,72.8179481
2.262977843,72.8124173
2.263275622,72.80668817
2.263573401,72.80066263
2.26387118,72.7943418
2.264168959,72.78779779
2.264466432,72.78100444
2.264760895,72.77425176
2.26505898,72.76684373
2.265360076,72.75966659
2.265657855,72.75209392
2.265955634,72.74453105
2.266253413,72.73688721
2.266551192,72.72913395
2.266848971,72.72145874
2.26714675,72.7137122
2.267444529,72.70602517
2.267742308,72.69838712
2.268040087,72.69089942
2.268337866,72.68340509
2.268635645,72.6761367
2.268933424,72.66902271
2.269231203,72.66203839
2.269528982,72.65525233
2.269826761,72.64872663
2.27012454,72.64226163
2.270422319,72.6360275
2.270720869,72.62981509
2.271016356,72.6239128
2.271313365,72.6175368
2.271613435,72.6114652
2.271911214,72.60520218
2.272208994,72.59869069
2.272506773,72.59209414
2.272804552,72.58532464
2.273102331,72.57835031
2.27340011,72.57119281
2.273697889,72.56387992
2.273995668,72.55649613
2.274293447,72.5489731
2.274591226,72.54127713
2.274889005,72.53359088
2.275186784,72.52566557
2.275484563,72.517787
2.275782342,72.50977389
2.276080121,72.50182312
2.2763779,72.49395166
2.276675679,72.48615017
2.276975307,72.47836139
2.277270359,72.47123121
2.27756629,72.4637575
2.277866795,72.456921
2.278164574,72.45022405
2.278462353,72.44373765
2.278760132,72.437684
2.279057911,72.43182032
2.279355691,72.42629845
2.27965347,72.42091419
2.279951249,72.41583826
2.280249028,72.41093684
2.280546807,72.40614711
2.280844586,72.40157363
2.281142365,72.3972758
2.281440144,72.39385611
2.281737923,72.3921207
2.282035702,72.39195559
2.282333481,72.38465597
2.28263126,72.3322049
2.282929039,72.06951771
2.283229745,71.1093286
2.283526142,67.59627928
2.283820995,59.82893329
2.284120155,46.72114135
2.284417934,26.57285694
2.284715713,8.458638227
2.285013492,5.758274103
2.285311271,14.98931159
2.28560905,20.60320725
2.285906829,24.19044452
2.286204608,26.7038848
2.286502388,28.50364332
2.286800167,29.76348217
2.287097946,30.5931554
2.287395725,30.97105953
2.287693504,31.18389603
2.287991283,31.33909933
2.288289062,31.45803531
2.288586841,31.54580963
2.28888462,31.59717362
2.289182399,31.67501577
2.289482576,31.69462459
2.289780319,31.79479267
2.290073251,31.80257112
2.290371067,31.77590895
2.290671294,31.82039656
2.290969073,31.82122675
2.291266852,31.84728518
2.291564631,31.86332435
2.29186241,31.87925757
2.292160189,31.88741863
2.292457968,31.90615152
2.292755747,31.92552739
2.293053526,31.94944333
2.293351305,31.98421047
2.293649084,32.01930338
2.293946864,32.05153937
2.294244643,32.08984074
2.294542422,32.13372473
2.294840201,32.17454983
2.29513798,32.22394507
2.295435759,32.27080419
2.295733538,32.33037768
2.296031025,32.36630165
2.296325501,32.447974
2.296623573,32.46147493
2.296924654,32.56510639
2.297222433,32.61302828
2.297520212,32.678675
2.297817991,32.73346062
2.29811577,32.78793357
2.298413549,32.83620425
2.298711328,32.86883807
2.299009107,32.87775531
2.299306886,32.86810368
2.299604665,32.84028179
2.299902444,32.79210445
2.300200223,32.72352625
2.300498002,32.63308277
2.300795781,32.52535431
2.301093561,32.40109449
2.30139134,32.27235121
2.301689119,32.13761791
2.301986898,32.01508737
2.302285462,31.87886583
2.302580963,31.79119031
2.302877957,31.66587963
2.303178014,31.6218282
2.303475793,31.58483821
2.303773572,31.59729018
2.304071351,31.64760489
2.30436913,31.74194743
2.304666909,31.87738598
2.304964688,32.05143026
2.305262467,32.25917994
2.305560246,32.49461428
2.305858025,32.75119082
2.306155804,33.02081784
2.306453583,33.29507821
2.306751362,33.5674768
2.307049141,33.83464801
2.30734692,34.09370443
2.307644699,34.3473354
2.307942478,34.58708967
2.308240257,34.82917585
2.3085399,35.0380509
2.30883497,35.29076519
2.309130887,35.45699974
2.309431374,35.68573491
2.309729153,35.871292
2.310026932,36.05955428
2.310324711,36.23697559
2.31062249,36.40813197
2.310920269,36.57097215
2.311218048,36.72628256
2.311515827,36.87408501
2.311813606,37.01567582
2.312111385,37.15144772
2.312409164,37.28180038
2.312706943,37.40689159
2.313004722,37.52589925
2.313302501,37.63870977
2.31360028,37.74270211
2.313898059,37.83928807
2.314195838,37.91692274
2.314493617,37.98991906
2.314794338,38.00759584
2.315090754,38.07043775
2.315385591,38.02888975
2.315684734,38.02039917
2.315982513,37.96800668
2.316280292,37.89689995
2.316578071,37.80119583
2.31687585,37.68595489
2.317173629,37.55236198
2.317471408,37.40203601
2.317769187,37.23829259
2.318066966,37.06473548
2.318364745,36.88373926
2.318662524,36.70016914
2.318960303,36.51657143
2.319258082,36.33405266
2.319555861,36.15623615
2.31985364,35.98350495
2.320151419,35.81995085
2.320449198,35.6633514
2.320746977,35.52113628
2.321047167,35.3770572
2.321344928,35.27434479
2.32163786,35.17073162
2.173048573,73.17678504
2.173346352,73.17913065
2.173644131,73.18159524
2.17394191,73.18406541
2.174239689,73.18664094
2.174537468,73.18932582
2.174835247,73.19215269
2.175133026,73.19510648
2.175430805,73.19824809
2.175728584,73.20152214
2.17602709,73.20492957
2.178408596,73.23445095
2.178706375,73.23817289
2.176322536,73.20824782
2.178110817,73.23070559
2.179004154,73.24182154
2.188832309,73.31804104
2.189127205,73.31954996
2.176619588,73.21207111
2.177813038,73.22689321
2.179301933,73.24540408
2.185257514,73.29788608
2.184959735,73.29601324
2.188535966,73.31678127
2.18942642,73.32077918
2.1769197,73.21561287
2.177515259,73.22317386
2.179599712,73.24892597
2.181088607,73.26509946
2.181386386,73.26802449
2.185555293,73.29971604
2.184661956,73.294016
2.188235304,73.31515055
2.189724199,73.32197434
2.17721748,73.21937318
2.179897491,73.25234138
2.180790828,73.26207407
2.181684165,73.27082428
2.185853072,73.30156311
2.184364176,73.29209283
2.183470839,73.28570234
2.18317306,73.28342067
2.187937525,73.31356827
2.190021978,73.32309924
2.18019527,73.25571079
2.180493049,73.25892991
2.181981944,73.27356258
2.184066397,73.28999721
2.186150851,73.30334213
2.183768618,73.28789828
2.182872501,73.28118665
2.187639746,73.31197764
2.190319757,73.32410661
2.192106432,73.3294111
2.192404211,73.33034964
2.182281528,73.27623151
2.182576526,73.27856742
2.18644863,73.30512965
2.187341967,73.31029444
2.190617536,73.32506626
2.191808653,73.32849411
2.19270199,73.33140886
2.195379425,73.34534094
2.195677295,73.34731115
2.186746409,73.30686668
2.187044188,73.3085872
2.190915315,73.32591803
2.191510873,73.32763286
2.192999769,73.33251826
2.191213094,73.32681614
2.198359791,73.36369359
2.19865757,73.3652153
2.195086492,73.34348387
2.195977559,73.3491894
2.193297548,73.33381711
2.198062012,73.36211919
2.198955349,73.36658437
2.203719814,73.37549238
2.194788804,73.3417031
2.196275338,73.35114153
2.193595327,73.33517514
2.193893106,73.33665348
2.197764233,73.36044385
2.199253129,73.36794874
2.203422035,73.37589993
2.204017593,73.37502635
2.201039803,73.37397322
2.201337246,73.37469149
2.194488664,73.3399099
2.196573117,73.35306201
2.194190885,73.33823982
2.197466454,73.3586814
2.199550908,73.36916323
2.203124256,73.37617303
2.204315372,73.37436823
2.200742024,73.37321015
2.201631681,73.37521267
2.196870896,73.35498626
2.197168675,73.35684663
2.199848687,73.37034057
2.202826477,73.37625947
2.204613151,73.37365613
2.200444245,73.37232324
2.201929796,73.37572962
2.200146466,73.37137489
2.202528698,73.37622195
2.20491093,73.37289795
2.202230919,73.37605744
2.205208709,73.37204057
2.205506488,73.37117945
2.205804267,73.37033189
2.206102046,73.36946565
2.206399826,73.36857492
2.206697605,73.36777742
2.206995384,73.36703245
2.207293163,73.36630193
2.207591683,73.3657314
2.207887143,73.3652788
2.20818418,73.36486226
2.208484279,73.3645578
2.208782058,73.36418208
2.209079837,73.36383906
2.209377616,73.3633777
2.209675395,73.36282612
2.209973174,73.36212553
2.210270953,73.36126543
2.210568732,73.36020714
2.210866511,73.35898404
2.21116429,73.35754029
2.211462069,73.35592989
2.211759848,73.35417138
2.212057627,73.35225831
2.212355406,73.35024694
2.212653185,73.34809056
2.212950964,73.34596797
2.213248743,73.34374121
2.213546522,73.34156037
2.213846121,73.33924403
2.214141137,73.33715643
2.214437097,73.33475401
2.214737639,73.33258532
2.215035418,73.33023292
2.215333197,73.32791324
2.215630976,73.32555
2.215928755,73.32309326
2.216226534,73.32055816
2.216524313,73.31787491
2.216822092,73.31513785
2.217119871,73.31222056
2.21741765,73.30917323
2.217715429,73.30600975
2.218013208,73.30258926
2.218310987,73.2990398
2.218608766,73.29525837
2.218906545,73.29125784
2.219204324,73.28707059
2.219502103,73.28247508
2.219799882,73.27784602
2.220100559,73.27275215
2.22039692,73.26796353
2.220691802,73.26235804
2.220990999,73.25690841
2.221288778,73.25116996
2.221586557,73.24538406
2.221884336,73.23943069
2.222182115,73.23348737
2.222479894,73.22742699
2.222777673,73.22129053
2.223075452,73.21520838
2.223373231,73.20898546
2.22367101,73.20283423
2.223968789,73.19659181
2.224266568,73.19031859
2.224564347,73.18398149
2.224862126,73.1775681
2.225159905,73.17110408
2.225457684,73.1645546
2.225755463,73.15788061
2.226053242,73.15121585
2.226353395,73.14418441
2.226651101,73.13747867
2.226944034,73.13056026
2.227241886,73.12342686
2.227542137,73.11648661
2.227839916,73.10944524
2.228137695,73.10246236
2.228435475,73.09559415
2.228733254,73.08889273
2.229031033,73.08230686
2.229328812,73.0759
2.229626591,73.06968233
2.22992437,73.06371668
2.230222149,73.0579967
2.230519928,73.05254739
