Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)
1.575785655,36822.6369
1.575984166,36825.05272
1.576183585,36827.41685
1.576382096,36829.70664
1.576580607,36831.95645
1.576779573,36834.15348
1.576978083,36836.29997
1.57717614,36838.40163
1.577374651,36840.46082
1.577573162,36842.4963
1.57777349,36844.50835
1.577972001,36846.46859
1.578168694,36848.39109
1.578367205,36850.30333
1.578565716,36852.21402
1.578766138,36854.11927
1.578964649,36855.9833
1.579161249,36857.84225
1.57935976,36859.71545
1.579558271,36861.58202
1.579756782,36863.46244
1.579955293,36865.34828
1.580153803,36867.25809
1.580352314,36869.17951
1.580550825,36871.13654
1.580749336,36873.11667
1.580947847,36875.13172
1.581146358,36877.19019
1.581344869,36879.29063
1.58154338,36881.43041
1.581741891,36883.64149
1.581940402,36885.88956
1.582138912,36888.21506
1.582337423,36890.60695
1.582535934,36893.06688
1.582734445,36895.61523
1.582932956,36898.23129
1.583131467,36900.93477
1.583329978,36903.7275
1.583528489,36906.6059
1.583727,36909.57823
1.583925511,36912.64045
1.584124022,36915.78507
1.584320486,36919.00017
1.584518997,36922.33722
1.584719554,36925.78706
1.584918065,36929.30145
1.585116576,36932.88166
1.585313045,36936.50944
1.585511556,36940.24483
1.446357455,37704.85492
1.446555966,37700.8828
1.444175586,37732.94742
1.446158945,37708.63244
1.446754477,37696.7382
1.444372346,37731.75288
1.445960434,37712.20202
1.446952988,37692.43681
1.444570857,37730.22345
1.445761923,37715.54642
1.447151499,37687.99881
1.455885979,37452.41307
1.455687468,37458.49012
1.458863642,37357.39773
1.459062153,37350.93477
1.444769368,37728.42009
1.445563412,37718.64792
1.44735001,37683.4328
1.450523876,37602.33618
1.450722387,37597.07111
1.452114272,37559.94933
1.452312782,37554.6169
1.45608449,37446.30866
1.455488957,37464.51851
1.458665131,37363.86967
1.459260664,37344.47379
1.444967879,37726.37439
1.445364901,37721.48435
1.447548521,37678.75895
1.450327673,37607.52673
1.450923206,37591.73781
1.451915761,37565.26088
1.452511711,37549.27037
1.455290446,37470.49227
1.456283001,37440.15716
1.45846662,37370.33131
1.459459175,37338.02748
1.448739586,37649.11317
1.448938097,37643.9927
1.44516639,37724.05388
1.447747032,37673.98959
1.450129163,37612.78085
1.451121717,37586.44225
1.454099381,37505.36085
1.45390087,37510.99944
1.451716305,37570.58777
1.452710222,37543.89832
1.456481511,37433.96504
1.455091935,37476.43642
1.45826811,37376.7963
1.459657686,37331.58392
1.463429393,37217.70216
1.463627904,37212.5342
1.448541075,37654.18746
1.449136608,37638.84309
1.447945543,37669.13422
1.449930652,37618.03719
1.451320228,37581.14669
1.454297892,37499.67815
1.45370414,37516.55351
1.451517794,37575.8855
1.452908315,37538.51701
1.454893424,37482.31188
1.456680022,37427.74081
1.458069599,37383.23971
1.459856197,37325.16624
1.461444284,37274.90078
1.461243695,37281.09159
1.46323153,37222.98315
1.463826415,37207.46945
1.448342564,37659.22285
1.449335119,37633.67223
1.448144054,37664.21218
1.449732141,37623.25482
1.454498292,37493.8908
1.453505629,37522.08631
1.453106826,37533.09048
1.454696802,37488.11546
1.456878533,37421.47665
1.457871088,37389.6758
1.46005264,37318.83407
1.461045184,37287.28942
1.461642795,37268.82705
1.463033019,37228.37469
1.464026937,37202.47907
1.465811524,37164.07979
1.465613013,37167.77382
1.44953363,37628.4783
1.453305337,37527.63104
1.457077044,37415.17573
1.457672577,37396.08889
1.460251151,37312.45172
1.461841306,37262.80525
1.460848751,37293.45732
1.46283386,37233.89981
1.464225448,37197.68152
1.465414502,37171.63303
1.466010035,37160.53112
1.471171318,37130.78093
1.471369829,37132.05999
1.469583231,37126.9318
1.469781742,37126.77401
1.457275555,37408.84129
1.457474066,37402.4831
1.460451729,37306.05007
1.46065024,37299.74082
1.462039102,37256.87831
1.462635349,37239.50139
1.464421948,37193.02718
1.466208546,37157.16038
1.465218019,37175.59671
1.468193655,37133.02364
1.468392166,37131.59636
1.470972807,37129.65355
1.471566492,37133.52771
1.46938472,37127.29625
1.469980253,37126.76917
1.473156427,37150.46258
1.473354938,37153.08459
1.462237613,37251.0069
1.462436839,37245.199
1.464620458,37188.48015
1.465019508,37179.73284
1.466407057,37153.92746
1.467995144,37134.59067
1.468590676,37130.40628
1.470772367,37128.69555
1.471765003,37135.1475
1.469186209,37127.79753
1.470178764,37126.9888
