Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)
2.248088891,35222.49939
2.24838667,35222.07799
2.248684449,35221.66989
2.248982228,35221.27417
2.249280007,35220.88345
2.249577786,35220.46304
2.249875565,35220.05204
2.250173345,35219.59048
2.250471124,35219.10928
2.250768903,35218.56433
2.251066682,35217.99121
2.251364461,35217.338
2.251665152,35216.64705
2.251961531,35215.88761
2.252256398,35215.04808
2.252555577,35214.13879
2.252853356,35213.12019
2.253151135,35212.03084
2.253448914,35210.82834
2.253746693,35209.5306
2.254044472,35208.13804
2.256426704,35193.6361
2.256128925,35195.75314
2.254342251,35206.64718
2.256724483,35191.45853
2.255831146,35197.78183
2.25464003,35205.05302
2.257022262,35189.1972
2.255533367,35199.72267
2.254937809,35203.37304
2.257320041,35186.86812
2.255235588,35201.59909
2.259404495,35168.37357
2.259106716,35171.2852
2.257617821,35184.46443
2.261488948,35145.15839
2.261786727,35141.41056
2.259702274,35165.39194
2.258806476,35174.09929
2.257917986,35181.96693
2.261191169,35148.81037
2.262084506,35137.54347
2.258508643,35176.81449
2.260000053,35162.29168
2.25821571,35179.41279
2.26089339,35152.349
2.262382285,35133.59324
2.260297832,35159.09774
2.260595611,35155.77307
2.262680064,35129.56018
2.262977843,35125.43843
2.263275622,35121.26092
2.263573401,35117.02053
2.26387118,35112.72767
2.264168959,35108.3989
2.264466432,35104.05562
2.264760895,35099.74412
2.26505898,35095.37476
2.265360076,35090.97518
2.265657855,35086.62849
2.265955634,35082.32238
2.266253413,35078.0531
2.266551192,35073.81324
2.266848971,35069.64187
2.26714675,35065.50862
2.267444529,35061.43969
2.267742308,35057.42492
2.268040087,35053.48178
2.268337866,35049.57442
2.268635645,35045.73863
2.268933424,35041.94964
2.269231203,35038.19761
2.269528982,35034.48291
2.269826761,35030.80114
2.27012454,35027.11417
2.270422319,35023.43631
2.270720869,35019.74047
2.271016356,35016.04175
2.271313365,35012.29242
2.271613435,35008.46456
2.271911214,35004.63973
2.272208994,35000.74814
2.272506773,34996.84141
2.272804552,34992.91059
2.273102331,34988.96408
2.27340011,34985.01523
2.273697889,34981.07401
2.273995668,34977.16592
2.274293447,34973.28425
2.274591226,34969.43065
2.274889005,34965.64891
2.275186784,34961.90192
2.275484563,34958.25055
2.275782342,34954.66799
2.276080121,34951.19066
2.2763779,34947.82628
2.276675679,34944.55943
2.276975307,34941.40231
2.277270359,34938.41443
2.27756629,34935.51142
2.277866795,34932.69566
2.278164574,34930.01104
2.278462353,34927.39194
2.278760132,34924.8957
2.279057911,34922.43676
2.279355691,34920.06744
2.27965347,34917.70668
2.279951249,34915.40935
2.280249028,34913.11654
2.280546807,34910.82449
2.280844586,34908.55251
2.281142365,34906.24999
2.281440144,34904.03637
2.281737923,34901.87514
2.282035702,34900.11582
2.282333481,34897.86082
2.28263126,34900.06491
2.282929039,34888.53736
2.283229745,34889.818
2.283526142,34545.73301
2.283820995,34177.09545
2.284120155,32797.65636
2.284417934,30742.65952
2.284715713,28160.28762
2.285013492,25408.14018
2.285311271,23208.10597
2.28560905,22100.43249
2.285906829,22313.92857
2.286204608,23693.27253
2.286502388,25721.66344
2.286800167,27868.2444
2.287097946,29877.63932
2.287395725,31646.28424
2.287693504,33227.82708
2.287991283,34729.98059
2.288289062,36131.55575
2.288586841,37464.50854
2.28888462,38709.03241
2.289182399,39886.78212
2.289482576,41005.96233
2.289780319,42086.33959
2.290073251,43054.74935
2.290371067,43968.59196
2.290671294,44884.62963
2.290969073,45737.07832
2.291266852,46557.27239
2.291564631,47338.42203
2.29186241,48091.6318
2.292160189,48814.18731
2.292457968,49512.73884
2.292755747,50186.12263
2.293053526,50836.08832
2.293351305,51474.45152
2.293649084,52099.37033
2.293946864,52703.05633
2.294244643,53288.88056
2.294542422,53860.40356
2.294840201,54416.95151
2.29513798,54965.26608
2.295435759,55507.29531
2.295733538,56040.25157
2.296031025,56556.93776
2.296325501,57061.78105
2.296623573,57550.7192
2.296924654,58058.46386
2.297222433,58547.1814
2.297520212,59023.10562
2.297817991,59488.16753
2.29811577,59938.60194
2.298413549,60372.36711
2.298711328,60783.76297
2.299009107,61163.47625
2.299306886,61512.07177
2.299604665,61832.50679
2.299902444,62122.48005
2.300200223,62378.59899
2.300498002,62599.55433
2.300795781,62786.6637
2.301093561,62943.343
2.30139134,63076.15262
2.301689119,63193.84132
2.301986898,63304.06204
2.302285462,63405.88478
2.302580963,63511.14601
2.302877957,63616.25119
2.303178014,63740.94907
2.303475793,63898.59074
2.303773572,64085.30954
2.304071351,64310.89463
2.30436913,64572.26966
2.304666909,64870.06193
2.304964688,65200.7008
2.305262467,65560.52775
2.305560246,65944.78042
2.305858025,66349.59163
2.306155804,66770.49529
2.306453583,67201.97112
2.306751362,67638.35577
2.307049141,68075.87268
2.30734692,68512.15185
2.307644699,68946.96727
2.307942478,69378.19654
2.308240257,69807.38784
2.3085399,70229.30218
2.30883497,70656.23735
2.309130887,71057.48361
2.309431374,71471.24249
2.309729153,71878.06394
2.310026932,72272.49672
2.310324711,72663.34221
2.31062249,73046.50369
2.310920269,73423.18533
2.311218048,73792.58439
2.311515827,74154.71723
2.311813606,74509.91365
2.312111385,74858.17696
2.312409164,75199.22719
2.312706943,75532.42334
2.313004722,75856.86893
2.313302501,76171.61191
2.31360028,76475.71639
2.313898059,76768.21132
2.314195838,77045.43246
2.314493617,77306.57193
2.314794338,77538.82511
2.315090754,77758.53496
2.315385591,77941.21985
2.315684734,78095.80143
2.315982513,78234.07015
2.316280292,78337.6037
2.316578071,78415.27053
2.31687585,78465.54825
2.317173629,78491.33933
2.317471408,78493.57132
2.317769187,78473.9314
2.318066966,78435.46307
2.318364745,78380.81058
