Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Position[Y] (m)
2.340028724,0.287319399
2.340276863,0.287349867
2.340525001,0.287380335
2.34077314,0.287410802
2.341021279,0.28744127
2.346976606,0.288172492
2.346728467,0.288142024
2.341271174,0.287471953
2.346480329,0.288111557
2.347224744,0.28820296
2.341519313,0.287502421
2.344247081,0.287837348
2.34449522,0.287867816
2.34623219,0.288081089
2.347472883,0.288233427
2.341765695,0.287532673
2.342510111,0.287624075
2.342758249,0.287654543
2.343998942,0.287806881
2.344743358,0.287898284
2.345984051,0.288050622
2.347721022,0.288263895
2.342013833,0.28756314
2.342261972,0.287593608
2.343006388,0.287685011
2.343750804,0.287776413
2.344991497,0.287928751
2.345735913,0.288020154
2.34796916,0.288294362
2.343257221,0.287715809
2.345239635,0.287959219
2.343505359,0.287746277
2.348217299,0.28832483
2.345487774,0.287989686
2.348465438,0.288355298
2.348713576,0.288385765
2.348959745,0.288415991
2.349207884,0.288446458
2.349457992,0.288477168
2.349706131,0.288507636
2.349954269,0.288538103
2.350202408,0.288568571
2.350450547,0.288599038
2.350698685,0.288629506
2.350944098,0.288659639
2.351192236,0.288690106
2.351443101,0.288720909
2.35169124,0.288751376
2.351939378,0.288781844
2.352187517,0.288812311
2.352435656,0.288842779
2.352683794,0.288873247
2.352931933,0.288903714
1.948217831,0.239211071
1.949458524,0.239363409
1.94846597,0.239241539
1.947967701,0.239180359
1.949210386,0.239332941
1.948714108,0.239272006
1.947719562,0.239149891
1.948962247,0.239302474
1.945736445,0.238906395
1.945984583,0.238936863
1.947473415,0.239119668
1.927126048,0.236621326
1.926877909,0.236590858
1.944247613,0.238723589
1.943999474,0.238693122
1.945488306,0.238875927
1.946232722,0.23896733
1.947225276,0.239089201
1.92315583,0.236133844
1.922907691,0.236103376
1.926630497,0.23656048
1.927374186,0.236651793
1.9248928,0.236347117
1.925140939,0.236377585
1.944495752,0.238754057
1.943751336,0.238662654
1.945240167,0.23884546
1.946480861,0.238997798
1.946728999,0.239028265
1.946977138,0.239058733
1.923403968,0.236164312
1.922656712,0.23607256
1.930103711,0.236986937
1.929855573,0.236956469
1.926382359,0.236530012
1.927622325,0.236682261
1.924642662,0.236316404
1.925389077,0.236408052
1.942017023,0.238449707
1.942265162,0.238480175
1.94474389,0.238784525
1.943503197,0.238632187
1.944992029,0.238814992
1.923652107,0.236194779
1.922408573,0.236042093
1.922163275,0.236011974
1.921915136,0.235981506
1.932585097,0.237291613
1.932833236,0.23732208
1.930354084,0.237017679
1.929607434,0.236926001
1.926133493,0.236499455
1.927870464,0.236712728
1.924394523,0.236285937
1.925637216,0.23643852
1.938043117,0.237961773
1.938291256,0.237992241
1.941766227,0.238418914
1.942510643,0.238510316
1.943255058,0.238601719
1.923900245,0.236225247
1.921666998,0.235951039
1.932336959,0.237261145
1.933081375,0.237352548
1.930602223,0.237048146
1.929359295,0.236895534
1.925885355,0.236468988
1.928118602,0.236743196
1.924148384,0.236255714
1.939532979,0.238144705
1.939781118,0.238175173
1.937796009,0.237931432
1.938540425,0.238022835
1.940773672,0.238297043
1.941021811,0.238327511
1.941269949,0.238357978
1.942758781,0.238540784
1.941518088,0.238388446
1.94300692,0.238571251
1.921418859,0.235920571
1.93208882,0.237230677
1.933329513,0.237383015
1.930848127,0.237078339
1.929111157,0.236865066
1.928368815,0.236773918
1.935066484,0.237596289
1.935314622,0.237626756
1.93928484,0.238114238
1.940030953,0.238205849
1.938788563,0.238053302
1.93754787,0.237900964
1.940525534,0.238266576
1.940279091,0.238236316
1.921170721,0.235890103
1.931840682,0.23720021
1.933577652,0.237413483
1.931096266,0.237108807
1.928863018,0.236834599
1.928616953,0.236804386
1.934818345,0.237565821
1.935562761,0.237657224
1.939036702,0.23808377
1.937299731,0.237870497
1.920922582,0.235859636
1.931592543,0.237169742
1.933824496,0.237443792
1.931344404,0.237139275
1.934570206,0.237535353
1.9358109,0.237687691
1.936803454,0.237809562
1.936555315,0.237779094
1.937051593,0.237840029
1.920674443,0.235829168
1.934069878,0.237473921
1.934319312,0.237504547
1.936056782,0.237717882
1.936304921,0.237748349
1.920426305,0.235798701
1.920178166,0.235768233
1.919930027,0.235737765
1.919681889,0.235707298
1.91943375,0.23567683
1.919185612,0.235646363
1.918937473,0.235615895
1.918689334,0.235585427
1.918441196,0.23555496
1.918193057,0.235524492
1.917944918,0.235494025
1.91769678,0.235463557
1.917448641,0.235433089
1.917200503,0.235402622
1.916955497,0.235372539
1.916707359,0.235342071
1.916456087,0.235311219
1.916207948,0.235280751
1.915959809,0.235250284
1.915711671,0.235219816
1.915463532,0.235189349
1.915215394,0.235158881
1.914969739,0.235128718
1.9147216,0.235098251
1.914470978,0.235067478
1.914222839,0.235037011
1.9139747,0.235006543
1.913726562,0.234976076
1.913478423,0.234945608
1.913230284,0.23491514
1.912981904,0.234884643
1.912733765,0.234854175
1.912485869,0.234823738
1.91223773,0.23479327
1.911989591,0.234762802
1.911741453,0.234732335
1.911493314,0.234701867
1.911245175,0.2346714
1.910994069,0.234640568
1.91074593,0.2346101
1.91050076,0.234579997
1.910252621,0.234549529
1.910004482,0.234519062
1.909756344,0.234488594
1.909508205,0.234458127
1.909260066,0.234427659
1.90900987,0.234396939
1.908761731,0.234366471
1.908515651,0.234336256
1.908267512,0.234305789
1.908019373,0.234275321
1.907771235,0.234244853
1.907523096,0.234214386
1.907274957,0.234183918
1.907026819,0.234153451
1.90677868,0.234122983
1.906530542,0.234092515
1.906282403,0.234062048
1.906034264,0.23403158
1.905786126,0.234001113
1.905537987,0.233970645
1.905292371,0.233940487
1.905044232,0.23391002
1.904793571,0.233879242
1.904545433,0.233848775
1.904297294,0.233818307
1.904049155,0.233787839
1.903801017,0.233757372
1.903552878,0.233726904
1.903307288,0.23369675
1.903059149,0.233666282
1.902808462,0.233635502
1.902560323,0.233605034
1.902312185,0.233574566
1.902064046,0.233544099
1.901815908,0.233513631
1.901567769,0.233483164
1.901321145,0.233452882
1.901073006,0.233422414
1.900823353,0.233391761
1.900575214,0.233361293
1.900327076,0.233330826
1.900078937,0.233300358
1.899830799,0.23326989
1.89958266,0.233239423
1.89933331,0.233208806
1.899085171,0.233178339
1.898838244,0.23314802
1.898590105,0.233117552
1.898341967,0.233087085
1.898093828,0.233056617
1.89784569,0.23302615
1.897597551,0.232995682
1.897347047,0.232964924
1.897098908,0.232934456
1.896853135,0.232904279
1.896604996,0.232873812
1.896356858,0.232843344
1.896108719,0.232812877
1.895860581,0.232782409
1.895612442,0.232751941
1.895364303,0.232721474
1.895116165,0.232691006
1.894868026,0.232660539
1.894619887,0.232630071
1.894371749,0.232599603
1.89412361,0.232569136
1.893875472,0.232538668
1.893627333,0.232508201
1.893379194,0.232477733
1.893131056,0.232447265
1.892882917,0.232416798
1.892634778,0.23238633
1.89238664,0.232355863
1.892138501,0.232325395
1.891890363,0.232294927
1.891644392,0.232264726
1.891396254,0.232234258
1.891145947,0.232203525
1.890897808,0.232173057
1.890649669,0.232142589
1.890401531,0.232112122
1.890153392,0.232081654
1.889905253,0.232051187
1.889659079,0.23202096
1.889410941,0.231990493
1.889160838,0.231959784
1.888912699,0.231929316
1.88866456,0.231898849
1.888416422,0.231868381
1.888168283,0.231837914
