Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Position[Y] (m)
2.248088891,0.276030607
2.24838667,0.27606717
2.248684449,0.276103733
2.248982228,0.276140295
2.249280007,0.276176858
2.249577786,0.276213421
2.249875565,0.276249983
2.250173345,0.276286546
2.250471124,0.276323109
2.250768903,0.276359671
2.251066682,0.276396234
2.251364461,0.276432797
2.251665152,0.276469717
2.251961531,0.276506108
2.252256398,0.276542313
2.252555577,0.276579047
2.252853356,0.27661561
2.253151135,0.276652173
2.253448914,0.276688735
2.253746693,0.276725298
2.254044472,0.276761861
2.256426704,0.277054362
2.256128925,0.277017799
2.254342251,0.276798423
2.256724483,0.277090925
2.255831146,0.276981237
2.25464003,0.276834986
2.257022262,0.277127487
2.255533367,0.276944674
2.254937809,0.276871549
2.257320041,0.27716405
2.255235588,0.276908111
2.259404495,0.277419989
2.259106716,0.277383426
2.257617821,0.277200613
2.261488948,0.277675927
2.261786727,0.27771249
2.259702274,0.277456551
2.258806476,0.277346561
2.257917986,0.277237468
2.261191169,0.277639365
2.262084506,0.277749053
2.258508643,0.277309992
2.260000053,0.277493114
2.25821571,0.277274024
2.26089339,0.277602802
2.262382285,0.277785615
2.260297832,0.277529677
2.260595611,0.277566239
2.262680064,0.277822178
2.262977843,0.277858741
2.263275622,0.277895303
2.263573401,0.277931866
2.26387118,0.277968429
2.264168959,0.278004991
2.264466432,0.278041517
2.264760895,0.278077672
2.26505898,0.278114272
2.265360076,0.278151242
2.265657855,0.278187805
2.265955634,0.278224368
2.266253413,0.27826093
2.266551192,0.278297493
2.266848971,0.278334056
2.26714675,0.278370618
2.267444529,0.278407181
2.267742308,0.278443744
2.268040087,0.278480306
2.268337866,0.278516869
2.268635645,0.278553432
2.268933424,0.278589994
2.269231203,0.278626557
2.269528982,0.27866312
2.269826761,0.278699682
2.27012454,0.278736245
2.270422319,0.278772808
2.270720869,0.278809465
2.271016356,0.278845746
2.271313365,0.278882214
2.271613435,0.278919058
2.271911214,0.278955621
2.272208994,0.278992184
2.272506773,0.279028746
2.272804552,0.279065309
2.273102331,0.279101872
2.27340011,0.279138434
2.273697889,0.279174997
2.273995668,0.27921156
2.274293447,0.279248122
2.274591226,0.279284685
2.274889005,0.279321248
2.275186784,0.27935781
2.275484563,0.279394373
