x,Curve1
89.01052,11.528
89.20163,11.529
89.39273,11.53
89.58383,11.531
89.77494,11.531
89.96604,11.532
90.15714,11.533
90.34824,11.534
90.53935,11.535
90.63203,11.411
90.73045,11.536
90.77966,8.219
90.82361,5.606
90.89097,6.892
90.93254,7.971
91.01328,8.883
91.19674,10.874
91.38785,12.866
91.57895,12.867
91.76241,13.531
91.95351,14.195
92.13697,16.187
92.32044,19.505
92.49626,24.813
92.61188,33.107
92.63386,30.785
92.65391,19.672
92.69501,28.795
92.76575,35.333
92.83262,40.738
92.95493,52.018
93.06196,64.624
93.16135,79.221
93.24545,93.818
93.30662,109.078
93.32193,125.665
93.33585,142.356
93.33596,142.247
93.34885,439.609
93.36186,218.873
93.36648,195.659
93.37291,178.027
93.37933,161.075
93.40061,141.144
93.42438,138.468
93.49777,146.233
93.57422,161.494
93.63539,177.417
93.69656,192.677
93.76538,208.601
93.83419,223.861
93.89536,239.121
93.97182,255.045
94.04827,269.642
94.13238,284.902
94.16869,290.251
94.23033,294.15
94.26998,293.528
94.38463,280.922
94.49163,266.99
94.62157,255.711
94.75151,243.77
94.88909,232.491
95.03432,223.203
95.19483,214.579
95.37064,208.608
95.5541,204.628
95.73755,201.975
95.92866,200.649
96.10447,196.669
96.28792,193.353
96.47138,190.036
96.56215,188.751
96.65483,186.056
96.73891,183.859
96.84593,184.067
97.02174,180.75
97.2052,178.097
97.38101,175.444
97.56447,173.454
97.74793,170.801
97.85208,169.682
97.93138,168.148
