x,Curve1
89.00868,0.4578
89.19986,0.4579
89.39104,0.4579
89.58223,0.458
89.77341,0.4581
89.9646,0.4582
90.15578,0.4582
90.34697,0.4583
90.5305,0.4584
90.66003,0.4485
90.737,0.5646
90.77766,0.7952
90.82978,0.9096
90.87472,0.9627
90.9474,1.0519
91.05828,1.1486
91.24184,1.2813
91.42539,1.3876
91.60894,1.4672
91.79249,1.5469
91.98369,1.6001
92.16723,1.6532
92.35842,1.6798
92.54962,1.7595
92.58643,1.8408
92.62995,1.9719
92.67008,1.879
92.70258,1.8392
92.77811,1.9139
92.82736,2.035
92.86322,2.1577
92.9157,2.2796
92.9933,2.6089
93.11574,3.1132
93.22289,3.6706
93.31475,4.2279
93.39132,4.8383
93.46789,5.4488
93.52917,6.0857
93.59045,6.6961
93.65173,7.3331
93.70536,7.97
93.75899,8.607
93.81263,9.2439
93.86626,9.8809
93.91989,10.5178
93.97352,11.1548
93.99221,11.46
94.02716,11.7918
94.05207,12.1368
94.08079,12.4287
94.10617,12.724
94.14207,13.0657
94.17389,13.3176
94.24921,13.5699
94.32488,13.3782
94.37915,13.1454
94.50143,12.6677
94.57978,12.4123
94.63902,12.2431
94.70398,12.0109
94.7766,11.8186
94.92949,11.4471
95.113,11.2348
95.29652,11.1553
95.4877,11.1554
95.67125,11.235
95.78645,11.2815
95.86245,11.2882
95.94991,11.26
96.04597,11.2352
96.23715,11.2087
96.42833,11.1822
96.61186,11.1027
96.80305,11.1293
96.98658,11.1028
97.17776,11.0764
97.36129,11.0499
97.55248,11.05
97.74366,11.0235
97.93484,10.997
