x [m],Heat flux [MW/m^2]
5.381278694000000279e-02,6.706161899999999454e-01
5.448126793000000051e-02,6.693356847000000442e-01
5.514974891999999823e-02,6.680751356999999890e-01
5.581823363999999926e-02,6.668307917000000362e-01
5.648671462999999698e-02,6.656011266000000370e-01
5.715519562000000164e-02,6.643859144999999522e-01
5.782367662000000019e-02,6.631859399999999738e-01
5.849215760999999791e-02,6.620020934000000468e-01
5.916064232999999895e-02,6.608377382000000244e-01
5.982912331999999667e-02,6.596912544999999906e-01
6.049760431000000133e-02,6.585652591999999750e-01
6.116608529999999905e-02,6.574632003999999474e-01
6.183456629999999760e-02,6.563810950999999783e-01
6.250304729000000226e-02,6.553183029000000381e-01
6.317152827999999998e-02,6.542732298000000224e-01
6.384001672000000349e-02,6.532433132999999614e-01
6.450849771000000121e-02,6.522256485999999853e-01
6.517697870999999976e-02,6.512184009000000495e-01
6.584545969999999748e-02,6.502213157999999771e-01
6.651394068999999520e-02,6.492355537999999759e-01
6.718242168000000680e-02,6.482621763000000481e-01
6.785090268000000535e-02,6.473021338000000124e-01
6.851938367000000307e-02,6.463554580000000493e-01
6.918786466000000079e-02,6.454215224999999556e-01
6.985635310000000431e-02,6.444997842999999893e-01
7.052483410000000286e-02,6.435901308000000487e-01
7.119331509000000058e-02,6.426923375999999966e-01
7.186179607999999830e-02,6.418060161999999957e-01
7.253027706999999602e-02,6.409304509000000039e-01
7.319875806999999457e-02,6.400647823999999764e-01
7.386723906000000617e-02,6.392084066000000009e-01
7.453572005000000389e-02,6.383614060000000201e-01
7.520420104000000161e-02,6.375241349000000390e-01
7.587268949000000595e-02,6.366968259999999935e-01
7.654117048000000367e-02,6.358788405999999949e-01
7.720965147000000139e-02,6.350695083999999824e-01
7.787813245999999912e-02,6.342662196999999669e-01
7.854661344999999684e-02,6.334712918999999554e-01
7.921509444999999539e-02,6.326840962999999984e-01
7.988357543999999311e-02,6.319036112999999455e-01
8.055205643000000471e-02,6.311354136000000281e-01
8.122053742000000243e-02,6.303810310999999889e-01
8.188902587000000677e-02,6.296403775000000147e-01
8.255750686000000449e-02,6.289116683000000041e-01
8.322598785000000221e-02,6.281913891999999500e-01
8.389446883999999993e-02,6.274754979000000121e-01
8.456294983999999848e-02,6.267606661000000301e-01
8.523143082999999620e-02,6.260451724000000162e-01
8.589991181999999392e-02,6.253290804000000147e-01
8.656839281000000552e-02,6.246141218999999856e-01
8.723687381000000407e-02,6.239032067999999986e-01
8.790536224999999371e-02,6.231992036000000290e-01
8.857384324000000531e-02,6.225042410000000137e-01
8.924232423000000303e-02,6.218194583999999692e-01
8.991080523000000158e-02,6.211451800999999717e-01
9.057928621999999930e-02,6.204805349999999997e-01
9.124776720999999702e-02,6.198240889999999670e-01
9.191624819999999474e-02,6.191742699000000183e-01
9.258472919000000634e-02,6.185298188000000197e-01
9.325321019000000489e-02,6.178898670000000370e-01
9.392169862999999452e-02,6.172540106999999665e-01
9.459017962000000612e-02,6.166224686000000288e-01
9.525866061000000384e-02,6.159957137999999555e-01
9.592714161000000239e-02,6.153740337999999976e-01
9.659562260000000011e-02,6.147575798000000091e-01
9.726410358999999783e-02,6.141460740999999945e-01
9.793258457999999556e-02,6.135394154000000100e-01
9.860106557999999410e-02,6.129373794000000375e-01
9.926954657000000570e-02,6.123397480000000170e-01
9.993803500999999534e-02,6.117461433999999976e-01
1.006065160000000069e-01,6.111564441000000292e-01
1.012749970000000055e-01,6.105704507000000447e-01
1.019434780000000040e-01,6.099879279000000043e-01
1.026119590000000026e-01,6.094086872999999738e-01
1.032804400000000011e-01,6.088332251000000417e-01
1.039489209999999997e-01,6.082624618999999955e-01
1.046174019999999982e-01,6.076977687000000294e-01
1.052858829000000024e-01,6.071401283999999787e-01
1.059543713999999970e-01,6.065896026999999524e-01
1.066228523999999955e-01,6.060455151000000429e-01
1.072913333999999941e-01,6.055064747999999719e-01
1.079598144000000065e-01,6.049707807999999964e-01
1.086282954000000051e-01,6.044370784999999469e-01
1.092967764000000036e-01,6.039047264000000359e-01
1.099652572999999939e-01,6.033742635000000076e-01
1.106337383000000063e-01,6.028469624000000193e-01
1.113022193000000049e-01,6.023242507999999606e-01
1.119707077999999995e-01,6.018071164999999612e-01
1.126391887999999980e-01,6.012959002000000108e-01
1.133076697999999966e-01,6.007901326000000264e-01
1.139761507999999951e-01,6.002891380000000554e-01
1.146446316999999993e-01,5.997919010000000162e-01
1.153131126999999978e-01,5.992974863000000152e-01
1.159815936999999963e-01,5.988050665999999911e-01
1.166500746999999949e-01,5.983143241999999695e-01
1.173185556999999934e-01,5.978254417999999681e-01
1.179870442000000019e-01,5.973386679000000088e-01
1.186555251000000061e-01,5.968544542999999480e-01
1.193240061000000046e-01,5.963729655999999713e-01
1.199924871000000032e-01,5.958945006000000433e-01
1.206609681000000017e-01,5.954192144000000075e-01
1.213294491000000003e-01,5.949479398000000474e-01
1.219979300999999988e-01,5.944801366999999948e-01
1.226664110999999974e-01,5.940156811000000259e-01
1.233348920999999959e-01,5.935544515999999771e-01
1.240033804999999961e-01,5.930961292999999968e-01
1.246718614999999947e-01,5.926406013999999667e-01
1.253403425000000071e-01,5.921878230999999548e-01
1.260088235000000056e-01,5.917378816999999680e-01
1.266773045000000042e-01,5.912904715000000255e-01
1.273457855000000027e-01,5.908457472999999460e-01
1.280142665000000013e-01,5.904035377999999890e-01
1.286827474999999998e-01,5.899641249999999504e-01
1.293512284999999984e-01,5.895275931000000247e-01
1.300197094999999969e-01,5.890939614000000324e-01
1.306881904999999955e-01,5.886631221000000469e-01
1.313566714999999940e-01,5.882349696999999988e-01
1.320251524000000121e-01,5.878092129999999971e-01
1.326936482999999944e-01,5.873857810000000512e-01
1.333621292999999930e-01,5.869649286000000465e-01
1.340306102999999915e-01,5.865463559000000382e-01
1.346990912999999901e-01,5.861302275999999978e-01
1.353675722999999886e-01,5.857161878000000099e-01
1.360360532999999872e-01,5.853045237999999761e-01
1.367045343000000135e-01,5.848951261000000512e-01
1.373730153000000120e-01,5.844883363999999748e-01
1.380414963000000106e-01,5.840840431999999582e-01
1.387099773000000091e-01,5.836823433000000172e-01
1.393784583000000077e-01,5.832830144999999744e-01
1.400469393000000062e-01,5.828857804000000531e-01
1.407154201999999965e-01,5.824906179000000073e-01
1.413839011999999951e-01,5.820975039000000351e-01
1.420523821999999936e-01,5.817062803000000448e-01
1.427208631999999922e-01,5.813171070000000551e-01
1.433893441999999907e-01,5.809297183999999614e-01
1.440578251999999893e-01,5.805439115999999622e-01
1.447263210999999994e-01,5.801598480999999863e-01
1.453948020999999979e-01,5.797774917000000361e-01
1.460632830999999965e-01,5.793970573000000179e-01
1.467317640999999950e-01,5.790187318999999722e-01
1.474002450999999936e-01,5.786426668999999912e-01
1.480687260999999921e-01,5.782687641000000545e-01
1.487372070999999907e-01,5.778972279999999850e-01
