x [m],Heat flux [MW/m^2]
2.982554956999999840e-02,8.271822454999999685e-01
3.141154348999999901e-02,8.179900996000000202e-01
3.294160217000000057e-02,8.096617134000000382e-01
3.440462797999999794e-02,8.022795995999999485e-01
3.579169138999999805e-02,7.957980873000000122e-01
3.709616140000000090e-02,7.900179480000000254e-01
3.831367195000000281e-02,7.849540024000000171e-01
3.944197669999999906e-02,7.805028282999999512e-01
4.048075898999999728e-02,7.765836092000000246e-01
4.143133387000000334e-02,7.731636053999999536e-01
4.229638353000000212e-02,7.700653418999999777e-01
4.307962582000000179e-02,7.675253823000000031e-01
4.378556087999999763e-02,7.651131743000000318e-01
4.445404187000000229e-02,7.629518015999999792e-01
4.512252286000000001e-02,7.609239123000000049e-01
4.579100384999999773e-02,7.588379053999999568e-01
4.645948485000000322e-02,7.568109050000000337e-01
4.712796956000000342e-02,7.548317659000000068e-01
4.779645056000000197e-02,7.528931211999999595e-01
4.846493154999999969e-02,7.509944886999999625e-01
4.913341253999999741e-02,7.491440725000000356e-01
4.980189725999999845e-02,7.473400968000000200e-01
5.047037825000000311e-02,7.455735951999999944e-01
5.113885924000000083e-02,7.438473796000000249e-01
5.180734022999999855e-02,7.421563022999999593e-01
5.247582122999999710e-02,7.404837480000000527e-01
5.314430593999999730e-02,7.388272298000000404e-01
5.381278694000000279e-02,7.371902190000000354e-01
5.448126793000000051e-02,7.355695707999999611e-01
5.514974891999999823e-02,7.339641661000000372e-01
5.581823363999999926e-02,7.323839665000000387e-01
5.648671462999999698e-02,7.308371457000000238e-01
5.715519562000000164e-02,7.293188463999999982e-01
5.782367662000000019e-02,7.278250071999999848e-01
5.849215760999999791e-02,7.263599454000000399e-01
5.916064232999999895e-02,7.249247801999999519e-01
5.982912331999999667e-02,7.235096713999999984e-01
6.049760431000000133e-02,7.221095156000000292e-01
6.116608529999999905e-02,7.207286176999999627e-01
6.183456629999999760e-02,7.193727000999999843e-01
6.250304729000000226e-02,7.180347484000000335e-01
6.317152827999999998e-02,7.167116418000000211e-01
6.384001672000000349e-02,7.154054376999999798e-01
6.450849771000000121e-02,7.141183002000000002e-01
6.517697870999999976e-02,7.128512906999999732e-01
6.584545969999999748e-02,7.115967065999999619e-01
6.651394068999999520e-02,7.103527246999999933e-01
6.718242168000000680e-02,7.091271849000000405e-01
6.785090268000000535e-02,7.079285943999999997e-01
6.851938367000000307e-02,7.067574304999999502e-01
6.918786466000000079e-02,7.056057930000000367e-01
6.985635310000000431e-02,7.044665570000000487e-01
7.052483410000000286e-02,7.033390186000000321e-01
7.119331509000000058e-02,7.022232542999999882e-01
7.186179607999999830e-02,7.011157739000000166e-01
7.253027706999999602e-02,7.000109944000000306e-01
7.319875806999999457e-02,6.989066970999999739e-01
7.386723906000000617e-02,6.978088529999999512e-01
7.453572005000000389e-02,6.967276529000000496e-01
7.520420104000000161e-02,6.956672672000000501e-01
7.587268949000000595e-02,6.946237154000000080e-01
7.654117048000000367e-02,6.935900798999999894e-01
7.720965147000000139e-02,6.925632138999999743e-01
7.787813245999999912e-02,6.915471336999999830e-01
7.854661344999999684e-02,6.905465076000000257e-01
7.921509444999999539e-02,6.895602144000000377e-01
7.988357543999999311e-02,6.885830847999999671e-01
8.055205643000000471e-02,6.876104289000000147e-01
8.122053742000000243e-02,6.866416277000000346e-01
8.188902587000000677e-02,6.856812783000000300e-01
8.255750686000000449e-02,6.847356304999999699e-01
8.322598785000000221e-02,6.838062163000000471e-01
8.389446883999999993e-02,6.828902838000000530e-01
8.456294983999999848e-02,6.819848754999999763e-01
8.523143082999999620e-02,6.810877564999999745e-01
8.589991181999999392e-02,6.801985407999999733e-01
8.656839281000000552e-02,6.793194792000000204e-01
8.723687381000000407e-02,6.784516166999999820e-01
8.790536224999999371e-02,6.775918313000000026e-01
8.857384324000000531e-02,6.767363486999999900e-01
8.924232423000000303e-02,6.758840076000000030e-01
8.991080523000000158e-02,6.750356107999999633e-01
9.057928621999999930e-02,6.741937164000000315e-01
9.124776720999999702e-02,6.733629802999999692e-01
9.191624819999999474e-02,6.725463500999999678e-01
9.258472919000000634e-02,6.717416016999999684e-01
9.325321019000000489e-02,6.709436507999999577e-01
9.392169862999999452e-02,6.701490974999999573e-01
9.459017962000000612e-02,6.693565594999999480e-01
9.525866061000000384e-02,6.685664280999999987e-01
9.592714161000000239e-02,6.677817966000000327e-01
9.659562260000000011e-02,6.670070415000000086e-01
9.726410358999999783e-02,6.662438703999999934e-01
9.793258457999999556e-02,6.654894305999999871e-01
9.860106557999999410e-02,6.647398996000000171e-01
9.926954657000000570e-02,6.639935137000000376e-01
9.993803500999999534e-02,6.632499616000000486e-01
1.006065160000000069e-01,6.625096386000000059e-01
1.012749970000000055e-01,6.617746426999999709e-01
1.019434780000000040e-01,6.610485971999999766e-01
1.026119590000000026e-01,6.603327763999999878e-01
1.032804400000000011e-01,6.596242221000000461e-01
1.039489209999999997e-01,6.589187401999999638e-01
1.046174019999999982e-01,6.582148898999999886e-01
1.052858829000000024e-01,6.575131109999999834e-01
1.059543713999999970e-01,6.568143388999999610e-01
1.066228523999999955e-01,6.561203382000000417e-01
1.072913333999999941e-01,6.554348314000000286e-01
1.079598144000000065e-01,6.547610281000000310e-01
1.086282954000000051e-01,6.540987123000000514e-01
1.092967764000000036e-01,6.534443469999999810e-01
1.099652572999999939e-01,6.527942559999999617e-01
1.106337383000000063e-01,6.521468679999999907e-01
1.113022193000000049e-01,6.515019860999999857e-01
1.119707077999999995e-01,6.508593438999999981e-01
1.126391887999999980e-01,6.502189014999999461e-01
1.133076697999999966e-01,6.495822971000000390e-01
1.139761507999999951e-01,6.489520004000000064e-01
1.146446316999999993e-01,6.483288104000000107e-01
1.153131126999999978e-01,6.477108669000000152e-01
1.159815936999999963e-01,6.470954875000000106e-01
1.166500746999999949e-01,6.464815657000000382e-01
1.173185556999999934e-01,6.458697103999999634e-01
1.179870442000000019e-01,6.452611470000000349e-01
1.186555251000000061e-01,6.446561679000000211e-01
