x [m],Heat flux [MW/m^2]
1.742742023999999936e-03,1.824058111999999898e+00
1.810765592000000007e-03,1.723813985000000049e+00
1.888747560000000013e-03,1.630072675999999943e+00
1.978104933999999798e-03,1.544541144999999949e+00
2.080443082000000068e-03,1.465151069000000028e+00
2.197577618000000170e-03,1.396345640999999915e+00
2.331555122999999854e-03,1.329905863000000021e+00
2.484677127000000166e-03,1.278649023999999912e+00
2.659521764000000177e-03,1.222734573000000102e+00
2.858966123000000054e-03,1.184458294999999994e+00
3.086204640999999985e-03,1.136655720999999897e+00
3.344765631000000058e-03,1.105375753999999988e+00
3.638520138000000004e-03,1.073462675000000033e+00
3.971683793000000025e-03,1.043685626000000033e+00
4.348805174000000030e-03,1.017110425999999901e+00
4.774741828000000042e-03,9.918777626000000458e-01
5.254611838999999861e-03,9.698576651000000437e-01
5.793726536999999933e-03,9.486020055999999645e-01
6.397490389999999777e-03,9.328977929999999752e-01
7.071269209999999847e-03,9.199742919000000185e-01
7.820223458000000183e-03,9.090709650999999614e-01
8.649101480999999564e-03,9.007620121999999618e-01
9.561997838000000152e-03,8.941527548000000047e-01
1.056208089000000051e-02,8.862455617000000174e-01
1.165129802999999992e-02,8.761188355000000261e-01
1.283007952999999993e-02,8.655161492999999817e-01
1.409705076000000029e-02,8.539251814999999635e-01
1.544879191000000061e-02,8.424660956999999728e-01
1.687966659999999910e-02,8.303736959999999945e-01
1.838174462000000120e-02,8.193854849999999690e-01
1.994485408000000112e-02,8.075706569999999695e-01
2.155675367000000134e-02,7.969850595999999898e-01
2.320346422000000089e-02,7.848140698000000137e-01
2.486971951999999986e-02,7.747003260000000502e-01
2.653950453000000070e-02,7.631109193999999762e-01
2.819666825000000099e-02,7.521103611999999661e-01
2.982554956999999840e-02,7.407510672999999546e-01
3.141154348999999901e-02,7.303709469000000398e-01
3.294160217000000057e-02,7.202986158999999944e-01
3.440462797999999794e-02,7.110753602999999590e-01
3.579169138999999805e-02,7.028745057999999934e-01
3.709616140000000090e-02,6.956914947000000238e-01
3.831367195000000281e-02,6.896294085999999934e-01
3.944197669999999906e-02,6.845390585999999722e-01
4.048075898999999728e-02,6.802844128999999684e-01
4.143133387000000334e-02,6.767959510000000067e-01
4.229638353000000212e-02,6.737928563999999731e-01
4.307962582000000179e-02,6.715821226000000532e-01
4.378556087999999763e-02,6.693188130999999652e-01
4.445404187000000229e-02,6.679061913999999600e-01
4.512252286000000001e-02,6.661492564000000005e-01
4.579100384999999773e-02,6.644424910999999767e-01
4.645948485000000322e-02,6.627741267000000214e-01
4.712796956000000342e-02,6.611470433999999674e-01
4.779645056000000197e-02,6.595583425000000055e-01
4.846493154999999969e-02,6.580035374999999576e-01
4.913341253999999741e-02,6.564798995999999720e-01
4.980189725999999845e-02,6.549865472000000466e-01
5.047037825000000311e-02,6.535243640000000243e-01
5.113885924000000083e-02,6.520949146000000196e-01
5.180734022999999855e-02,6.507002412000000291e-01
5.247582122999999710e-02,6.493415731999999663e-01
5.314430593999999730e-02,6.480181349000000424e-01
5.381278694000000279e-02,6.467260800999999892e-01
5.448126793000000051e-02,6.454598936000000009e-01
5.514974891999999823e-02,6.442140654000000355e-01
5.581823363999999926e-02,6.429851998000000179e-01
5.648671462999999698e-02,6.417719630999999536e-01
5.715519562000000164e-02,6.405743851999999849e-01
5.782367662000000019e-02,6.393929946999999947e-01
5.849215760999999791e-02,6.382286491999999978e-01
