x [m],Pressure [kPa]
7.453572005000000389e-02,1.547288067999999939e+01
7.520420104000000161e-02,1.547204711000000010e+01
7.587268949000000595e-02,1.547125046999999931e+01
7.654117048000000367e-02,1.547050173000000051e+01
7.720965147000000139e-02,1.546982664999999990e+01
7.787813245999999912e-02,1.546920654999999911e+01
7.854661344999999684e-02,1.546857052000000010e+01
7.921509444999999539e-02,1.546787295999999934e+01
7.988357543999999311e-02,1.546712849999999939e+01
8.055205643000000471e-02,1.546637697999999972e+01
8.122053742000000243e-02,1.546564904999999968e+01
8.188902587000000677e-02,1.546495209000000060e+01
8.255750686000000449e-02,1.546426794999999998e+01
8.322598785000000221e-02,1.546359638999999930e+01
8.389446883999999993e-02,1.546298205000000081e+01
8.456294983999999848e-02,1.546247121999999941e+01
8.523143082999999620e-02,1.546206607999999960e+01
8.589991181999999392e-02,1.546172780000000024e+01
8.656839281000000552e-02,1.546138876000000018e+01
8.723687381000000407e-02,1.546097885000000005e+01
8.790536224999999371e-02,1.546047015000000080e+01
8.857384324000000531e-02,1.545989570000000057e+01
8.924232423000000303e-02,1.545931528000000021e+01
8.991080523000000158e-02,1.545877967000000019e+01
9.057928621999999930e-02,1.545832230000000074e+01
9.124776720999999702e-02,1.545793433999999955e+01
9.191624819999999474e-02,1.545756903000000015e+01
9.258472919000000634e-02,1.545718089000000006e+01
9.325321019000000489e-02,1.545676343999999958e+01
9.392169862999999452e-02,1.545633392999999955e+01
9.459017962000000612e-02,1.545590364999999977e+01
9.525866061000000384e-02,1.545548754000000002e+01
9.592714161000000239e-02,1.545509082999999961e+01
9.659562260000000011e-02,1.545469824999999986e+01
9.726410358999999783e-02,1.545427364999999931e+01
9.793258457999999556e-02,1.545381629000000068e+01
9.860106557999999410e-02,1.545334932999999999e+01
9.926954657000000570e-02,1.545290042999999969e+01
9.993803500999999534e-02,1.545248096999999987e+01
1.006065160000000069e-01,1.545209297000000070e+01
1.012749970000000055e-01,1.545173061000000025e+01
1.019434780000000040e-01,1.545136280999999912e+01
1.026119590000000026e-01,1.545095034999999939e+01
1.032804400000000011e-01,1.545048154999999923e+01
1.039489209999999997e-01,1.544997996000000029e+01
1.046174019999999982e-01,1.544947733000000056e+01
1.052858829000000024e-01,1.544899095999999972e+01
1.059543713999999970e-01,1.544851687999999967e+01
1.066228523999999955e-01,1.544806338000000068e+01
1.072913333999999941e-01,1.544764099000000002e+01
1.079598144000000065e-01,1.544724309000000062e+01
1.086282954000000051e-01,1.544685488999999912e+01
1.092967764000000036e-01,1.544648572999999914e+01
1.099652572999999939e-01,1.544616596999999913e+01
1.106337383000000063e-01,1.544591358999999997e+01
1.113022193000000049e-01,1.544571215999999936e+01
1.119707077999999995e-01,1.544553052999999920e+01
1.126391887999999980e-01,1.544534297999999950e+01
1.133076697999999966e-01,1.544514157999999959e+01
1.139761507999999951e-01,1.544490371999999923e+01
1.146446316999999993e-01,1.544460164999999918e+01
1.153131126999999978e-01,1.544423208999999986e+01
1.159815936999999963e-01,1.544382642999999966e+01
1.166500746999999949e-01,1.544342095000000015e+01
1.173185556999999934e-01,1.544303670999999945e+01
1.179870442000000019e-01,1.544267005999999931e+01
1.186555251000000061e-01,1.544231742999999923e+01
1.193240061000000046e-01,1.544198399000000066e+01
1.199924871000000032e-01,1.544167050999999979e+01
1.206609681000000017e-01,1.544136375999999977e+01
1.213294491000000003e-01,1.544103894999999937e+01
1.219979300999999988e-01,1.544068676000000018e+01
1.226664110999999974e-01,1.544032359000000021e+01
1.233348920999999959e-01,1.543997172999999989e+01
1.240033804999999961e-01,1.543964672000000071e+01
1.246718614999999947e-01,1.543934503999999919e+01
1.253403425000000071e-01,1.543905694999999945e+01
1.260088235000000056e-01,1.543877810000000039e+01
1.266773045000000042e-01,1.543851760000000084e+01
1.273457855000000027e-01,1.543828232999999983e+01
1.280142665000000013e-01,1.543805861999999962e+01
1.286827474999999998e-01,1.543781603000000047e+01
1.293512284999999984e-01,1.543754277000000030e+01
1.300197094999999969e-01,1.543725728999999980e+01
1.306881904999999955e-01,1.543698172000000035e+01
1.313566714999999940e-01,1.543672774999999930e+01
1.320251524000000121e-01,1.543649017000000079e+01
1.326936482999999944e-01,1.543625306999999935e+01
1.333621292999999930e-01,1.543601237000000026e+01
1.340306102999999915e-01,1.543576934000000023e+01
1.346990912999999901e-01,1.543553922000000078e+01
1.353675722999999886e-01,1.543531246999999951e+01
1.360360532999999872e-01,1.543507061999999941e+01
1.367045343000000135e-01,1.543478842000000029e+01
1.373730153000000120e-01,1.543447476000000051e+01
1.380414963000000106e-01,1.543415202999999991e+01
1.387099773000000091e-01,1.543384728999999922e+01
1.393784583000000077e-01,1.543356692999999957e+01
1.400469393000000062e-01,1.543330422999999918e+01
1.407154201999999965e-01,1.543305233999999970e+01
1.413839011999999951e-01,1.543280822000000008e+01
1.420523821999999936e-01,1.543256927999999917e+01
1.427208631999999922e-01,1.543234432000000034e+01
1.433893441999999907e-01,1.543213775000000076e+01
1.440578251999999893e-01,1.543193141999999973e+01
1.447263210999999994e-01,1.543170892999999921e+01
1.453948020999999979e-01,1.543145638999999925e+01
1.460632830999999965e-01,1.543119000999999990e+01
1.467317640999999950e-01,1.543093323999999988e+01
1.474002450999999936e-01,1.543070166000000043e+01
1.480687260999999921e-01,1.543049511000000074e+01
1.487372070999999907e-01,1.543030953999999966e+01
1.494056880000000087e-01,1.543013095999999962e+01
1.500741690000000073e-01,1.542995559999999955e+01
1.507426500000000058e-01,1.542976982999999969e+01
1.514111310000000044e-01,1.542958042999999968e+01
1.520796120000000029e-01,1.542939454000000055e+01
1.527480930000000015e-01,1.542921355000000005e+01
1.534165740000000000e-01,1.542901561000000044e+01
1.540850549999999985e-01,1.542879057999999937e+01
1.547535359999999971e-01,1.542853565000000060e+01
1.554220169999999956e-01,1.542827274000000060e+01
1.560904979999999942e-01,1.542802554999999920e+01
1.567589789999999927e-01,1.542781188999999920e+01
1.574274749000000029e-01,1.542762658000000009e+01
1.580959557999999932e-01,1.542746086000000005e+01
1.587644367999999917e-01,1.542730313999999936e+01
1.594329177999999902e-01,1.542714503999999920e+01
1.601013987999999888e-01,1.542697700999999988e+01
1.607698797999999873e-01,1.542680215000000032e+01
1.614383608000000137e-01,1.542662565000000008e+01
1.621068418000000122e-01,1.542645689000000075e+01
1.627753228000000107e-01,1.542628962999999942e+01
1.634438038000000093e-01,1.542610773000000002e+01
1.641122848000000078e-01,1.542589410000000072e+01
1.647807658000000064e-01,1.542564898999999912e+01
1.654492468000000049e-01,1.542539020999999977e+01
1.661177278000000035e-01,1.542514596000000004e+01
1.667862086999999938e-01,1.542492713000000037e+01
1.674546896999999923e-01,1.542473327999999988e+01
1.681231706999999909e-01,1.542455190000000087e+01
1.687916516999999894e-01,1.542437800000000081e+01
1.694601475999999995e-01,1.542420710999999933e+01
1.701286285999999981e-01,1.542403902000000038e+01
1.707971095999999966e-01,1.542386776999999931e+01
1.714655905999999952e-01,1.542370075999999912e+01
1.721340715999999937e-01,1.542353971000000001e+01
1.728025525999999923e-01,1.542339334000000051e+01
1.734710335999999908e-01,1.542324819999999974e+01
1.741395145999999894e-01,1.542309063999999985e+01
1.748079955999999879e-01,1.542290462000000062e+01
1.754764765999999865e-01,1.542269618999999992e+01
1.761449575000000045e-01,1.542247614999999961e+01
1.768134385000000031e-01,1.542226503000000015e+01
1.774819195000000016e-01,1.542207173000000076e+01
1.781504005000000002e-01,1.542189731000000030e+01
1.788188814999999987e-01,1.542173009999999955e+01
1.794873624999999973e-01,1.542156257999999980e+01
1.801558434999999958e-01,1.542138918999999930e+01
1.808243394000000059e-01,1.542121556000000027e+01
1.814928204000000045e-01,1.542103612000000012e+01
1.821613014000000030e-01,1.542085074999999961e+01
1.828297824000000016e-01,1.542065548999999969e+01
1.834982634000000001e-01,1.542046719999999915e+01
1.841667443999999987e-01,1.542029168000000006e+01
1.848352252999999890e-01,1.542013702000000031e+01
1.855037062999999875e-01,1.541998919999999984e+01
1.861721873000000138e-01,1.541983955000000073e+01
1.868406683000000124e-01,1.541967572999999980e+01
1.875091493000000109e-01,1.541950053000000054e+01
1.881776303000000095e-01,1.541932247999999994e+01
1.888461113000000080e-01,1.541915529000000085e+01
1.895145923000000066e-01,1.541900444999999920e+01
1.901830733000000051e-01,1.541887095999999957e+01
1.908515543000000036e-01,1.541873853000000061e+01
1.915200353000000022e-01,1.541860151000000023e+01
1.921885163000000007e-01,1.541845466999999914e+01
1.928570122000000109e-01,1.541830341000000004e+01
1.935254931000000012e-01,1.541814920000000022e+01
1.941939740999999997e-01,1.541799330999999995e+01
1.948624550999999983e-01,1.541783056999999957e+01
1.955309360999999968e-01,1.541766353000000045e+01
1.961994170999999954e-01,1.541750301999999984e+01
1.968678980999999939e-01,1.541735936999999979e+01
1.975363790999999924e-01,1.541722852999999915e+01
1.982048600999999910e-01,1.541709737000000047e+01
1.988733410999999895e-01,1.541695400000000049e+01
1.995418220999999881e-01,1.541679455999999959e+01
2.002103030999999866e-01,1.541661410000000032e+01
2.008787841000000129e-01,1.541641936999999984e+01
2.015472651000000115e-01,1.541621941999999912e+01
2.022157460000000018e-01,1.541602083999999984e+01
2.028842270000000003e-01,1.541582735999999976e+01
2.035527079999999989e-01,1.541563267999999987e+01
2.042211889999999974e-01,1.541543792000000046e+01
2.048896699999999960e-01,1.541524068000000014e+01
2.055581659000000061e-01,1.541504970000000085e+01
2.062266469000000046e-01,1.541487142000000077e+01
2.068951279000000032e-01,1.541470930000000017e+01
2.075636089000000017e-01,1.541456333000000001e+01
2.082320899000000003e-01,1.541443321000000033e+01
2.089005708999999988e-01,1.541432018000000070e+01
2.095690518999999974e-01,1.541423883000000039e+01
2.102375328999999959e-01,1.541419890000000059e+01
2.109060137999999862e-01,1.541420233999999923e+01
2.115744948000000125e-01,1.541423409000000078e+01
2.122429758000000111e-01,1.541426801000000069e+01
2.129114568000000096e-01,1.541427614999999918e+01
2.135799378000000082e-01,1.541424517999999999e+01
2.142484188000000067e-01,1.541416350999999985e+01
2.149168998000000053e-01,1.541404108000000051e+01
2.155853808000000038e-01,1.541388453000000069e+01
2.162538618000000024e-01,1.541371082000000037e+01
2.169223428000000009e-01,1.541352745999999918e+01
2.175908387000000110e-01,1.541334273999999915e+01
2.182593197000000096e-01,1.541315329000000034e+01
2.189278007000000081e-01,1.541296254000000054e+01
2.195962815999999984e-01,1.541277183999999956e+01
2.202647625999999970e-01,1.541258694999999967e+01
2.209332435999999955e-01,1.541241031999999933e+01
2.216017245999999941e-01,1.541224758000000072e+01
2.222702055999999926e-01,1.541209294000000085e+01
2.229386865999999912e-01,1.541194379000000048e+01
2.236071675999999897e-01,1.541178981999999920e+01
2.242756485999999883e-01,1.541163667000000004e+01
2.249441295999999868e-01,1.541148682000000036e+01
2.256126106000000131e-01,1.541135047999999941e+01
2.262810916000000117e-01,1.541122305999999931e+01
2.269495726000000102e-01,1.541109746000000058e+01
2.276180536000000088e-01,1.541096238000000085e+01
2.282865344999999990e-01,1.541081207999999947e+01
2.289550304000000092e-01,1.541064453000000078e+01
2.296235114000000077e-01,1.541046206000000041e+01
2.302919924000000063e-01,1.541026714000000020e+01
2.309604734000000048e-01,1.541006540000000058e+01
2.316289544000000034e-01,1.540986376999999941e+01
2.322974354000000019e-01,1.540966994000000057e+01
2.329659164000000005e-01,1.540949181999999951e+01
2.336343973999999990e-01,1.540934024999999963e+01
2.343028783999999975e-01,1.540923626000000013e+01
2.349713593999999961e-01,1.540917926999999921e+01
2.356398403999999946e-01,1.540921651999999931e+01
2.363083213999999932e-01,1.540933161999999967e+01
2.369768023000000112e-01,1.540952301999999996e+01
2.376452833000000098e-01,1.540977016999999982e+01
2.383137643000000083e-01,1.541003783000000027e+01
2.389822453000000069e-01,1.541026367000000086e+01
2.396507263000000054e-01,1.541043943999999932e+01
2.403192073000000040e-01,1.541045614999999991e+01
2.409876883000000025e-01,1.541049873999999953e+01
2.416561842000000127e-01,1.541015134999999958e+01
2.423246652000000112e-01,1.541006896000000026e+01
2.429931462000000097e-01,1.540975891000000075e+01
2.436616272000000083e-01,1.540941437000000036e+01
2.443301082000000068e-01,1.540905990000000081e+01
2.449985892000000054e-01,1.540871169000000052e+01
2.456670702000000039e-01,1.540838860999999937e+01
2.463355510999999942e-01,1.540809690999999937e+01
2.470040320999999928e-01,1.540784359999999964e+01
2.476725130999999913e-01,1.540763055999999942e+01
2.483409940999999899e-01,1.540745317000000014e+01
2.490094750999999884e-01,1.540730607000000063e+01
2.496779560999999870e-01,1.540718676000000009e+01
2.503464519999999971e-01,1.540708270000000013e+01
2.510149180999999841e-01,1.540699157000000064e+01
2.516834139999999942e-01,1.540690823000000087e+01
2.523518800999999812e-01,1.540683454000000019e+01
2.530203759999999913e-01,1.540677157000000008e+01
2.536888420999999783e-01,1.540672426999999978e+01
2.543573379999999884e-01,1.540669255000000071e+01
2.550258040000000226e-01,1.540666616999999938e+01
2.556942998999999772e-01,1.540663372999999936e+01
2.563627660000000197e-01,1.540657415999999991e+01
2.570312618999999743e-01,1.540646628999999912e+01
2.576997280000000168e-01,1.540629030999999927e+01
2.583682239000000269e-01,1.540604070999999919e+01
2.590367197999999815e-01,1.540571817000000010e+01
2.597051859000000240e-01,1.540534713000000089e+01
2.603736817999999786e-01,1.540495209000000010e+01
2.610421479000000211e-01,1.540455402999999990e+01
2.617106437999999757e-01,1.540417496000000064e+01
2.623791099000000182e-01,1.540384038999999916e+01
2.630476057999999728e-01,1.540356691000000033e+01
2.637160718000000070e-01,1.540337270000000025e+01
2.643845677000000172e-01,1.540326510000000049e+01
2.650530338000000041e-01,1.540323560999999941e+01
2.657215297000000143e-01,1.540327562000000050e+01
2.663899958000000012e-01,1.540336341999999981e+01
2.670584917000000114e-01,1.540348194000000071e+01
2.677269577999999983e-01,1.540361348000000064e+01
2.683954537000000085e-01,1.540374036000000046e+01
2.690639197999999954e-01,1.540384352999999962e+01
2.697324157000000056e-01,1.540390859000000034e+01
