x [m],Pressure [kPa]
7.453572005000000389e-02,1.549019621000000058e+01
7.520420104000000161e-02,1.548940585999999975e+01
7.587268949000000595e-02,1.548871686999999930e+01
7.654117048000000367e-02,1.548797874000000085e+01
7.720965147000000139e-02,1.548714557999999997e+01
7.787813245999999912e-02,1.548632171000000035e+01
7.854661344999999684e-02,1.548561617999999918e+01
7.921509444999999539e-02,1.548498823999999985e+01
7.988357543999999311e-02,1.548431871000000015e+01
8.055205643000000471e-02,1.548352142000000065e+01
8.122053742000000243e-02,1.548261557000000010e+01
8.188902587000000677e-02,1.548174037000000069e+01
8.255750686000000449e-02,1.548105424000000063e+01
8.322598785000000221e-02,1.548058228000000014e+01
8.389446883999999993e-02,1.548022789999999915e+01
8.456294983999999848e-02,1.547987606000000049e+01
8.523143082999999620e-02,1.547943513000000060e+01
8.589991181999999392e-02,1.547889203999999985e+01
8.656839281000000552e-02,1.547832578000000048e+01
8.723687381000000407e-02,1.547780996999999914e+01
8.790536224999999371e-02,1.547732418999999915e+01
8.857384324000000531e-02,1.547682370999999968e+01
8.924232423000000303e-02,1.547629721000000025e+01
8.991080523000000158e-02,1.547574237000000075e+01
9.057928621999999930e-02,1.547518567000000012e+01
9.124776720999999702e-02,1.547470410999999935e+01
9.191624819999999474e-02,1.547434842999999915e+01
9.258472919000000634e-02,1.547406531999999935e+01
9.325321019000000489e-02,1.547375139000000033e+01
9.392169862999999452e-02,1.547334913999999984e+01
9.459017962000000612e-02,1.547284671000000067e+01
9.525866061000000384e-02,1.547226256999999983e+01
9.592714161000000239e-02,1.547166761000000079e+01
9.659562260000000011e-02,1.547116167999999981e+01
9.726410358999999783e-02,1.547078169000000081e+01
9.793258457999999556e-02,1.547045735999999927e+01
9.860106557999999410e-02,1.547010180999999918e+01
9.926954657000000570e-02,1.546967899000000024e+01
9.993803500999999534e-02,1.546918634999999931e+01
1.006065160000000069e-01,1.546863175000000012e+01
1.012749970000000055e-01,1.546806774000000040e+01
1.019434780000000040e-01,1.546757880000000007e+01
1.026119590000000026e-01,1.546719758999999961e+01
1.032804400000000011e-01,1.546685530999999969e+01
1.039489209999999997e-01,1.546645866999999974e+01
1.046174019999999982e-01,1.546597631999999933e+01
1.052858829000000024e-01,1.546542595999999925e+01
1.059543713999999970e-01,1.546483098000000034e+01
1.066228523999999955e-01,1.546422762000000084e+01
1.072913333999999941e-01,1.546369726000000000e+01
1.079598144000000065e-01,1.546331922000000070e+01
1.086282954000000051e-01,1.546309190000000022e+01
1.092967764000000036e-01,1.546293162999999993e+01
1.099652572999999939e-01,1.546275557000000056e+01
1.106337383000000063e-01,1.546252873999999977e+01
1.113022193000000049e-01,1.546225437000000014e+01
1.119707077999999995e-01,1.546192637000000047e+01
1.126391887999999980e-01,1.546154452000000035e+01
1.133076697999999966e-01,1.546114191000000027e+01
1.139761507999999951e-01,1.546078057000000072e+01
1.146446316999999993e-01,1.546048917999999972e+01
1.153131126999999978e-01,1.546022375999999987e+01
1.159815936999999963e-01,1.545992217999999951e+01
1.166500746999999949e-01,1.545955713000000031e+01
1.173185556999999934e-01,1.545914746999999956e+01
1.179870442000000019e-01,1.545872040999999975e+01
1.186555251000000061e-01,1.545828282000000087e+01
1.193240061000000046e-01,1.545782941000000044e+01
1.199924871000000032e-01,1.545739299999999972e+01
1.206609681000000017e-01,1.545703145999999961e+01
1.213294491000000003e-01,1.545676719000000077e+01
1.219979300999999988e-01,1.545655591000000051e+01
1.226664110999999974e-01,1.545632572999999965e+01
1.233348920999999959e-01,1.545603900000000053e+01
1.240033804999999961e-01,1.545570290999999941e+01
1.246718614999999947e-01,1.545534641999999970e+01
1.253403425000000071e-01,1.545497714999999950e+01
1.260088235000000056e-01,1.545458905999999999e+01
1.266773045000000042e-01,1.545418661999999976e+01
1.273457855000000027e-01,1.545381698999999998e+01
1.280142665000000013e-01,1.545353350999999975e+01
1.286827474999999998e-01,1.545334393000000084e+01
1.293512284999999984e-01,1.545319654999999948e+01
1.300197094999999969e-01,1.545302767000000088e+01
1.306881904999999955e-01,1.545280677000000047e+01
1.313566714999999940e-01,1.545254158999999916e+01
1.320251524000000121e-01,1.545224855000000019e+01
1.326936482999999944e-01,1.545193500999999969e+01
1.333621292999999930e-01,1.545159815000000059e+01
1.340306102999999915e-01,1.545122886999999956e+01
1.346990912999999901e-01,1.545085251999999976e+01
1.353675722999999886e-01,1.545051555000000043e+01
1.360360532999999872e-01,1.545026112000000040e+01
1.367045343000000135e-01,1.545007400000000075e+01
1.373730153000000120e-01,1.544990562999999995e+01
1.380414963000000106e-01,1.544970320000000008e+01
1.387099773000000091e-01,1.544945103000000053e+01
1.393784583000000077e-01,1.544915929999999982e+01
1.400469393000000062e-01,1.544884629999999959e+01
1.407154201999999965e-01,1.544852520000000062e+01
1.413839011999999951e-01,1.544819599000000032e+01
1.420523821999999936e-01,1.544784892999999926e+01
1.427208631999999922e-01,1.544749586999999913e+01
1.433893441999999907e-01,1.544716608000000058e+01
1.440578251999999893e-01,1.544690626999999949e+01
1.447263210999999994e-01,1.544673681999999992e+01
1.453948020999999979e-01,1.544662806999999916e+01
1.460632830999999965e-01,1.544652379000000053e+01
1.467317640999999950e-01,1.544637975999999924e+01
1.474002450999999936e-01,1.544618754000000038e+01
1.480687260999999921e-01,1.544596201000000057e+01
1.487372070999999907e-01,1.544571745000000007e+01
1.494056880000000087e-01,1.544546470999999954e+01
1.500741690000000073e-01,1.544520198000000022e+01
1.507426500000000058e-01,1.544491234000000013e+01
1.514111310000000044e-01,1.544459769000000016e+01
1.520796120000000029e-01,1.544427564000000075e+01
1.527480930000000015e-01,1.544399718000000021e+01
1.534165740000000000e-01,1.544379585999999982e+01
1.540850549999999985e-01,1.544367045999999988e+01
1.547535359999999971e-01,1.544357648000000083e+01
1.554220169999999956e-01,1.544346482000000087e+01
1.560904979999999942e-01,1.544330423999999979e+01
1.567589789999999927e-01,1.544310504999999978e+01
1.574274749000000029e-01,1.544288124999999923e+01
1.580959557999999932e-01,1.544264938000000065e+01
1.587644367999999917e-01,1.544241296000000041e+01
1.594329177999999902e-01,1.544216864999999927e+01
1.601013987999999888e-01,1.544190539000000051e+01
1.607698797999999873e-01,1.544162157000000057e+01
1.614383608000000137e-01,1.544132566000000040e+01
1.621068418000000122e-01,1.544104334000000023e+01
1.627753228000000107e-01,1.544080660999999921e+01
1.634438038000000093e-01,1.544063852000000026e+01
1.641122848000000078e-01,1.544052422999999941e+01
1.647807658000000064e-01,1.544042497000000047e+01
1.654492468000000049e-01,1.544029987999999953e+01
1.661177278000000035e-01,1.544012872999999963e+01
1.667862086999999938e-01,1.543992161000000074e+01
1.674546896999999923e-01,1.543969740000000002e+01
1.681231706999999909e-01,1.543946423999999951e+01
1.687916516999999894e-01,1.543923284999999979e+01
1.694601475999999995e-01,1.543900183999999953e+01
1.701286285999999981e-01,1.543877100999999996e+01
1.707971095999999966e-01,1.543852685999999963e+01
1.714655905999999952e-01,1.543827085999999937e+01
1.721340715999999937e-01,1.543801090999999914e+01
1.728025525999999923e-01,1.543777240999999911e+01
1.734710335999999908e-01,1.543757637999999943e+01
1.741395145999999894e-01,1.543744296999999932e+01
1.748079955999999879e-01,1.543735533000000082e+01
1.754764765999999865e-01,1.543727864999999966e+01
1.761449575000000045e-01,1.543717604999999971e+01
1.768134385000000031e-01,1.543703295000000075e+01
1.774819195000000016e-01,1.543684851000000080e+01
1.781504005000000002e-01,1.543664199000000004e+01
1.788188814999999987e-01,1.543642256999999951e+01
1.794873624999999973e-01,1.543619890000000083e+01
1.801558434999999958e-01,1.543597120999999994e+01
1.808243394000000059e-01,1.543573931999999971e+01
1.814928204000000045e-01,1.543549778999999944e+01
1.821613014000000030e-01,1.543524797000000071e+01
1.828297824000000016e-01,1.543498581000000058e+01
1.834982634000000001e-01,1.543471979000000083e+01
1.841667443999999987e-01,1.543446147000000046e+01
1.848352252999999890e-01,1.543424289999999921e+01
1.855037062999999875e-01,1.543408211999999935e+01
1.861721873000000138e-01,1.543398804999999996e+01
1.868406683000000124e-01,1.543393930000000047e+01
1.875091493000000109e-01,1.543390051000000085e+01
1.881776303000000095e-01,1.543383582999999959e+01
1.888461113000000080e-01,1.543373157000000084e+01
1.895145923000000066e-01,1.543358558000000080e+01
1.901830733000000051e-01,1.543341316999999968e+01
1.908515543000000036e-01,1.543322436000000053e+01
1.915200353000000022e-01,1.543302996000000071e+01
1.921885163000000007e-01,1.543283161999999997e+01
1.928570122000000109e-01,1.543263183000000005e+01
1.935254931000000012e-01,1.543242681000000083e+01
1.941939740999999997e-01,1.543221239000000011e+01
1.948624550999999983e-01,1.543197952999999956e+01
1.955309360999999968e-01,1.543173748000000067e+01
1.961994170999999954e-01,1.543148792000000036e+01
1.968678980999999939e-01,1.543125318999999962e+01
1.975363790999999924e-01,1.543105560000000054e+01
1.982048600999999910e-01,1.543091189000000085e+01
1.988733410999999895e-01,1.543082019999999943e+01
1.995418220999999881e-01,1.543076291999999938e+01
2.002103030999999866e-01,1.543070731999999978e+01
2.008787841000000129e-01,1.543062368000000006e+01
2.015472651000000115e-01,1.543050180000000005e+01
2.022157460000000018e-01,1.543033319999999975e+01
2.028842270000000003e-01,1.543012719000000033e+01
2.035527079999999989e-01,1.542988425000000063e+01
2.042211889999999974e-01,1.542961861999999940e+01
2.048896699999999960e-01,1.542933833000000021e+01
2.055581659000000061e-01,1.542905468999999918e+01
2.062266469000000046e-01,1.542878686999999971e+01
2.068951279000000032e-01,1.542856090000000080e+01
2.075636089000000017e-01,1.542838536000000005e+01
2.082320899000000003e-01,1.542826958000000026e+01
2.089005708999999988e-01,1.542820318000000057e+01
2.095690518999999974e-01,1.542817437000000069e+01
2.102375328999999959e-01,1.542817179999999944e+01
2.109060137999999862e-01,1.542818643999999928e+01
2.115744948000000125e-01,1.542820842000000070e+01
2.122429758000000111e-01,1.542822898999999914e+01
2.129114568000000096e-01,1.542823238999999980e+01
2.135799378000000082e-01,1.542820157999999964e+01
2.142484188000000067e-01,1.542812005999999947e+01
2.149168998000000053e-01,1.542798450999999993e+01
2.155853808000000038e-01,1.542780280999999931e+01
