x [m],Pressure [kPa]
7.453572005000000389e-02,1.542987192999999913e+01
7.520420104000000161e-02,1.542959880000000084e+01
7.587268949000000595e-02,1.542934245000000004e+01
7.654117048000000367e-02,1.542909397999999932e+01
7.720965147000000139e-02,1.542883465000000065e+01
7.787813245999999912e-02,1.542853636000000073e+01
7.854661344999999684e-02,1.542819012000000001e+01
7.921509444999999539e-02,1.542782678000000018e+01
7.988357543999999311e-02,1.542750206999999918e+01
8.055205643000000471e-02,1.542726996999999933e+01
8.122053742000000243e-02,1.542717775999999930e+01
8.188902587000000677e-02,1.542723162000000059e+01
8.255750686000000449e-02,1.542738542999999929e+01
8.322598785000000221e-02,1.542755709999999958e+01
8.389446883999999993e-02,1.542765314000000032e+01
8.456294983999999848e-02,1.542760310000000068e+01
8.523143082999999620e-02,1.542737070999999993e+01
8.589991181999999392e-02,1.542696630999999918e+01
8.656839281000000552e-02,1.542643896999999953e+01
8.723687381000000407e-02,1.542586003999999988e+01
8.790536224999999371e-02,1.542529878999999937e+01
8.857384324000000531e-02,1.542480474999999984e+01
8.924232423000000303e-02,1.542440848999999936e+01
8.991080523000000158e-02,1.542411646000000047e+01
9.057928621999999930e-02,1.542390774999999969e+01
9.124776720999999702e-02,1.542375340000000072e+01
9.191624819999999474e-02,1.542361685999999921e+01
9.258472919000000634e-02,1.542347245999999927e+01
9.325321019000000489e-02,1.542330362999999949e+01
9.392169862999999452e-02,1.542310394999999978e+01
9.459017962000000612e-02,1.542288098000000041e+01
9.525866061000000384e-02,1.542264748000000019e+01
9.592714161000000239e-02,1.542241452999999929e+01
9.659562260000000011e-02,1.542218077999999970e+01
9.726410358999999783e-02,1.542194620999999977e+01
9.793258457999999556e-02,1.542170821999999930e+01
9.860106557999999410e-02,1.542146420000000084e+01
9.926954657000000570e-02,1.542120644999999968e+01
9.993803500999999534e-02,1.542093262000000031e+01
1.006065160000000069e-01,1.542064043999999967e+01
1.012749970000000055e-01,1.542032387999999976e+01
1.019434780000000040e-01,1.541997957000000063e+01
1.026119590000000026e-01,1.541960680999999944e+01
1.032804400000000011e-01,1.541921997000000033e+01
1.039489209999999997e-01,1.541884935000000034e+01
1.046174019999999982e-01,1.541852699000000015e+01
1.052858829000000024e-01,1.541827789999999965e+01
1.059543713999999970e-01,1.541810193999999967e+01
1.066228523999999955e-01,1.541798185000000032e+01
1.072913333999999941e-01,1.541788264999999924e+01
1.079598144000000065e-01,1.541776540000000040e+01
1.086282954000000051e-01,1.541759811000000013e+01
1.092967764000000036e-01,1.541736861999999952e+01
1.099652572999999939e-01,1.541709576999999953e+01
1.106337383000000063e-01,1.541681447000000027e+01
1.113022193000000049e-01,1.541655991000000014e+01
1.119707077999999995e-01,1.541635604000000015e+01
1.126391887999999980e-01,1.541620885000000030e+01
1.133076697999999966e-01,1.541611044999999969e+01
1.139761507999999951e-01,1.541604174999999977e+01
1.146446316999999993e-01,1.541597941999999932e+01
1.153131126999999978e-01,1.541589873000000033e+01
1.159815936999999963e-01,1.541578196999999939e+01
1.166500746999999949e-01,1.541562528999999948e+01
1.173185556999999934e-01,1.541543159000000074e+01
1.179870442000000019e-01,1.541521252999999980e+01
1.186555251000000061e-01,1.541497838999999992e+01
1.193240061000000046e-01,1.541473597999999967e+01
1.199924871000000032e-01,1.541449084999999997e+01
1.206609681000000017e-01,1.541425274999999928e+01
1.213294491000000003e-01,1.541402584999999981e+01
1.219979300999999988e-01,1.541381424000000067e+01
1.226664110999999974e-01,1.541361339999999913e+01
1.233348920999999959e-01,1.541341790000000067e+01
1.240033804999999961e-01,1.541322347999999920e+01
1.246718614999999947e-01,1.541302798999999979e+01
1.253403425000000071e-01,1.541283149999999935e+01
1.260088235000000056e-01,1.541263396999999991e+01
1.266773045000000042e-01,1.541243238000000026e+01
1.273457855000000027e-01,1.541222677000000019e+01
1.280142665000000013e-01,1.541201925000000017e+01
1.286827474999999998e-01,1.541181388999999946e+01
1.293512284999999984e-01,1.541161667999999985e+01
1.300197094999999969e-01,1.541142849000000048e+01
1.306881904999999955e-01,1.541124422000000038e+01
1.313566714999999940e-01,1.541106085000000014e+01
1.320251524000000121e-01,1.541087538999999929e+01
1.326936482999999944e-01,1.541068792999999992e+01
1.333621292999999930e-01,1.541050028999999988e+01
1.340306102999999915e-01,1.541031075999999977e+01
