# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
2.6892068571428572e-04 3.3019308313136581e-05 0.0000000000000000e+00 -1.2186934340514749e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.7892518184059074e-08 5.0023465651113687e-08 -1.0000000000000000e+00 1.4561676586054833e+04 1.6906434411334240e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.5118029528730790e+02 1.6080936711513830e-01 3.8265606266720417e-02 -4.7161706686079506e+03 -2.4333206331154588e+02 0.0000000000000000e+00 4.5159241153698592e+06 4.5159241153698592e+06 0.0000000000000000e+00
8.0676205714285722e-04 9.9057924939409742e-05 0.0000000000000000e+00 -1.2186934340514749e-01 9.9254615164132198e-01 0.0000000000000000e+00 5.3677554552177221e-08 5.0070397423278651e-08 -1.0000000000000000e+00 1.5637933936866793e+04 1.8155993430427142e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4968699225313304e+02 1.7212182234808712e-01 3.1259851286603281e-02 -2.9258509943065628e+03 -1.3888067128473983e+02 0.0000000000000000e+00 2.8078090530441767e+06 2.8078090530441767e+06 0.0000000000000000e+00
1.3446034285714286e-03 1.6509654156568292e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 8.9462590920295388e-08 5.0117329820549721e-08 -1.0000000000000000e+00 1.5712909389442246e+04 1.8243041619139208e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4911346562027887e+02 1.7282524292941137e-01 2.7487582453248612e-02 -2.2472605550866197e+03 -1.0743741931932453e+02 0.0000000000000000e+00 2.1491533035790287e+06 2.1491533035790287e+06 0.0000000000000000e+00
1.8824448000000001e-03 2.3113515819195605e-04 0.0000000000000000e+00 -1.2186934340514750e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.2524762728841348e-07 5.0164262841253915e-08 -1.0000000000000000e+00 1.5830202567829934e+04 1.8379221640415566e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4882439178041943e+02 1.7413408889054874e-01 2.5420388288527392e-02 -1.9041490563729431e+03 -9.1113814882081442e+01 0.0000000000000000e+00 1.8163121756918116e+06 1.8163121756918116e+06 0.0000000000000000e+00
2.4202861714285717e-03 2.9717377481822924e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.6103266365653175e-07 5.0211196483575373e-08 -1.0000000000000000e+00 1.5630391824925118e+04 1.8147236868632122e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4863914653239499e+02 1.7200561741753922e-01 2.3761126678546643e-02 -1.6817899187127869e+03 -8.0735667074142100e+01 0.0000000000000000e+00 1.6026363932967444e+06 1.6026363932967444e+06 0.0000000000000000e+00
2.9581275428571434e-03 3.6321239144450237e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.9681770002464975e-07 5.0258130745799441e-08 -1.0000000000000000e+00 1.5782495559132594e+04 1.8323832729067613e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4854114747845608e+02 1.7379293178391575e-01 2.2992087472259132e-02 -1.5566094872400834e+03 -7.4537819521451297e+01 0.0000000000000000e+00 1.4890443679010186e+06 1.4890443679010186e+06 0.0000000000000000e+00
3.4959689142857143e-03 4.2925100807077556e-04 0.0000000000000000e+00 -1.2186934340514756e-01 9.9254615164132198e-01 0.0000000000000000e+00 2.3260273639276773e-07 5.0305065626001536e-08 -1.0000000000000000e+00 1.5814120064496845e+04 1.8360549491905459e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4846632745705807e+02 1.7426638218528059e-01 2.2372286575600985e-02 -1.4681312670841612e+03 -7.0201530572862879e+01 0.0000000000000000e+00 1.4021043518019314e+06 1.4021043518019314e+06 0.0000000000000000e+00
4.0338102857142861e-03 4.9528962469704875e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 2.6838777276088626e-07 5.0352001122617161e-08 -1.0000000000000000e+00 1.5689500029972605e+04 1.8215862825670889e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4840364008396023e+02 1.7302329117398296e-01 2.1731517245760751e-02 -1.3936372907145508e+03 -6.6664764331988692e+01 0.0000000000000000e+00 1.3291665293779117e+06 1.3291665293779117e+06 0.0000000000000000e+00
4.5716516571428570e-03 5.6132824132332183e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 3.0417280912900442e-07 5.0398937234137479e-08 -1.0000000000000000e+00 1.5741716861481640e+04 1.8276487742853889e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4836811475464407e+02 1.7374324110285325e-01 2.1403300580383144e-02 -1.3448719493904186e+03 -6.4198775496268695e+01 0.0000000000000000e+00 1.2873581525709981e+06 1.2873581525709981e+06 0.0000000000000000e+00
5.1094930285714296e-03 6.2736685794959513e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 3.3995784549712263e-07 5.0445873958416757e-08 -1.0000000000000000e+00 1.5870372442816004e+04 1.8425859769806097e-01 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4834721396767048e+02 1.7531583964314171e-01 2.1288858068461477e-02 -1.3172971792107940e+03 -6.2680868851871111e+01 0.0000000000000000e+00 1.2622897432589321e+06 1.2622897432589321e+06 0.0000000000000000e+00
