"Region: Body 1.Ramp1: Position[X] (m)","Region: Body 1.Ramp1: Absolute Pressure (Pa)","Region: Body 1.Ramp2: Position[X] (m)","Region: Body 1.Ramp2: Absolute Pressure (Pa)"
1.8212949313878901,3094.8307321651837,2.41761528079591,79160.95378382792
1.8207986541328174,3094.742499620911,2.41723213987336,79039.78300942975
1.8203023768819833,3094.671334926699,2.416848998944267,78905.95902369842
1.8163321588584247,3095.155543590969,2.4164658580152234,78758.21128786221
1.8168284361092453,3094.9987725120586,2.4160827170928316,78598.75642650844
1.8118685711940126,3097.37370518919,2.4156995761682953,78431.50436921495
1.8123619408349738,3097.0630893186985,2.4153164352416123,78256.97521243573
1.8198110996059658,3094.6355385946895,2.4149363156519534,78111.09364865732
1.8158409048200965,3095.329703136481,2.4145531766267534,77973.53862471833
1.817324713355829,3094.8685768154132,2.414167012461884,77915.54063643813
1.8113722944742667,3097.702254164973,2.4137838715343154,77968.45773751297
1.8128582180857808,3096.766483163211,2.4134007306079,78104.5507691384
1.815344628476258,3095.5264496943814,2.4130175896826396,78353.50618005733
1.8193148232643646,3094.6184344052494,2.4126344487563336,78726.87379639232
1.8178209906108918,3094.762771564674,2.4122513078300822,79219.63493651702
1.8108731090740906,3098.050045511744,2.411868166903885,79814.68571946853
1.813354495340827,3096.4872064911647,2.411485025977743,80435.98204797579
1.8148433270974988,3095.742227207297,2.4111019695017015,81084.40142993235
1.8188135451210186,3094.6386851273637,2.410718828629322,81523.83641789595
1.8183172678659527,3094.6866832761,2.410335603199648,81932.99323636551
1.8103768318190516,3098.4108335734686,2.4099524622737265,81829.88914499045
1.8138507725873987,3096.2224515593552,2.409569321347861,81524.09352129084
1.8143470498424497,3095.9753152568596,2.409186180422051,80971.12203365505
1.8098805545640178,3098.7864652384396,2.408803039496297,80165.36771323279
1.8093842773089825,3099.174439061442,2.408419898570599,79262.94627121139
1.8069028910507883,3101.1940048151614,2.408036757644958,78441.78622143643
1.808888000062426,3099.572632188186,2.4076536167193727,77845.4333776884
1.806406613795766,3101.577363936021,2.4072676233890347,77117.93906568587
1.8073966236787442,3100.7973454627067,2.406884480633934,77159.14558929457
1.8083917228095137,3099.97824272738,2.4065041939429577,77274.6941961219
1.8059103365407425,3101.9375027612964,2.4061210530176,77527.74741343374
1.8078929014015865,3100.389530623049,2.4057379120922993,77940.88137146767
1.805414059294198,3102.26774766268,2.4053547711670555,78396.4715699166
1.8049177820391795,3102.5624657263884,2.4049716302440687,78889.1638564252
1.8044215047862813,3102.8196288323434,2.404588489318942,79319.90010218137
1.803920423350089,3103.0376639726555,2.4042053483916725,79683.08399562596
1.803424145220109,3103.211486212874,2.4038222074666606,80181.24838535798
1.8029326730275985,3103.340057897895,2.4034355887704413,80162.05894039024
1.8024363957725873,3103.431868908322,2.403052445593111,80106.32537007068
1.8019401185260546,3103.481935115018,2.402672784691975,79979.910458552
1.801443841271048,3103.499448227848,2.4022896437693952,79782.52474849155
1.8009475640160435,3103.485015039372,2.4019065028446778,79489.48657131025
1.8004512867631592,3103.443816416183,2.4015233619178176,79521.26855612526
1.7999550095138634,3103.381487160428,2.4011402209976143,79636.5102750507
1.7994587322567461,3103.30296577999,2.400761232640276,79856.70386830575
1.798962455004516,3103.214201664964,2.400378094419243,80188.34582287047
1.7984661777495219,3103.122670834008,2.3999907982241697,80601.07207054859
1.797969900494526,3103.0316680774586,2.3996076573031084,80911.99747434458
1.797473623248009,3102.960961289934,2.3992245163744093,81248.09919801862
1.7969773459930183,3102.901333017707,2.3988413754512647,81188.05729684015
1.7964810687401478,3102.870975905884,2.3984582345314833,81025.87619912441
1.7959847914871896,3102.8587173397764,2.3980750936029662,80746.80874867144
1.7954885142385595,3102.8758493235537,2.397691952674507,80353.36377137549
1.7949922369815483,3102.915392908225,2.3973088117549057,79932.04236647171
1.7944959597265646,3102.9800138218925,2.3969296429315197,79636.89470871727
1.7939996824800597,3103.0682926403692,2.3965465046189984,79308.14422429547
1.7935034052250813,3103.1786484567488,2.396159388983279,79351.4212166796
1.7930071279701045,3103.311995962393,2.3957762480639264,79443.97589988499
1.7925151426591084,3103.462318007596,2.3953931071358388,79579.17435173658
1.7920188662049732,3103.634652942576,2.3950099662122075,79738.00879279448
1.7915182962136602,3103.8248546788154,2.394626825293042,79928.11962900359
1.791022018958689,3104.029384612336,2.3942436843739356,79898.09009177618
1.7905257417037224,3104.245555389557,2.3938605434548945,79827.53306140774
1.7900294644487544,3104.470820424417,2.3934774025271195,79708.13275199513
1.7895331872022655,3104.7032614185837,2.393095296843212,79540.58559194782
1.7890369099473027,3104.9405506626517,2.392712156612904,79359.6812739172
1.7885444887111928,3105.178067504869,2.3923279797573644,79220.20977551838
1.7880482121696992,3105.4191483230206,2.3919448388309394,79097.68662525548
1.7875480781908992,3105.6651591795508,2.3915616979122767,79043.57958653828
1.787051800935945,3105.911657863262,2.3911785569925796,79005.43523780521
1.7865555236809896,3106.162675185595,2.390795416067449,78998.10057208544
1.7860592464345133,3106.41890404931,2.3904122751445795,78977.34498968015
1.785562969179563,3106.682066527532,2.390029134223976,78931.8985941299
1.7850666919246143,3106.952737401645,2.38964599329684,78854.29067706066
1.784571383872664,3107.2298201075596,2.389260950795516,78737.70387472567
1.7840751068059206,3107.5129591080413,2.388877808599803,78577.0328596721
1.7835778601682548,3107.8011273750453,2.388496570529015,78371.94095246182
1.7830815829133118,3108.090163897626,2.388113429604336,78123.9711762322
1.7825853056668477,3108.378009199176,2.3877302886863223,77840.36391548422
