"Region: Body 1.Ramp1: Position[X] (m)","Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)","Region: Body 1.Ramp2: Position[X] (m)","Region: Body 1.Ramp2: Boundary Heat Flux (W/m^2)"
1.8212949313878901,164881.0701508876,2.41761528079591,1708486.010824956
1.8207986541328174,164883.0157834338,2.41723213987336,1706921.1932879705
1.8203023768819833,164886.30937423743,2.416848998944267,1705161.6515106335
1.8163321588584247,164973.49595257733,2.4164658580152234,1703396.5917361332
1.8168284361092453,164957.28060903773,2.4160827170928316,1701091.1736342534
1.8118685711940126,165164.8000794677,2.4156995761682953,1698965.844686783
1.8123619408349738,165139.83930513356,2.4153164352416123,1696966.3709072387
1.8198110996059658,164891.5323222885,2.4149363156519534,1695258.031427713
1.8158409048200965,164990.61042107735,2.4145531766267534,1694282.455698453
1.817324713355829,164942.46882431582,2.414167012461884,1694666.9437713195
1.8113722944742667,165190.78759291954,2.4137838715343154,1697484.7696197769
1.8128582180857808,165115.66385701764,2.4134007306079,1701402.4699140498
1.815344628476258,165009.0528295692,2.4130175896826396,1707590.3880843287
1.8193148232643646,164898.25339786988,2.4126344487563336,1716015.02319704
1.8178209906108918,164929.01426590048,2.4122513078300822,1726338.9600284146
1.8108731090740906,165217.9487243602,2.411868166903885,1738019.8669292955
1.813354495340827,165092.49102380592,2.411485025977743,1749404.4410295775
1.8148433270974988,165028.59106781427,2.4111019695017015,1760442.3119383361
1.8188135451210186,164906.99002221972,2.410718828629322,1766144.7027700264
1.8183172678659527,164917.1939601414,2.410335603199648,1772453.5344122034
1.8103768318190516,165245.59136137646,2.4099524622737265,1767957.0437392602
1.8138507725873987,165070.21922068577,2.409569321347861,1761314.5307215517
1.8143470498424497,165048.94608226418,2.409186180422051,1750238.7445852673
1.8098805545640178,165273.93797179125,2.408803039496297,1735694.5361695215
1.8093842773089825,165302.78826862387,2.408419898570599,1721865.5307720294
1.8069028910507883,165445.9452478299,2.408036757644958,1710833.1991974078
1.808888000062426,165331.95421847422,2.4076536167193727,1704582.8256050963
1.806406613795766,165471.94044824224,2.4072676233890347,1694152.281924856
1.8073966236787442,165418.76795508433,2.406884480633934,1700601.592707784
1.8083917228095137,165361.1735967137,2.4065041939429577,1704592.8974246224
1.8059103365407425,165496.04802557174,2.4061210530176,1711496.8871301478
1.8078929014015865,165390.35294694547,2.4057379120922993,1721196.0853612414
1.805414059294198,165518.00189875532,2.4053547711670555,1730496.151498082
1.8049177820391795,165537.6453571599,2.4049716302440687,1740068.486256048
1.8044215047862813,165554.88046811055,2.404588489318942,1747441.2131908108
1.803920423350089,165569.93282936607,2.4042053483916725,1753883.460512545
1.803424145220109,165582.48775661737,2.4038222074666606,1763452.062030145
1.8029326730275985,165592.55847575795,2.4034355887704413,1761206.2908741562
