# x(m), q(W/m2)
0.000000000000000000e+00,2.566180000000000000e+06
2.481370000000000103e-03,2.216800000000000000e+06
5.069009999999999662e-03,1.686140000000000000e+06
7.767490000000000158e-03,1.345570000000000000e+06
1.058160000000000003e-02,1.135060000000000000e+06
1.351620000000000078e-02,1.071790000000000000e+06
1.657640000000000155e-02,1.023460000000000000e+06
1.976779999999999857e-02,9.819080000000000000e+05
2.309589999999999907e-02,9.455700000000000000e+05
2.656649999999999984e-02,9.136650000000000000e+05
3.018569999999999934e-02,8.856280000000000000e+05
3.395999999999999713e-02,8.608010000000000000e+05
3.789599999999999913e-02,8.385600000000000000e+05
4.200050000000000311e-02,8.184380000000000000e+05
4.628079999999999694e-02,8.001040000000000000e+05
5.074449999999999794e-02,7.832920000000000000e+05
5.539929999999999854e-02,7.677700000000000000e+05
6.025359999999999744e-02,7.533500000000000000e+05
6.531570000000000431e-02,7.399030000000000000e+05
7.059469999999999634e-02,7.273170000000000000e+05
7.609979999999999523e-02,7.154790000000000000e+05
8.184059999999999946e-02,7.042900000000000000e+05
8.782739999999999991e-02,6.936880000000000000e+05
9.407060000000000421e-02,6.836310000000000000e+05
1.005810000000000037e-01,6.740730000000000000e+05
1.073709999999999942e-01,6.649560000000000000e+05
1.144509999999999972e-01,6.562320000000000000e+05
1.218339999999999979e-01,6.478710000000000000e+05
1.218339999999999979e-01,6.478710000000000000e+05
1.295340000000000102e-01,6.398440000000000000e+05
1.375639999999999918e-01,6.321230000000000000e+05
1.459370000000000112e-01,6.246860000000000000e+05
1.546690000000000009e-01,6.175140000000000000e+05
1.637760000000000049e-01,6.105930000000000000e+05
1.732720000000000093e-01,6.038960000000000000e+05
1.831750000000000045e-01,5.974020000000000000e+05
1.935020000000000073e-01,5.911000000000000000e+05
2.042710000000000081e-01,5.849800000000000000e+05
2.155019999999999991e-01,5.790370000000000000e+05
2.269650000000000001e-01,5.733790000000000000e+05
2.384280000000000010e-01,5.680760000000000000e+05
2.498910000000000020e-01,5.630940000000000000e+05
2.613530000000000020e-01,5.584130000000000000e+05
2.728160000000000029e-01,5.539990000000000000e+05
2.842790000000000039e-01,5.498230000000000000e+05
2.957420000000000049e-01,5.458640000000000000e+05
3.072050000000000058e-01,5.421040000000000000e+05
3.186669999999999781e-01,5.385220000000000000e+05
3.301299999999999790e-01,5.351020000000000000e+05
3.415929999999999800e-01,5.318280000000000000e+05
3.415929999999999800e-01,5.318280000000000000e+05
3.530559999999999810e-01,5.286920000000000000e+05
3.645189999999999819e-01,5.256840000000000000e+05
3.759819999999999829e-01,5.227940000000000000e+05
3.874440000000000106e-01,5.200110000000000000e+05
3.989070000000000116e-01,5.173240000000000000e+05
4.103700000000000125e-01,5.147300000000000000e+05
4.218330000000000135e-01,5.122290000000000000e+05
4.332960000000000145e-01,5.098210000000000000e+05
4.447579999999999867e-01,5.075000000000000000e+05
4.562209999999999877e-01,5.052550000000000000e+05
4.676839999999999886e-01,5.030700000000000000e+05
4.791469999999999896e-01,5.009440000000000000e+05
4.906099999999999905e-01,4.988830000000000000e+05
5.020729999999999915e-01,4.968890000000000000e+05
5.135349999999999637e-01,4.949550000000000000e+05
5.249979999999999647e-01,4.930790000000000000e+05
5.364609999999999657e-01,4.912580000000000000e+05
5.479239999999999666e-01,4.894820000000000000e+05
5.593869999999999676e-01,4.877550000000000000e+05
5.708490000000000508e-01,4.860780000000000000e+05
5.708490000000000508e-01,4.860780000000000000e+05
5.823120000000000518e-01,4.844500000000000000e+05
5.937750000000000528e-01,4.828670000000000000e+05
6.052380000000000537e-01,4.813220000000000000e+05
6.167010000000000547e-01,4.798060000000000000e+05
6.281639999999999446e-01,4.783130000000000000e+05
6.396260000000000279e-01,4.768430000000000000e+05
6.510890000000000288e-01,4.754000000000000000e+05
6.625520000000000298e-01,4.739900000000000000e+05
6.740150000000000308e-01,4.726160000000000000e+05
6.854780000000000317e-01,4.712750000000000000e+05
6.969410000000000327e-01,4.699670000000000000e+05
7.084030000000000049e-01,4.686880000000000000e+05
7.198660000000000059e-01,4.674370000000000000e+05
7.313290000000000068e-01,4.662090000000000000e+05
7.427920000000000078e-01,4.650030000000000000e+05
7.542550000000000088e-01,4.638210000000000000e+05
7.657169999999999810e-01,4.626600000000000000e+05
7.771799999999999820e-01,4.615210000000000000e+05
7.886429999999999829e-01,4.604030000000000000e+05
8.001059999999999839e-01,4.593050000000000000e+05
8.115689999999999849e-01,4.582270000000000000e+05
8.230319999999999858e-01,4.571690000000000000e+05
8.344939999999999580e-01,4.561280000000000000e+05
8.344939999999999580e-01,4.561280000000000000e+05
8.459569999999999590e-01,4.551060000000000000e+05
8.574199999999999600e-01,4.541010000000000000e+05
8.688829999999999609e-01,4.531120000000000000e+05
8.803459999999999619e-01,4.521400000000000000e+05
8.918089999999999629e-01,4.511840000000000000e+05
9.032710000000000461e-01,4.502430000000000000e+05
9.147340000000000471e-01,4.493160000000000000e+05
9.261970000000000480e-01,4.484040000000000000e+05
9.376600000000000490e-01,4.475060000000000000e+05
9.491230000000000500e-01,4.466210000000000000e+05
9.605850000000000222e-01,4.457490000000000000e+05
9.720480000000000231e-01,4.448910000000000000e+05
9.835110000000000241e-01,4.440450000000000000e+05
9.949740000000000251e-01,4.432100000000000000e+05
1.006440000000000001e+00,4.423880000000000000e+05
1.017900000000000027e+00,4.415770000000000000e+05
1.029360000000000053e+00,4.407790000000000000e+05
1.040829999999999922e+00,4.399910000000000000e+05
1.052289999999999948e+00,4.392130000000000000e+05
1.063749999999999973e+00,4.384470000000000000e+05
1.075209999999999999e+00,4.376910000000000000e+05
1.086680000000000090e+00,4.369450000000000000e+05
1.098139999999999894e+00,4.362100000000000000e+05
1.098139999999999894e+00,4.362100000000000000e+05
1.109599999999999920e+00,4.354850000000000000e+05
1.121059999999999945e+00,4.347700000000000000e+05
1.132530000000000037e+00,4.340640000000000000e+05
1.143990000000000062e+00,4.333670000000000000e+05
1.155450000000000088e+00,4.326780000000000000e+05
1.166919999999999957e+00,4.319970000000000000e+05
1.178379999999999983e+00,4.313260000000000000e+05
1.189840000000000009e+00,4.306610000000000000e+05
1.201300000000000034e+00,4.300040000000000000e+05
1.212769999999999904e+00,4.293560000000000000e+05
1.224229999999999929e+00,4.287150000000000000e+05
1.235689999999999955e+00,4.280800000000000000e+05
1.247160000000000046e+00,4.274530000000000000e+05
1.258620000000000072e+00,4.268340000000000000e+05
1.270080000000000098e+00,4.262200000000000000e+05
1.281539999999999901e+00,4.256130000000000000e+05
1.293009999999999993e+00,4.250130000000000000e+05
1.304470000000000018e+00,4.244190000000000000e+05
1.315930000000000044e+00,4.238290000000000000e+05
1.327399999999999913e+00,4.232450000000000000e+05
1.338859999999999939e+00,4.226690000000000000e+05
1.350319999999999965e+00,4.220980000000000000e+05
1.361779999999999990e+00,4.215340000000000000e+05
1.373250000000000082e+00,4.209790000000000000e+05
1.373250000000000082e+00,4.209790000000000000e+05
1.384710000000000107e+00,4.204330000000000000e+05
1.396169999999999911e+00,4.198920000000000000e+05
1.407640000000000002e+00,4.193570000000000000e+05
1.419100000000000028e+00,4.188280000000000000e+05
1.430560000000000054e+00,4.183030000000000000e+05
1.442020000000000080e+00,4.177800000000000000e+05
1.453489999999999949e+00,4.172600000000000000e+05
1.464949999999999974e+00,4.167450000000000000e+05
1.476410000000000000e+00,4.162340000000000000e+05
1.487880000000000091e+00,4.157260000000000000e+05
1.499339999999999895e+00,4.152240000000000000e+05
1.510799999999999921e+00,4.147300000000000000e+05
1.522259999999999946e+00,4.142440000000000000e+05
1.533730000000000038e+00,4.137620000000000000e+05
1.545190000000000063e+00,4.132860000000000000e+05
1.556650000000000089e+00,4.128150000000000000e+05
1.568109999999999893e+00,4.123490000000000000e+05
1.579579999999999984e+00,4.118830000000000000e+05
1.591040000000000010e+00,4.114180000000000000e+05
1.602500000000000036e+00,4.109560000000000000e+05
1.613969999999999905e+00,4.104970000000000000e+05
1.625429999999999930e+00,4.100430000000000000e+05
1.636889999999999956e+00,4.095930000000000000e+05
1.648349999999999982e+00,4.091500000000000000e+05
1.648349999999999982e+00,4.091500000000000000e+05
1.659820000000000073e+00,4.087150000000000000e+05
1.671280000000000099e+00,4.082850000000000000e+05
1.671280000000000099e+00,4.082850000000000000e+05
1.682739999999999903e+00,4.078570000000000000e+05
1.694209999999999994e+00,4.074300000000000000e+05
1.705670000000000019e+00,4.070040000000000000e+05
1.717130000000000045e+00,4.065820000000000000e+05
1.728590000000000071e+00,4.061620000000000000e+05
1.740059999999999940e+00,4.057440000000000000e+05
1.751519999999999966e+00,4.053310000000000000e+05
1.762979999999999992e+00,4.049240000000000000e+05
1.774450000000000083e+00,4.045240000000000000e+05
1.785910000000000108e+00,4.041260000000000000e+05
1.797369999999999912e+00,4.037280000000000000e+05
1.808829999999999938e+00,4.033310000000000000e+05
1.820300000000000029e+00,4.029380000000000000e+05
1.831760000000000055e+00,4.025490000000000000e+05
1.843220000000000081e+00,4.021630000000000000e+05
1.854689999999999950e+00,4.017800000000000000e+05
1.866149999999999975e+00,4.013990000000000000e+05
1.877610000000000001e+00,4.010240000000000000e+05
1.889070000000000027e+00,4.006520000000000000e+05
1.900539999999999896e+00,4.002810000000000000e+05
1.911999999999999922e+00,3.999100000000000000e+05
1.923459999999999948e+00,3.995420000000000000e+05
1.934930000000000039e+00,3.991780000000000000e+05
1.946390000000000065e+00,3.988180000000000000e+05
1.957850000000000090e+00,3.984620000000000000e+05
1.957850000000000090e+00,3.984620000000000000e+05
1.969309999999999894e+00,3.981060000000000000e+05
1.980779999999999985e+00,3.977520000000000000e+05
1.992240000000000011e+00,3.974010000000000000e+05
2.003699999999999815e+00,3.970540000000000000e+05
2.015159999999999840e+00,3.967100000000000000e+05
2.026629999999999932e+00,3.963660000000000000e+05
2.038089999999999957e+00,3.960230000000000000e+05
2.049549999999999983e+00,3.956830000000000000e+05
2.061020000000000074e+00,3.953470000000000000e+05
2.072480000000000100e+00,3.950150000000000000e+05
2.083940000000000126e+00,3.946830000000000000e+05
2.095470000000000166e+00,3.943510000000000000e+05
2.106529999999999792e+00,3.940340000000000000e+05
2.117129999999999956e+00,3.937320000000000000e+05
2.127289999999999903e+00,3.934460000000000000e+05
2.137039999999999829e+00,3.931740000000000000e+05
2.137039999999999829e+00,3.931740000000000000e+05
2.146389999999999798e+00,3.929140000000000000e+05
2.155359999999999943e+00,3.926650000000000000e+05
2.163949999999999818e+00,3.924260000000000000e+05
2.172190000000000065e+00,3.921980000000000000e+05
2.180099999999999927e+00,3.919800000000000000e+05
2.187679999999999847e+00,3.917730000000000000e+05
2.194949999999999957e+00,3.915770000000000000e+05
2.201919999999999877e+00,3.913900000000000000e+05
2.208600000000000119e+00,3.912110000000000000e+05
2.215009999999999923e+00,3.910400000000000000e+05
2.221159999999999801e+00,3.908750000000000000e+05
2.227050000000000196e+00,3.907180000000000000e+05
2.232699999999999907e+00,3.905670000000000000e+05
2.238119999999999887e+00,3.904230000000000000e+05
2.243320000000000203e+00,3.902850000000000000e+05
2.248299999999999965e+00,3.901540000000000000e+05
2.253080000000000194e+00,3.900280000000000000e+05
2.257660000000000000e+00,3.899090000000000000e+05
2.262049999999999894e+00,3.897950000000000000e+05
2.266270000000000007e+00,3.896860000000000000e+05
2.270309999999999828e+00,3.895830000000000000e+05
2.274179999999999868e+00,3.894830000000000000e+05
2.277899999999999814e+00,3.893880000000000000e+05
2.281460000000000043e+00,3.892970000000000000e+05
2.284879999999999800e+00,3.892090000000000000e+05
2.288149999999999906e+00,3.891250000000000000e+05
2.291300000000000114e+00,3.890440000000000000e+05
2.294309999999999850e+00,3.889670000000000000e+05
2.297200000000000131e+00,3.888930000000000000e+05
2.299970000000000070e+00,3.888220000000000000e+05
2.299970000000000070e+00,3.888220000000000000e+05
2.302620000000000111e+00,3.887530000000000000e+05
2.305169999999999941e+00,3.886880000000000000e+05
