Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Shear Stress[i] (Pa)
1.117124096,385.1258706
1.117421875,385.1182801
1.109977399,385.2507377
1.110275178,385.2437502
1.115039642,385.1708714
1.115339809,385.1651564
1.116826317,385.1327829
1.117719654,385.110975
1.10967784,385.2586519
1.110572957,385.2377081
1.113252968,385.1989095
1.112955189,385.2030799
1.114741863,385.1761415
1.115635534,385.1594055
1.116528538,385.1398334
1.118017433,385.1036299
1.120101886,385.042277
1.120399665,385.031879
1.129035257,384.5293931
1.129333036,384.5101935
1.10938137,385.2672194
1.110870736,385.2323718
1.113550747,385.1949865
1.11265741,385.207236
1.114444084,385.181645
1.115930926,385.1533088
1.116230759,385.1464366
1.118315212,385.0955908
1.119804107,385.0521939
1.120697444,385.0212204
1.128735489,384.5493938
1.129630815,384.4922565
1.106106271,385.4265539
1.10640405,385.4092129
1.109085371,385.2773417
1.111168515,385.2274907
1.113848526,385.1904937
1.112359631,385.2109367
1.114146305,385.1859207
1.118612991,385.0876742
1.119506328,385.0615521
1.120995223,385.0102691
1.128438346,384.5695969
1.129928594,384.4748443
1.106701829,385.3922088
1.108786283,385.2883403
1.111466294,385.2229353
1.112061852,385.2148713
1.11891077,385.0793581
1.119208549,385.0707034
1.121293002,384.9984671
1.128142556,384.5907528
1.130226373,384.4587508
1.133501943,384.3094007
1.133799722,384.2936546
1.107892946,385.3279382
1.107595166,385.3429076
1.106999608,385.3751674
1.108488504,385.3006567
1.111764073,385.2190265
1.121592721,384.9864245
1.123079677,384.9202284
1.123377456,384.9052072
1.130524153,384.4430073
1.127844141,384.6126621
1.133204164,384.3240504
1.134097501,384.2765156
1.108190725,385.3136922
1.107297387,385.3588519
1.121889791,384.9739882
1.122781897,384.9344167
1.123675235,384.8897364
1.123973014,384.8737469
1.124270793,384.8570248
1.126355246,384.7215044
1.126653025,384.7000612
1.130821932,384.428805
1.127546362,384.6344984
1.132906385,384.338242
1.134395527,384.2581036
1.122185631,384.961529
1.122484118,384.9483167
1.124568572,384.840014
1.126057467,384.7427665
1.126950804,384.6783545
1.127248583,384.6563842
1.131119711,384.4150458
1.132608606,384.3513776
1.134690515,384.2386252
1.124866351,384.8217773
1.125461909,384.7834953
1.125759688,384.7631952
1.13141749,384.401694
1.132310827,384.3643183
1.134988048,384.2167326
1.12516413,384.80266
1.131715269,384.3890185
1.132013048,384.3765592
1.135288617,384.1939405
1.135586396,384.1685958
1.135884175,384.1415795
1.136181954,384.1130385
1.136479733,384.0823685
1.136777512,384.0499106
1.137075291,384.0157666
1.13737307,383.9800335
1.137670849,383.9424231
1.137968629,383.9044544
1.138266408,383.8648293
1.138564187,383.8247321
1.138861966,383.7847592
1.139159745,383.7438171
1.139457524,383.7035053
1.139755303,383.663563
1.140053082,383.6243343
1.140350861,383.5861773
1.140649964,383.5491639
1.140945977,383.514318
1.141242432,383.4809761
1.141541977,383.4507322
1.141839756,383.4227294
1.142137535,383.3973089
1.142435314,383.3742413
1.142733093,383.3542179
1.143030872,383.3383288
1.143328651,383.3246667
1.14362643,383.3144651
1.143924209,383.3075078
1.144221988,383.3019603
1.144519767,383.2996092
1.144817546,383.2981723
1.145115325,383.2976778
1.145413105,383.2971624
1.145710884,383.2970742
1.146008663,383.2961841
1.146306442,383.2949565
1.146604221,383.2918902
1.146904402,383.2869297
1.147200145,383.2813448
1.147495522,383.2731222
1.147795337,383.2627434
1.148093116,383.2488345
1.148390895,383.2323672
1.148688674,383.2133421
1.148986453,383.1909788
1.149284232,383.1659846
1.149582011,383.1384674
1.14987979,383.1086543
1.150177569,383.0765151
1.150475348,383.0427354
1.150773127,383.0078131
1.151070906,382.9721316
1.151368685,382.9360601
1.151666464,382.8997047
1.151964243,382.8638937
1.152262022,382.8287545
1.152559801,382.7945425
1.15285758,382.7611724
1.153157312,382.729216
1.1534544,382.6992079
1.153750227,382.6705541
1.154048697,382.6433692
1.154346476,382.6179027
1.154644255,382.5942115
1.154942034,382.5719609
1.155239813,382.5508661
1.155537592,382.5312637
1.155835371,382.5128795
1.15613315,382.4959827
1.156430929,382.4799259
1.156728708,382.4656712
1.157026487,382.4521684
1.157324266,382.4400907
1.157622045,382.4288035
1.157919824,382.4187922
1.158217603,382.4096834
1.158515382,382.4010837
1.158813161,382.3939195
1.15911094,382.3877568
1.159408719,382.3818692
1.159707153,382.3776248
1.160002954,382.3736886
1.16030008,382.3707078
1.160599836,382.3680152
1.160897615,382.3659839
1.161195394,382.3640573
1.161493173,382.3629349
1.161790952,382.3618034
1.162088731,382.3610088
1.16238651,382.3603086
1.162684289,382.3598238
1.162982068,382.3595162
1.163279847,382.3586381
1.163577626,382.3582914
1.163875405,382.357492
1.164173184,382.3561605
1.164470963,382.3547972
1.164768742,382.353166
1.165066521,382.3506267
1.1653643,382.3481578
1.165662079,382.3450674
1.165960119,382.3405366
1.166255122,382.3363359
1.16655264,382.330492
1.166853195,382.3241159
1.167150974,382.3164451
1.167448753,382.3074209
1.167746532,382.2955286
1.168044312,382.2821078
1.168342091,382.2655963
1.16863987,382.2464483
1.168937649,382.2240705
1.169235428,382.198591
1.169533207,382.1709889
1.169830986,382.1406365
1.170128765,382.1086616
1.170426544,382.0752424
1.170724323,382.0411076
1.171022102,382.0068806
1.171319881,381.9728711
1.17161766,381.9394867
1.171915439,381.9079617
1.172214557,381.8786909
1.172510584,381.8513249
1.172807024,381.8265216
1.173106555,381.8033345
1.173404334,381.7837221
1.173702113,381.7672048
1.173999892,381.7547291
1.174297671,381.745111
1.17459545,381.7384619
1.174893229,381.7347522
1.175191008,381.7333571
1.175488788,381.7337998
1.175786567,381.7367929
1.176084346,381.7409355
1.176382125,381.7473648
1.176679904,381.7545342
1.176977683,381.7627028
1.177275462,381.7717673
1.177573241,381.7828413
1.17787102,381.7931406
1.178168799,381.8050936
1.178468995,381.816837
1.178764756,381.8282516
1.179060119,381.8390709
1.179359915,381.848755
1.179657694,381.8566157
1.179955473,381.8632659
1.180253252,381.8684533
1.180551031,381.8715928
1.18084881,381.8728012
1.181146589,381.8722234
1.181444368,381.8689837
1.181742147,381.8639917
1.090028131,386.113945
1.089728424,386.1441908
1.090325183,386.0839817
1.089430645,386.1741902
1.090621034,386.0542078
1.089132866,386.2037766
1.085857297,386.4727845
1.085559518,386.4933519
1.081390611,386.8690312
1.081092832,386.9042014
1.09091954,386.0253407
1.088835087,386.2329323
1.085261739,386.5142776
1.086155076,386.4519799
1.092706215,385.8790717
1.093003994,385.860756
1.08168839,386.8343434
1.080795053,386.9399019
1.091217319,385.9973476
1.088537308,386.2611772
1.088239529,386.2885293
1.08794175,386.3147217
1.084963959,386.5348669
1.086452855,386.4308407
1.092408435,385.8994619
1.093301773,385.8442142
1.081986169,386.8005203
1.080497274,386.9757232
1.091515098,385.9707045
1.087643971,386.3397728
1.086750634,386.4091604
1.08466618,386.5565629
1.092110656,385.9217231
1.093599552,385.8302582
1.082283948,386.7679984
1.080199495,387.0112221
1.083177285,386.6786976
1.083475064,386.6518924
1.091812877,385.9455745
1.087346192,386.3636883
1.087048413,386.3868417
1.08436633,386.5788452
1.094790668,385.7903161
1.093897331,385.8178469
1.075137251,387.5033964
1.07543503,387.4789332
1.078412821,387.209455
1.078113248,387.23899
1.082581727,386.7368899
1.079901716,387.0465653
1.082879506,386.7069201
1.083775217,386.6257238
1.084070923,386.6020699
1.094492889,385.7980931
1.09419511,385.8073343
1.069777228,387.8780699
1.069479449,387.8930928
1.070075008,387.8619837
1.074839472,387.5274839
1.075732809,387.4539024
1.0787106,387.1789841
1.077816764,387.2678672
1.079603937,387.0809461
1.06918167,387.9074918
1.070372787,387.8449741
1.074541693,387.5512783
1.076030588,387.4285467
1.079008379,387.1473226
1.077520779,387.2955246
1.079306158,387.1145332
1.072159461,387.7286231
1.07245724,387.7076896
1.068883891,387.9203489
1.070670566,387.8270503
1.074243914,387.574637
1.076328367,387.4027725
1.077221704,387.3233464
1.071858864,387.7493577
1.072755019,387.6864548
1.068586112,387.9319576
1.070968345,387.8087132
1.073946135,387.5977042
1.076626146,387.3766283
1.076923925,387.3501237
1.071561302,387.7696959
1.073052798,387.6645784
1.068288333,387.942587
1.071266341,387.7890534
1.073648356,387.6204139
1.073350577,387.6426073
1.067990554,387.9521981
1.067692775,387.960759
1.067394996,387.9682563
1.067097217,387.9744443
1.066799438,387.9797856
1.066501659,387.9840305
1.06620388,387.9877489
1.065906101,387.9906703
1.065606308,387.9929618
1.065309128,387.994971
1.065013364,387.9968922
1.064714985,387.9983256
1.064417206,387.9999679
1.064119427,388.0017519
1.063821648,388.003624
1.063523869,388.0065
1.06322609,388.0089007
1.062928311,388.0114897
1.062630532,388.0146771
1.062332752,388.0175369
1.062034973,388.0207303
1.061737194,388.0235569
1.061439415,388.026321
1.061141636,388.0286385
1.060843857,388.0310851
1.060546078,388.0326016
1.060248299,388.0341258
1.05995052,388.0351996
1.059652741,388.0356622
1.059354962,388.0364849
1.059056438,388.0369022
1.058762095,388.036641
1.058465062,388.0374157
1.058163846,388.0373004
1.057866067,388.0378499
1.057568288,388.0390519
1.057270509,388.0402504
1.05697273,388.0423859
1.056674951,388.0452423
1.056377172,388.0487304
1.056079393,388.0534306
1.055781614,388.0587744
1.055483835,388.0655072
1.055186056,388.0731391
1.054888277,388.0818285
1.054590497,388.0914288
1.054292718,388.1022456
1.053994939,388.1138631
1.05369716,388.1266702
1.053399381,388.1404068
1.053101602,388.1551536
1.052801733,388.1710026
1.052506312,388.1873309
1.052210624,388.2050089
1.051910486,388.2233025
1.051612707,388.2426248
1.051314928,388.262565
1.051017149,388.2833977
1.05071937,388.3051533
1.050421591,388.3275815
1.050123812,388.350845
1.049826033,388.3747964
1.049528254,388.3996566
1.049230475,388.4257668
1.048932696,388.4526016
1.048634917,388.4805179
1.048337138,388.5097206
1.048039359,388.5398929
1.04774158,388.5710745
1.047443801,388.6038343
1.047146021,388.6376239
1.046848242,388.6721645
1.046548656,388.7080611
1.046252157,388.7449324
1.045956186,388.7817013
1.045657126,388.8200184
1.045359347,388.8583112
1.045061568,388.896669
1.044763789,388.9347206
1.04446601,388.9723573
1.044168231,389.009577
1.043870452,389.0453607
1.043572673,389.0798536
1.043274894,389.1122804
1.042977115,389.1427871
1.042679336,389.1711639
1.042381557,389.1971625
1.042083778,389.2209378
1.041785999,389.2420082
1.04148822,389.2611553
1.041190441,389.2778777
1.040892662,389.2926262
1.040594883,389.3053036
1.040294272,389.3159475
1.039996696,389.3250902
1.039701748,389.3324414
1.039403766,389.3388823
1.039105987,389.3447222
1.038808208,389.3494744
1.038510429,389.3533985
1.03821265,389.3571999
1.037914871,389.3606573
1.037617092,389.3639605
1.037319313,389.3681772
1.037021534,389.3725112
1.036723755,389.3775771
1.036425976,389.3832974
1.036128197,389.3898038
1.035830418,389.3971809
1.035532639,389.4053693
1.03523486,389.4142563
1.034937081,389.4234047
1.034639302,389.4332811
1.034341523,389.443232
1.034041717,389.453438
1.033744519,389.4631549
1.033448767,389.4733148
1.033150407,389.4832523
1.032852628,389.493258
1.032554849,389.5034148
1.03225707,389.5136418
1.03195929,389.5249609
1.031661511,389.5360256
1.031363732,389.5484609
1.031065953,389.5614058
1.030768174,389.576027
1.030470395,389.5919159
1.030172616,389.6087745
1.029874837,389.6275545
1.029577058,389.6474426
1.029279279,389.6690084
1.0289815,389.6920169
1.028683721,389.7165144
1.028385942,389.7428407
1.028088163,389.7709999
1.027790384,389.8011808
1.027491842,389.833215
