Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
2.116952098,15410.32568
2.116703959,15410.39468
2.116455821,15410.44804
2.116207682,15410.46351
2.115959543,15410.44937
2.115711405,15410.41807
2.115463266,15410.35009
2.115215127,15410.23725
2.114966989,15410.08471
2.11471885,15409.90734
2.114470712,15409.68689
2.114222573,15409.41678
2.113974434,15409.12405
2.113726296,15408.79626
2.113478157,15408.42456
2.113230018,15408.02728
2.11298188,15407.59173
2.112733741,15407.14034
2.112485603,15406.65539
2.112237464,15406.15628
2.111989325,15405.62996
2.111743399,15405.1002
2.111495261,15404.5459
2.111244909,15403.98163
2.110996771,15403.40618
2.110748632,15402.83306
2.110500494,15402.25851
2.110252355,15401.68015
2.110004216,15401.10997
2.109758115,15400.55565
2.109509977,15400.00499
2.1092598,15399.46146
2.109011662,15398.94724
2.108763523,15398.46036
2.108515385,15397.99885
2.108267246,15397.56069
2.108019107,15397.15514
2.107771635,15396.8003
2.107523496,15396.48374
2.107274691,15396.18628
2.107026553,15395.93092
2.106778414,15395.72582
2.106530275,15395.56696
2.106282137,15395.44801
2.106033998,15395.38591
2.1057838,15395.37127
2.105535661,15395.39947
2.105289582,15395.46377
2.105041444,15395.56871
2.104793305,15395.69786
2.104545166,15395.85286
2.104297028,15396.02814
2.104048889,15396.21889
2.103797873,15396.41456
2.103549735,15396.59808
2.103304473,15396.79641
2.103056335,15396.98924
2.102808196,15397.17249
2.102560057,15397.33161
2.102311919,15397.50123
2.10206378,15397.65844
2.101815642,15397.8031
2.101567503,15397.92828
2.101319364,15398.04741
2.101071226,15398.1634
2.100823087,15398.27108
2.100574948,15398.36901
2.10032681,15398.46368
2.100078671,15398.56291
2.099830533,15398.66641
2.099582394,15398.77291
2.099334255,15398.88423
2.099086117,15399.0048
2.098837978,15399.14754
2.098589839,15399.29887
2.098341701,15399.46303
2.098096659,15399.6422
2.09784852,15399.85692
2.097597285,15400.08453
2.097349146,15400.33164
2.097101008,15400.59975
2.096852869,15400.89388
2.09660473,15401.20539
2.096356592,15401.54098
2.096110876,15401.90043
2.095862738,15402.27924
2.095612176,15402.68396
2.095364037,15403.10024
2.095115899,15403.53445
2.09486776,15403.99084
2.094619621,15404.45073
2.094371483,15404.92724
2.094123041,15405.40897
2.093874903,15405.89697
2.093627067,15406.3862
2.093378928,15406.86561
2.09313079,15407.34044
2.092882651,15407.80224
2.092634512,15408.26019
2.092386374,15408.68339
2.092135206,15409.09147
2.091887067,15409.47522
2.091641958,15409.79858
2.091393819,15410.07931
2.091145681,15410.32116
2.090897542,15410.48973
2.090649403,15410.60763
2.090401265,15410.68676
2.090151046,15410.70178
2.089902907,15410.67529
2.089656849,15410.59358
2.08940871,15410.45877
2.089160572,15410.27844
2.088912433,15410.0541
2.088664294,15409.78467
2.088416156,15409.48542
2.088168017,15409.14761
2.087919878,15408.78872
2.08767174,15408.40207
2.087423601,15408.00626
2.087175463,15407.58814
2.086927324,15407.16546
2.086679185,15406.72593
2.086433547,15406.30018
2.086185408,15405.85858
2.085934769,15405.4196
2.085686631,15404.99245
2.085438492,15404.56906
2.085190353,15404.16227
2.084942215,15403.77073
2.084694076,15403.38952
2.084448449,15403.03955
2.084200311,15402.7178
2.08394966,15402.41986
2.083701522,15402.13935
2.083453383,15401.88527
2.083205244,15401.68204
2.082957106,15401.50532
2.082708967,15401.34445
2.082462282,15401.22463
2.082214144,15401.13363
2.081964551,15401.06504
2.081716413,15401.02936
2.081468274,15401.00762
2.081220135,15401.01179
2.080971997,15401.02401
2.080723858,15401.05392
2.080474447,15401.08979
2.080226309,15401.13123
2.079979442,15401.18178
2.079731304,15401.23035
2.079483165,15401.27255
2.079235026,15401.31107
2.078986888,15401.34059
2.078738749,15401.36645
2.078488208,15401.38389
2.07824007,15401.393
2.077994333,15401.40153
2.077746195,15401.4086
2.077498056,15401.408
2.077249917,15401.41525
2.258142977,15410.08189
2.258391116,15410.46306
2.260376225,15414.14881
2.260624363,15414.67145
2.262609472,15418.98535
2.262361334,15418.45492
2.257894838,15409.72712
2.258639254,15410.86515
2.260128086,15413.63528
2.260872502,15415.20988
2.255909729,15407.64213
2.256157868,15407.80543
2.25218765,15410.6012
2.251942661,15411.19082
2.264594581,15422.77713
2.262857611,15419.50059
2.262113195,15417.92128
2.2576467,15409.38694
2.258887393,15411.28477
2.259879947,15413.13594
2.261120641,15415.74495
2.257398561,15409.06829
2.255661591,15407.52084
2.256406007,15408.01487
2.257150423,15408.76261
2.252435789,15410.03976
2.251694523,15411.83943
2.264346443,15422.353
2.26310575,15420.0055
2.261865056,15417.37721
2.259135532,15411.71765
2.25962937,15412.63931
2.261367446,15416.28787
2.255413452,15407.4312
2.256654145,15408.24515
2.256902284,15408.49651
2.252683927,15409.53882
2.251443234,15412.5544
2.264098304,15421.91742
2.263355282,15420.50741
2.261615585,15416.82849
2.259381231,15412.16574
2.255165314,15407.38621
2.252932066,15409.09798
2.251195095,15413.30333
2.263850165,15421.45921
2.26360342,15420.99516
2.248713709,15422.49651
2.248465571,15423.52382
2.254917175,15407.39319
2.253180204,15408.70155
2.250946957,15414.08147
2.238788164,15444.56115
2.248961848,15421.47589
2.248217432,15424.55603
2.254669036,15407.4288
2.253428343,15408.35818
2.250698818,15414.90522
2.239036303,15444.74256
2.238540025,15444.34327
2.245733022,15434.43252
2.245487907,15435.2919
2.249209986,15420.47595
2.247966991,15425.60818
2.254420898,15407.51924
2.253678606,15408.08115
2.25045068,15415.766
2.241021412,15444.69973
2.24126955,15444.52264
2.239284441,15444.87623
2.238294068,15444.09267
2.245981161,15433.54259
2.245239768,15436.12622
2.249458125,15419.48645
2.247718853,15426.63669
2.254172759,15407.6536
2.253926744,15407.8393
2.250202541,15416.65487
2.243254659,15441.57387
2.243502798,15441.02521
2.240773273,15444.83898
2.241517689,15444.29274
2.23953258,15444.96282
2.238045929,15443.79209
2.246232323,15432.59669
2.24499163,15436.93801
2.249706688,15418.51756
2.247473016,15427.66033
2.249954826,15417.56953
2.243006521,15442.08566
2.243750937,15440.43902
2.240525134,15444.93825
2.241765828,15444.033
2.239780719,15445.01437
2.23779561,15443.45108
2.246480462,15431.65171
2.244743491,15437.70908
2.247224877,15428.67644
2.242758382,15442.56366
2.243999075,15439.81686
2.240279946,15444.9999
2.242013966,15443.72152
2.240031808,15445.02743
2.237547471,15443.07624
2.244495353,15438.44425
2.2467286,15430.67175
2.246976739,15429.68164
2.242510243,15442.99247
2.244247214,15439.14571
2.242262105,15443.36779
2.237299332,15442.66134
2.237051194,15442.21845
2.236803055,15441.74687
2.236554916,15441.2411
2.236306233,15440.70674
2.236058094,15440.16069
2.235810501,15439.59836
2.235562362,15439.02314
2.235314223,15438.43324
2.235066085,15437.85584
2.234817946,15437.26474
2.234569807,15436.68093
2.234319704,15436.10577
2.234071565,15435.55301
2.233825392,15435.0163
2.233577253,15434.48824
2.233329114,15433.98164
2.233080976,15433.50431
2.232832837,15433.0369
2.232584698,15432.58877
2.232334392,15432.14742
2.232086253,15431.73495
2.231840283,15431.33522
2.231592144,15430.94477
2.231344005,15430.55782
2.231095867,15430.17144
2.230847728,15429.78226
2.230599589,15429.39598
2.230351451,15428.99949
2.230103312,15428.58722
2.229855173,15428.16123
2.229607035,15427.71965
2.229358896,15427.25593
2.229110758,15426.77369
2.228862619,15426.27129
2.228616892,15425.7463
2.228368753,15425.19243
2.228118203,15424.61904
2.227870064,15424.02261
2.227621926,15423.41502
2.227373787,15422.7821
2.227125649,15422.13045
2.22687751,15421.46995
2.226631737,15420.79994
2.226383599,15420.11281
2.226133094,15419.40422
2.225884955,15418.69011
2.225636817,15417.96849
2.225388678,15417.23247
2.22514054,15416.48849
2.224892401,15415.7299
2.224645474,15414.96175
2.224397335,15414.17627
2.224147985,15413.37958
2.223899846,15412.56402
2.223651708,15411.73819
2.223403569,15410.89834
2.223155431,15410.04495
2.222907292,15409.18144
2.222657639,15408.29573
2.2224095,15407.40948
2.222162876,15406.51998
2.221914737,15405.61671
2.221666599,15404.71083
2.22141846,15403.79763
2.221170322,15402.88977
2.220922183,15401.99045
2.220671496,15401.0743
2.220423357,15400.18162
2.220177767,15399.30127
2.219929628,15398.42035
2.21968149,15397.55714
2.219433351,15396.69727
2.219185212,15395.86255
2.218937074,15395.04129
2.218688935,15394.23224
2.218440797,15393.44715
2.218192658,15392.68966
2.217944519,15391.94479
2.217696381,15391.23327
2.217448242,15390.53779
2.217200103,15389.86806
2.216951965,15389.23148
2.216703826,15388.61162
2.216455688,15388.02276
2.216207549,15387.45662
2.21595941,15386.91554
2.215711272,15386.39882
2.215463133,15385.9049
2.215214994,15385.4307
2.214968914,15384.98071
2.214720775,15384.54405
2.214470579,15384.12027
2.21422244,15383.71712
2.213974301,15383.32848
2.213726163,15382.94343
2.213478024,15382.56966
2.213229885,15382.20829
2.212984715,15381.8563
2.212736577,15381.49674
2.21248547,15381.13898
2.212237331,15380.78216
2.211989192,15380.43014
2.211741054,15380.07179
2.211492915,15379.70839
2.211244776,15379.33686
2.21099688,15378.95919
2.210748741,15378.57556
