Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Skin Friction Coefficient
2.116952098,719.2390077
2.116703959,719.2421835
2.116455821,719.2450177
2.116207682,719.2465719
2.115959543,719.2487491
2.115711405,719.2456179
2.115463266,719.2436583
2.115215127,719.2379073
2.114966989,719.2338342
2.11471885,719.2290692
2.114470712,719.2199445
2.114222573,719.2138087
2.113974434,719.2012233
2.113726296,719.1932418
2.113478157,719.1829486
2.113230018,719.1716888
2.11298188,719.163982
2.112733741,719.1495214
2.112485603,719.1405657
2.112237464,719.1288393
2.111989325,719.1173674
2.111743399,719.1079463
2.111495261,719.0975697
2.111244909,719.0872949
2.110996771,719.0782367
2.110748632,719.0710961
2.110500494,719.0603616
2.110252355,719.0554053
2.110004216,719.0492216
2.109758115,719.0451862
2.109509977,719.0403898
2.1092598,719.0416256
2.109011662,719.0366453
2.108763523,719.0407694
2.108515385,719.0427901
2.108267246,719.0427192
2.108019107,719.0494722
2.107771635,719.0588731
2.107523496,719.0666869
2.107274691,719.0746656
2.107026553,719.0848607
2.106778414,719.100154
2.106530275,719.1123339
2.106282137,719.13015
2.106033998,719.1470529
2.1057838,719.1637649
2.105535661,719.180615
2.105289582,719.1999431
2.105041444,719.2174804
2.104793305,719.2363022
2.104545166,719.2517735
2.104297028,719.2694121
2.104048889,719.2874583
2.103797873,719.2999081
2.103549735,719.3184322
2.103304473,719.3309403
2.103056335,719.3469185
2.102808196,719.3561754
2.102560057,719.3731456
2.102311919,719.3850863
2.10206378,719.3980863
2.101815642,719.4082216
2.101567503,719.4200377
2.101319364,719.4339416
2.101071226,719.447888
2.100823087,719.458217
2.100574948,719.4718025
2.10032681,719.4841628
2.100078671,719.5003947
2.099830533,719.514998
2.099582394,719.5286972
2.099334255,719.5437017
2.099086117,719.5631198
2.098837978,719.5787897
2.098589839,719.5992857
2.098341701,719.6159128
2.098096659,719.638684
2.09784852,719.6564016
2.097597285,719.6789993
2.097349146,719.6995866
2.097101008,719.7244547
2.096852869,719.7456655
2.09660473,719.7712511
2.096356592,719.7961064
2.096110876,719.8189065
2.095862738,719.8436998
2.095612176,719.8673018
2.095364037,719.8945496
2.095115899,719.9190993
2.09486776,719.9412101
2.094619621,719.9697075
2.094371483,719.9913268
2.094123041,720.0147247
2.093874903,720.0360734
2.093627067,720.0564963
2.093378928,720.078735
2.09313079,720.0957892
2.092882651,720.1149772
2.092634512,720.1287181
2.092386374,720.1419364
2.092135206,720.1549642
2.091887067,720.1635437
2.091641958,720.1736229
2.091393819,720.1788601
2.091145681,720.1815765
2.090897542,720.1836929
2.090649403,720.1831043
2.090401265,720.1811909
2.090151046,720.1812421
2.089902907,720.1765137
2.089656849,720.1692697
2.08940871,720.1674497
2.089160572,720.1585665
2.088912433,720.1508986
2.088664294,720.145285
2.088416156,720.13571
2.088168017,720.1296692
2.087919878,720.1204194
2.08767174,720.1167607
2.087423601,720.1074143
2.087175463,720.1029554
2.086927324,720.0949642
2.086679185,720.0919901
2.086433547,720.0858241
2.086185408,720.0845672
2.085934769,720.0785276
2.085686631,720.075781
2.085438492,720.0771918
2.085190353,720.0755514
2.084942215,720.0776121
2.084694076,720.0797516
2.084448449,720.0816892
2.084200311,720.0879028
2.08394966,720.0934833
2.083701522,720.0949988
2.083453383,720.1068517
2.083205244,720.1149217
2.082957106,720.1241717
2.082708967,720.1335673
2.082462282,720.1432271
2.082214144,720.1574921
2.081964551,720.1665097
2.081716413,720.1770083
2.081468274,720.1918275
2.081220135,720.1996837
2.080971997,720.2117231
2.080723858,720.2236276
2.080474447,720.2343397
2.080226309,720.2431862
2.079979442,720.2548467
2.079731304,720.2623403
2.079483165,720.2717802
2.079235026,720.2793613
2.078986888,720.2893307
2.078738749,720.2969328
2.078488208,720.3050986
2.07824007,720.3136977
2.077994333,720.321866
2.077746195,720.3288454
2.077498056,720.3389286
2.077249917,720.3456083
2.258142977,714.1843714
2.258391116,714.1810357
2.260376225,714.1812849
2.260624363,714.1859066
2.262609472,714.2383935
2.262361334,714.2299507
2.257894838,714.188207
2.258639254,714.1793187
2.260128086,714.1773019
2.260872502,714.1878132
2.255909729,714.2672107
2.256157868,714.2518676
2.25218765,714.6948989
2.251942661,714.7373974
2.264594581,714.3097681
2.262857611,714.247198
2.262113195,714.2209812
2.2576467,714.1987848
2.258887393,714.1768082
2.259879947,714.1759142
2.261120641,714.1950578
2.257398561,714.2007657
2.255661591,714.2826972
2.256406007,714.237419
2.257150423,714.2073787
2.252435789,714.6570999
2.251694523,714.7809104
2.264346443,714.301057
2.26310575,714.2573256
2.261865056,714.2146642
2.259135532,714.1751137
2.25962937,714.1753344
2.261367446,714.198526
2.255413452,714.3025618
2.256654145,714.2291976
2.256902284,714.2156662
2.252683927,714.6185286
2.251443234,714.8195907
2.264098304,714.2923201
2.263355282,714.2651488
2.261615585,714.2090968
2.259381231,714.1743093
2.255165314,714.3236627
2.252932066,714.5809621
2.251195095,714.8625302
2.263850165,714.284534
2.26360342,714.2737257
2.248713709,715.2991643
2.248465571,715.3416226
2.254917175,714.3422628
2.253180204,714.5444908
2.250946957,714.9067668
2.238788164,715.9811112
2.248961848,715.2591587
2.248217432,715.3827182
2.254669036,714.3693003
2.253428343,714.5151742
2.250698818,714.9502839
2.239036303,715.9912916
2.238540025,715.9726153
2.245733022,715.731546
2.245487907,715.7584128
2.249209986,715.213018
2.247966991,715.4235862
2.254420898,714.3930346
2.253678606,714.4774325
2.25045068,714.9941403
2.241021412,716.0121839
2.24126955,716.0093634
2.239284441,715.9977542
2.238294068,715.9624597
2.245981161,715.7023675
2.245239768,715.7864313
2.249458125,715.1708693
2.247718853,715.4645222
2.254172759,714.4207198
2.253926744,714.4468418
2.250202541,715.0375316
2.243254659,715.9396375
2.243502798,715.9263608
2.240773273,716.0116022
2.241517689,716.0041714
2.23953258,716.0033845
2.238045929,715.949335
2.246232323,715.674031
2.24499163,715.8075965
2.249706688,715.1257913
2.247473016,715.5009326
2.249954826,715.0834897
2.243006521,715.9536448
2.243750937,715.91029
2.240525134,716.0144617
2.241765828,715.997611
2.239780719,716.0088309
2.23779561,715.9388311
2.246480462,715.638952
2.244743491,715.8314258
2.247224877,715.5397137
2.242758382,715.9643737
2.243999075,715.8886522
