x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
2.430000002107135578e-09,0.000000000000000000e+00
6.720000001791959367e-09,8.806181040000000000e+09
1.353000000392512526e-08,5.848202478000000000e+09
2.352000000627185696e-08,4.289458544000000000e+09
3.633000000036190317e-08,3.344883689000000000e+09
5.211999999943373152e-08,2.649464869000000000e+09
7.175000000358976924e-08,2.107518509000000000e+09
9.481000000022276962e-08,1.722404104000000000e+09
1.215200000004301792e-07,1.421975794000000000e+09
1.529300000058242319e-07,1.163881912000000000e+09
1.885500000042838998e-07,9.739120103999999762e+08
2.286300000022833922e-07,8.288168436000000238e+08
2.744800000016311804e-07,7.175772737000000477e+08
3.254900000015936775e-07,6.260803496000000238e+08
3.819699999993986315e-07,5.527580898999999762e+08
4.454900000041561797e-07,4.901488845000000000e+08
5.153200000052038376e-07,4.395185350000000000e+08
5.918400000055612322e-07,3.961678606999999881e+08
6.769500000061157203e-07,3.583825973000000119e+08
7.697500000034551738e-07,3.255568280000000000e+08
8.707000000001130604e-07,2.974645761000000238e+08
9.821100000024785749e-07,2.726827643000000119e+08
1.102870000003974783e-06,2.506733526999999881e+08
1.233530000000371326e-06,2.308882295000000000e+08
1.376900000003900058e-06,2.139858395999999940e+08
1.531599999999855240e-06,1.984663961999999881e+08
1.698300000001040693e-06,1.847030900000000000e+08
1.880400000004556220e-06,1.720577825999999940e+08
2.076219999999295949e-06,1.603339516999999881e+08
2.286570000002541383e-06,1.498075719000000060e+08
2.515520000002879927e-06,1.400460600000000000e+08
2.761060000004533614e-06,1.297524504000000060e+08
3.024120000006291870e-06,1.235094667000000030e+08
3.309659999999325766e-06,1.167575247000000030e+08
3.615190000004986339e-06,1.104598714000000060e+08
3.941860000004737523e-06,1.045499339000000060e+08
4.295590000005233968e-06,9.906628129000000656e+07
4.673400000001493331e-06,9.395797450000000000e+07
5.076680000001942572e-06,8.921223681999999285e+07
5.512540000005117344e-06,8.515269828000000119e+07
5.977390000005300604e-06,8.056574093999999762e+07
6.472870000003183909e-06,7.646547568000000715e+07
7.007510000001104630e-06,7.261518770999999344e+07
7.576990000004002847e-06,6.911367257999999821e+07
8.183290000005173046e-06,6.540259682999999821e+07
8.836660000000051018e-06,6.245483075999999791e+07
9.531880000004378775e-06,5.945967163000000268e+07
1.027128000000487859e-05,5.628216271000000089e+07
1.106713000000070290e-05,5.366522263000000268e+07
1.191319000000135088e-05,5.119821814000000060e+07
1.281233000000270342e-05,4.885260767000000179e+07
1.377931000000387539e-05,4.660488210000000149e+07
1.480662000000165802e-05,4.440790079999999702e+07
1.589764000000570677e-05,4.226015427000000328e+07
1.706999000000308678e-05,4.018177610000000149e+07
1.831471999999934004e-05,3.822263160999999940e+07
1.963594000000057487e-05,3.642105017000000179e+07
2.105484000000501426e-05,3.475431564999999851e+07
2.256060999999931507e-05,3.319347592000000179e+07
2.415805000000404023e-05,3.172626687000000104e+07
2.587233000000565988e-05,3.034896839000000060e+07
2.769078000000036035e-05,2.906722651000000164e+07
2.961943000000388798e-05,2.786551671000000089e+07
3.168880000000484561e-05,2.670765439999999851e+07
3.388353000000421194e-05,2.556950000000000000e+07
3.621065000000100830e-05,2.445622803999999911e+07
3.870642000000401898e-05,2.339631925000000000e+07
4.135272999999984082e-05,2.240524908999999985e+07
4.415833000000191338e-05,2.148146673000000045e+07
4.716698000000007742e-05,2.059941301999999955e+07
5.035665000000477903e-05,1.972876975000000000e+07
5.373729000000082394e-05,1.887933069999999925e+07
5.736032000000079457e-05,1.807244087999999896e+07
6.120053000000069796e-05,1.732089971999999881e+07
6.527095000000570789e-05,1.662458527999999933e+07
6.963475999999956976e-05,1.596463817999999970e+07
7.426098000000536472e-05,1.531356540000000037e+07
7.916439000000252398e-05,1.467369040000000037e+07
8.441893000000532732e-05,1.405960864000000060e+07
8.998872000000091064e-05,1.349014000999999978e+07
9.589263000000158507e-05,1.295749900999999978e+07
1.022205200000030387e-04,1.245920983000000007e+07
1.089277900000027479e-04,1.198476724000000022e+07
1.160345900000052665e-04,1.153458208000000007e+07
1.236430400000045786e-04,1.110255716999999993e+07
1.317036200000032376e-04,1.068840608999999985e+07
1.402440600000005541e-04,1.028859843999999948e+07
1.493915799999996272e-04,9.900038004000000656e+06
1.590836000000024218e-04,9.529024367000000551e+06
1.693490900000043102e-04,9.177295720000000671e+06
1.803311800000031485e-04,8.841526690999999642e+06
1.919575300000033629e-04,8.522326957000000402e+06
2.042644800000061945e-04,8.214908759999999776e+06
2.174250999999998032e-04,7.914131779000000097e+06
2.313465699999994610e-04,7.624530798000000417e+06
2.460633400000063176e-04,7.347049589999999851e+06
2.617620400000006723e-04,7.081378127999999560e+06
2.783372100000036892e-04,6.825316137000000104e+06
2.958315300000009525e-04,6.581361219999999739e+06
3.144719500000050724e-04,6.356763294999999925e+06
3.341222700000016964e-04,6.144595327999999747e+06
3.548205900000027868e-04,5.936220853000000119e+06
3.768144200000023343e-04,5.732173177000000142e+06
3.999417899999997282e-04,5.532438978000000119e+06
4.242405300000058415e-04,5.336537033999999985e+06
4.499923800000047401e-04,5.147487415000000037e+06
4.769993499999998260e-04,4.969453014000000432e+06
5.052953900000006163e-04,4.807535156000000425e+06
5.351910000000046274e-04,4.663330388000000268e+06
5.664581800000050710e-04,4.528205441999999806e+06
5.991250699999994432e-04,4.391761385999999940e+06
6.335259500000063040e-04,4.253910417999999598e+06
6.693989600000023205e-04,4.114221140000000130e+06
7.067722900000035459e-04,3.979332333000000101e+06
7.460183400000062158e-04,3.854072799000000115e+06
7.868440100000029724e-04,3.739902825000000186e+06
8.292706600000059351e-04,3.634954040000000037e+06
8.736842500000036689e-04,3.533436760999999940e+06
9.197717100000062703e-04,3.432965603999999817e+06
9.675646700000015187e-04,3.334463907000000123e+06
1.017506580000002723e-03,3.239016970000000205e+06
1.069249500000005139e-03,3.149658907999999821e+06
1.122813810000003769e-03,3.065959910999999847e+06
1.178639080000003572e-03,2.999545118999999948e+06
1.236364940000001444e-03,2.907008858000000007e+06
1.296025230000005064e-03,2.822377705999999773e+06
1.358114930000006368e-03,2.738616464999999851e+06
1.422244650000003283e-03,2.682085762999999803e+06
1.488444850000000515e-03,2.571981297999999952e+06
1.557220510000000566e-03,2.491255000000000000e+06
1.628171810000004875e-03,2.417370521999999881e+06
1.701346320000006159e-03,2.347797402999999933e+06
1.777323960000003894e-03,2.283281753000000026e+06
1.855661590000003917e-03,2.219544694000000134e+06
1.936398590000003046e-03,2.156711635999999940e+06
2.020117740000003641e-03,2.089012129999999888e+06
2.106363080000001400e-03,2.036660661000000080e+06
2.195190570000001267e-03,1.983583088999999920e+06
2.287252800000004645e-03,1.934594941000000108e+06
2.382054530000005024e-03,1.888535291999999899e+06
2.479651970000006349e-03,1.846429243999999948e+06
2.580726230000003184e-03,1.804133587000000058e+06
2.684759320000004897e-03,1.761766834999999963e+06
2.791824250000004681e-03,1.714397588999999920e+06
2.902692530000003206e-03,1.677757458000000101e+06
3.016788240000004093e-03,1.639097543999999994e+06
3.134180540000002478e-03,1.603385821999999927e+06
3.255668460000002689e-03,1.570275739999999991e+06
3.380647350000003885e-03,1.539495921000000089e+06
3.509203130000003185e-03,1.509779456999999937e+06
3.642224670000004591e-03,1.479524256000000052e+06
3.779050070000004001e-03,1.448344067999999970e+06
3.919768590000004271e-03,1.416337314999999944e+06
4.065324420000003026e-03,1.384409926999999909e+06
