x, heatflux
1.936398590000003046e-03,2.206466095000000205e+06
2.062726500000003609e-03,2.124922901999999769e+06
2.195190570000001267e-03,2.045810868000000017e+06
2.334097040000003131e-03,1.969645344999999972e+06
2.479651970000006349e-03,1.894960800000000047e+06
2.632140939999999107e-03,1.823573208000000101e+06
2.791824250000004681e-03,1.758486821999999927e+06
2.959085000000001922e-03,1.703222779000000097e+06
3.134180540000002478e-03,1.655627239999999991e+06
3.317448439999999728e-03,1.611914138000000035e+06
3.509203130000003185e-03,1.569258881999999983e+06
3.709864910000000484e-03,1.525842000999999931e+06
3.919768590000004271e-03,1.480014323000000091e+06
4.139329000000003221e-03,1.431810854000000050e+06
4.368942110000006290e-03,1.384131122999999905e+06
4.609125740000003489e-03,1.338509774999999907e+06
4.860282660000003058e-03,1.298833682999999961e+06
5.122902110000005123e-03,1.264205637000000104e+06
5.397455680000000540e-03,1.232598587999999989e+06
5.684529820000001725e-03,1.201357308999999892e+06
5.984624750000002227e-03,1.169849635000000009e+06
6.298331480000001446e-03,1.138159574000000022e+06
6.626224159999999364e-03,1.106069222999999998e+06
6.969017710000002461e-03,1.074527895000000019e+06
7.327300560000004834e-03,1.043511966999999946e+06
7.701768600000001401e-03,1.014547564000000013e+06
8.093101100000004919e-03,9.884626367999999784e+05
8.502118270000004474e-03,9.652610735000000568e+05
8.929543730000006480e-03,9.440335821999999462e+05
9.376214450000006778e-03,9.236774949999999953e+05
9.842946230000003405e-03,9.028249457000000402e+05
1.033073535000000528e-02,8.812643956999999937e+05
1.084041848000000426e-02,8.593935124000000069e+05
1.137298197000000469e-02,8.393759634000000078e+05
1.192939603999999994e-02,8.238503358000000007e+05
1.251080818000000448e-02,8.150457715000000317e+05
1.311822874000000659e-02,8.141903029999999562e+05
1.375283244000000647e-02,8.220812672999999486e+05
1.441577446000000783e-02,8.390488602999999421e+05
1.510845240999999887e-02,8.629350106000000378e+05
1.583204673000000035e-02,8.923096047000000253e+05
1.658793197000000066e-02,9.221012308000000194e+05
1.737746373000000066e-02,9.465435350000000326e+05
1.820224016000000083e-02,9.627983623000000371e+05
1.906369663000000853e-02,9.710674224999999860e+05
1.996346234999999900e-02,9.727031064999999944e+05
2.090315922999999923e-02,9.682241899999999441e+05
2.188470110000000080e-02,9.578362944000000134e+05
2.290974147000000155e-02,9.437559065000000410e+05
2.398019863000000473e-02,9.298653462999999756e+05
2.509800325999999790e-02,9.187575903000000399e+05
2.626528812000000768e-02,9.109382959999999730e+05
2.748409254999999857e-02,9.047314329000000143e+05
2.875668355999999939e-02,8.983074649000000209e+05
3.008530451000000078e-02,8.890979181000000099e+05
3.147251382000000597e-02,8.777442094000000507e+05
3.292066356000000749e-02,8.657203447000000160e+05
3.443241982999999812e-02,8.557005940999999875e+05
3.601041172000001012e-02,8.486212188000000315e+05
3.765755737000000408e-02,8.440583578999999445e+05
3.937668598000000630e-02,8.404858077999999514e+05
4.117088173999999823e-02,8.340325169999999925e+05
4.304326715000000858e-02,8.252497985000000335e+05
4.499715992000000164e-02,8.153507206999999471e+05
4.703596377000000828e-02,8.058068290000000270e+05
4.916319081999999396e-02,7.987788697000000393e+05
5.138251660000000415e-02,7.928809595999999437e+05
5.369775549999999953e-02,7.866114324999999953e+05
5.611287720000000118e-02,7.790499816000000574e+05
5.863194640000000263e-02,7.711171641999999993e+05
6.125923439999999415e-02,7.646527375999999931e+05
6.399909180000000475e-02,7.603261117000000086e+05
6.685612760000000931e-02,7.571809459999999963e+05
6.983503820000000473e-02,7.523011147999999812e+05
7.294072999999999529e-02,7.446112169999999460e+05
7.617818850000000752e-02,7.345339237000000430e+05
7.955268980000000656e-02,7.236642931999999564e+05
8.306959450000001022e-02,7.153989695000000065e+05
8.673448579999999686e-02,7.099337878999999957e+05
9.055303419999999326e-02,7.055324505000000354e+05
9.453121550000001538e-02,7.002131644000000088e+05
9.867510800000001137e-02,6.938702225000000326e+05
1.029909917000000064e-01,6.873534351000000024e+05
1.074853100000000145e-01,6.818650489999999991e+05
1.121646890999999924e-01,6.781521692999999505e+05
1.170359461000000101e-01,6.747647576000000117e+05
1.221060401000000212e-01,6.697689518999999855e+05
1.273822249999999878e-01,6.625451639999999898e+05
1.328717154000000344e-01,6.538291034000000218e+05
1.385820530999999911e-01,6.450736165000000037e+05
1.445208220000000210e-01,6.388284076999999816e+05
1.506960022999999649e-01,6.347915359999999637e+05
1.571153571999999998e-01,6.313303547000000253e+05
1.637870820000000005e-01,6.269290559999999823e+05
1.707192777000000328e-01,6.213313334999999497e+05
1.779206952999999869e-01,6.152335995999999577e+05
1.853993545999999826e-01,6.097489340000000084e+05
1.931639519000000194e-01,6.059581692000000039e+05
2.012229188000000113e-01,6.035243120000000345e+05
2.095853634000000021e-01,6.011202643999999855e+05
2.182595518000000068e-01,5.973524448000000557e+05
2.272544454999999852e-01,5.918126735999999801e+05
2.365785391999999654e-01,5.850120472999999765e+05
2.462413280000000093e-01,5.782122728999999817e+05
2.562506740000000116e-01,5.722458771000000415e+05
2.666154386999999848e-01,5.681763900000000140e+05
2.773437847999999928e-01,5.652948991999999853e+05
2.884447493999999779e-01,5.625581657000000123e+05
2.999257665000000239e-01,5.590217976999999955e+05
3.117951284000000101e-01,5.543524303999999538e+05
3.240601689999999535e-01,5.490139276000000536e+05
3.367294418999999817e-01,5.437955581000000238e+05
3.498088687999999502e-01,5.394593075999999419e+05
3.633055516999999512e-01,5.363110024999999441e+05
3.772253534999999713e-01,5.341205790000000270e+05
3.915750511000000156e-01,5.322600193000000436e+05
4.063589913999999803e-01,5.302299686999999685e+05
4.215823825000000191e-01,5.275878349999999627e+05
4.372489018999999866e-01,5.240385051000000094e+05
4.533634784999999723e-01,5.196016359999999986e+05
4.699274389000000496e-01,5.146256651999999885e+05
4.869432917999999555e-01,5.096907827999999863e+05
5.044117376000000208e-01,5.053268815000000177e+05
5.223342649000000115e-01,5.017518866999999736e+05
5.407091939000000513e-01,4.988036901000000071e+05
5.595355619999999863e-01,4.962872357000000193e+05
5.788103608000000344e-01,4.939315999999999767e+05
5.985316850000000910e-01,4.915902823000000208e+05
6.186933606000000196e-01,4.892070055000000284e+05
6.392902467000000089e-01,4.866960364999999874e+05
6.603150033000000363e-01,4.839588059999999823e+05
6.817608539999999717e-01,4.809113350000000210e+05
7.036175164000000315e-01,4.775877501000000047e+05
7.258752214000000480e-01,4.741741925000000047e+05
7.485219629000000596e-01,4.709186878000000142e+05
7.715465900000000321e-01,4.680632337999999872e+05
7.949337321999999650e-01,4.657079259999999776e+05
8.186688487000000070e-01,4.638263668000000180e+05
8.427352797000000617e-01,4.622552482999999775e+05
8.671167414000000573e-01,4.607336698999999790e+05
8.917938610000000210e-01,4.592332505000000237e+05
9.167476531000000595e-01,4.576795101000000141e+05
9.419572941000000643e-01,4.560574237999999896e+05
9.674026020000000559e-01,4.543906317000000272e+05
9.930602289999999055e-01,4.526971956999999820e+05
1.018907515000000208e+00,4.510103242999999784e+05
1.044920403999999969e+00,4.493448355999999912e+05
1.071075188000000011e+00,4.476918516999999993e+05
1.097346338000000143e+00,4.460210947000000160e+05
1.123708747000000230e+00,4.443029327000000048e+05
1.150136475000000047e+00,4.425110418000000063e+05
1.176604121000000003e+00,4.406198895999999950e+05
1.203085015000000091e+00,4.385905995000000112e+05
1.229553112999999920e+00,4.365145007999999798e+05
1.255982173999999896e+00,4.344306807999999728e+05
1.282346393000000084e+00,4.323882986999999848e+05
1.308619911000000080e+00,4.304360767999999807e+05
1.334777388000000009e+00,4.286003125000000000e+05
1.360793917000000075e+00,4.269061174999999930e+05
1.386645037000000080e+00,4.253804859999999753e+05
1.412307138999999934e+00,4.240192227999999886e+05
1.437757119999999889e+00,4.228032947999999742e+05
1.462972874000000090e+00,4.217142176999999792e+05
1.487932739000000115e+00,4.207259271999999764e+05
1.512616627000000102e+00,4.198057129999999888e+05
1.537004908000000114e+00,4.188914476000000141e+05
1.561079404999999865e+00,4.180124439000000129e+05
1.584822111000000033e+00,4.171595725000000093e+05
1.608217549999999996e+00,4.163400177000000258e+05
1.631250392999999965e+00,4.155474814999999944e+05
1.653907069000000174e+00,4.147797747000000090e+05
1.676174177000000043e+00,4.140333360000000102e+05
1.698040932000000058e+00,4.133095974999999744e+05
1.719496643000000047e+00,4.126073775000000023e+05
1.740532549000000095e+00,4.119300345000000088e+05
1.761139529000000037e+00,4.112761721999999718e+05
1.781311924000000158e+00,4.106475079999999725e+05
1.801043605999999908e+00,4.099893410000000149e+05
1.820330424000000002e+00,4.093581045000000158e+05
1.839167865000000068e+00,4.087585407000000123e+05
1.857554407999999935e+00,4.081930391999999993e+05
1.875488052000000128e+00,4.076547605999999796e+05
1.892968710999999971e+00,4.071466278000000166e+05
1.909995292000000067e+00,4.066616598000000231e+05
1.926570407000000040e+00,4.062035531000000192e+05
1.942695540999999970e+00,4.057663861000000034e+05
1.958373964000000189e+00,4.053544552000000258e+05
1.973608025000000099e+00,4.049595510999999824e+05
1.988402954000000111e+00,4.045860699000000022e+05
2.002762943999999656e+00,4.042265163000000175e+05
