x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
4.080000003625627723e-09,0.000000000000000000e+00
1.353000000392512526e-08,1.053937752000000000e+09
2.934000000465175607e-08,6.612211612000000477e+08
5.211999999943373152e-08,4.613685373999999762e+08
8.257000000355674846e-08,3.457560778999999762e+08
1.215200000004301792e-07,2.716670505000000000e+08
1.698700000005715074e-07,2.203627400999999940e+08
2.286300000022833922e-07,1.818805810000000000e+08
2.989200000058645179e-07,1.535308211999999881e+08
3.819699999993986315e-07,1.311703655000000000e+08
4.791100000005599484e-07,1.129317027000000030e+08
5.918400000055612322e-07,9.800718142000000179e+07
7.217700000055060687e-07,8.566354529999999702e+07
8.707000000001130604e-07,7.543460698999999464e+07
1.040570000000684462e-06,6.707507860000000149e+07
1.233530000000371326e-06,5.998299814000000060e+07
1.451910000000111685e-06,5.375660372999999672e+07
1.698300000001040693e-06,4.831044714999999851e+07
1.975489999999524513e-06,4.369924031000000238e+07
2.286570000002541383e-06,3.976508646999999881e+07
2.634880000002226684e-06,3.627861175000000000e+07
3.024120000006291870e-06,3.344247955999999866e+07
3.458320000000014519e-06,3.079340639000000060e+07
3.941860000004737523e-06,2.821817044999999925e+07
4.479550000006327502e-06,2.554581946999999881e+07
5.076680000001942572e-06,2.344702871999999881e+07
5.739010000006317473e-06,2.187323883999999985e+07
6.472870000003183909e-06,2.050834521000000089e+07
7.285090000003435640e-06,1.921077732999999821e+07
8.183290000005173046e-06,1.797236464999999851e+07
9.175680000005571318e-06,1.666931594999999925e+07
1.027128000000487859e-05,1.519520602999999933e+07
1.147983999999979758e-05,1.399484666999999993e+07
1.281233000000270342e-05,1.309145875000000000e+07
1.428058000000476074e-05,1.236676899000000022e+07
1.589764000000570677e-05,1.170308558999999985e+07
1.767749000000406987e-05,1.103104484999999963e+07
1.963594000000057487e-05,1.029727494999999925e+07
2.178990000000169359e-05,9.584723258999999613e+06
2.415805000000404023e-05,8.920184531999999657e+06
2.676017000000285921e-05,8.317021326999999583e+06
2.961943000000388798e-05,7.793859106999999844e+06
3.276045000000493555e-05,7.343596226999999955e+06
3.621065000000100830e-05,6.897590644999999553e+06
3.999869000000444495e-05,6.462771483000000007e+06
4.415833000000191338e-05,6.035506565999999642e+06
4.872474000000437134e-05,5.627386125000000000e+06
5.373729000000082394e-05,5.286903285000000149e+06
5.923588000000279700e-05,5.009533399000000209e+06
6.527095000000570789e-05,4.721569307000000030e+06
7.189417000000020142e-05,4.426566754999999888e+06
7.916439000000252398e-05,4.142384470999999903e+06
8.713928000000237132e-05,3.872007694999999832e+06
9.589263000000158507e-05,3.649312742000000086e+06
1.054967700000020132e-04,3.461836162000000011e+06
1.160345900000052665e-04,3.276886333999999799e+06
1.275808700000027255e-04,3.083968729999999981e+06
1.402440600000005541e-04,2.899607472000000067e+06
1.541267400000023637e-04,2.717493802000000142e+06
1.693490900000043102e-04,2.562256884000000078e+06
1.860131000000038112e-04,2.431689804000000004e+06
2.042644800000061945e-04,2.299560876000000164e+06
2.242315599999997698e-04,2.164527907000000123e+06
2.460633400000063176e-04,2.042158709999999963e+06
2.698715000000006907e-04,1.909561510999999940e+06
2.958315300000009525e-04,1.799346158000000054e+06
3.240924600000028239e-04,1.702052114000000060e+06
3.548205900000027868e-04,1.613926625000000000e+06
3.881482300000058550e-04,1.525961213999999920e+06
4.242405300000058415e-04,1.435513068999999901e+06
4.632413300000024544e-04,1.353384803000000073e+06
5.052953900000006163e-04,1.277202898000000045e+06
5.505464599999996362e-04,1.233899808999999892e+06
5.991250699999994432e-04,1.183482516999999993e+06
6.511633900000006773e-04,1.134520247999999905e+06
7.067722900000035459e-04,1.086469357000000076e+06
7.661105000000034996e-04,1.035927459000000032e+06
8.292706600000059351e-04,9.835212273000000278e+05
8.963871900000057544e-04,9.341441119999999646e+05
9.675646700000015187e-04,8.935073991000000387e+05
1.043012360000005780e-03,8.536601463000000222e+05
1.122813810000003769e-03,8.207054052999999840e+05
1.207115140000006087e-03,7.899592465000000084e+05
1.296025230000005064e-03,7.610651735999999801e+05
1.389765180000004756e-03,7.325473750999999465e+05
1.488444850000000515e-03,7.051775037999999477e+05
1.592253060000004385e-03,6.797161006000000052e+05
1.701346320000006159e-03,6.563546935999999987e+05
1.816013380000001086e-03,6.322448660000000382e+05
