x, heatflux
1.171144000000055071e-04,7.952626839999999851e+06
1.202300600000043605e-04,7.831942311999999918e+06
1.233942799999994009e-04,7.714538194000000134e+06
1.266078100000029866e-04,7.600270376000000164e+06
1.298714300000014435e-04,7.489002932000000030e+06
1.331859100000016964e-04,7.380607678999999538e+06
1.365520400000050881e-04,7.274963188000000082e+06
1.399706400000013762e-04,7.171954016999999993e+06
1.434425200000006867e-04,7.071469769999999553e+06
1.469684999999998245e-04,6.973405508999999613e+06
1.505494400000060326e-04,6.877662223000000231e+06
1.541861900000043406e-04,6.784147487999999896e+06
1.578796100000019373e-04,6.692775348000000231e+06
1.616305900000014736e-04,6.603464617999999784e+06
1.654400400000000180e-04,6.516137644999999553e+06
1.693088500000001671e-04,6.430720389999999665e+06
1.732379500000007526e-04,6.347143730999999680e+06
1.772282900000021798e-04,6.265346332999999635e+06
1.812808100000040537e-04,6.185276074000000022e+06
1.853965000000030690e-04,6.106887515999999829e+06
1.895763200000004584e-04,6.030136616000000387e+06
1.938212800000016457e-04,5.954975770999999717e+06
1.981323900000049262e-04,5.881351834999999963e+06
2.025107000000048304e-04,5.809207281000000425e+06
2.069572300000004268e-04,5.738483075000000186e+06
2.114730600000029853e-04,5.669122190000000410e+06
2.160592600000015354e-04,5.601073167999999598e+06
2.207169300000018191e-04,5.534292406999999657e+06
2.254471900000041315e-04,5.468743990000000224e+06
2.302511700000024937e-04,5.404397292000000365e+06
2.351300100000059843e-04,5.341223608000000007e+06
2.400848800000048326e-04,5.279192945000000298e+06
2.451169600000042709e-04,5.218272254999999888e+06
2.502274600000049397e-04,5.158426141999999993e+06
2.554176000000012593e-04,5.099619513000000268e+06
2.606886200000033452e-04,5.041820298999999650e+06
2.660417800000018803e-04,4.985001019000000320e+06
2.714783600000032424e-04,4.929138697999999858e+06
2.769996600000013153e-04,4.874212769000000320e+06
2.826070000000058409e-04,4.820201723000000231e+06
2.883017199999997554e-04,4.767081150000000373e+06
2.940851800000032659e-04,4.714824768000000156e+06
2.999587700000034998e-04,4.663406822999999858e+06
3.059238800000016792e-04,4.612803408999999985e+06
3.119819400000025528e-04,4.562992626000000164e+06
3.181344000000052596e-04,4.513954555999999866e+06
3.243827400000043196e-04,4.465671093999999575e+06
3.307284400000014626e-04,4.418125756000000052e+06
3.371730200000016197e-04,4.371304083999999799e+06
3.437180200000042752e-04,4.325193626000000164e+06
3.503650100000044025e-04,4.279781677000000142e+06
3.571155700000048496e-04,4.235052331000000238e+06
3.639713200000045646e-04,4.190986569999999832e+06
3.709339000000042583e-04,4.147565186000000220e+06
3.780049700000063509e-04,4.104770430000000168e+06
3.851862100000005514e-04,4.062585445999999996e+06
3.924793500000021192e-04,4.020994697999999858e+06
3.998861399999995622e-04,3.979985799999999814e+06
4.074083300000026385e-04,3.939549129000000190e+06
4.150477200000039931e-04,3.899674839000000153e+06
4.228061499999995264e-04,3.860351614000000060e+06
4.306854599999993959e-04,3.821568387000000104e+06
4.386875500000044664e-04,3.783314998999999836e+06
4.468143100000006264e-04,3.745580549999999814e+06
4.550676899999999249e-04,3.708353038000000175e+06
4.634496700000027987e-04,3.671620709999999963e+06
