x, heatflux
1.171144000000055071e-04,7.960205076999999583e+06
1.202300600000043605e-04,7.839484519000000320e+06
1.233942799999994009e-04,7.722041412999999709e+06
1.266078100000029866e-04,7.607732600999999791e+06
1.298714300000014435e-04,7.496423542000000365e+06
1.331859100000016964e-04,7.387986627999999560e+06
1.365520400000050881e-04,7.282300883000000380e+06
1.399706400000013762e-04,7.179250637000000104e+06
1.434425200000006867e-04,7.078727143000000156e+06
1.469684999999998245e-04,6.980626400999999605e+06
1.505494400000060326e-04,6.884848949000000022e+06
1.541861900000043406e-04,6.791301185999999754e+06
1.578796100000019373e-04,6.699896604000000283e+06
1.616305900000014736e-04,6.610554498999999836e+06
1.654400400000000180e-04,6.523198064000000246e+06
1.693088500000001671e-04,6.437753629999999888e+06
1.732379500000007526e-04,6.354151765999999829e+06
1.772282900000021798e-04,6.272330281000000425e+06
1.812808100000040537e-04,6.192235122000000440e+06
1.853965000000030690e-04,6.113817217000000179e+06
1.895763200000004584e-04,6.037027752000000328e+06
1.938212800000016457e-04,5.961815315999999642e+06
1.981323900000049262e-04,5.888126799999999814e+06
2.025107000000048304e-04,5.815909722000000067e+06
2.069572300000004268e-04,5.745113387000000104e+06
2.114730600000029853e-04,5.675688697999999858e+06
2.160592600000015354e-04,5.607587841000000015e+06
2.207169300000018191e-04,5.540765504999999888e+06
2.254471900000041315e-04,5.475180785000000149e+06
2.302511700000024937e-04,5.410797560999999754e+06
2.351300100000059843e-04,5.347583016999999993e+06
2.400848800000048326e-04,5.285505456000000238e+06
2.451169600000042709e-04,5.224532680999999866e+06
2.502274600000049397e-04,5.164632695000000298e+06
2.554176000000012593e-04,5.105775375000000000e+06
2.606886200000033452e-04,5.047932641999999993e+06
2.660417800000018803e-04,4.991077308000000194e+06
2.714783600000032424e-04,4.935182047000000253e+06
2.769996600000013153e-04,4.880219086000000127e+06
2.826070000000058409e-04,4.826161622000000440e+06
2.883017199999997554e-04,4.772985611999999732e+06
2.940851800000032659e-04,4.720669901999999769e+06
2.999587700000034998e-04,4.669194842000000179e+06
3.059238800000016792e-04,4.618540796000000089e+06
3.119819400000025528e-04,4.568686995000000112e+06
3.181344000000052596e-04,4.519612379999999888e+06
3.243827400000043196e-04,4.471297309000000358e+06
3.307284400000014626e-04,4.423723752000000328e+06
3.371730200000016197e-04,4.376874350999999791e+06
3.437180200000042752e-04,4.330732013000000268e+06
3.503650100000044025e-04,4.285279334999999963e+06
3.571155700000048496e-04,4.240498519000000320e+06
3.639713200000045646e-04,4.196372675999999978e+06
3.709339000000042583e-04,4.152887078000000212e+06
3.780049700000063509e-04,4.110029024000000209e+06
3.851862100000005514e-04,4.067786961999999825e+06
3.924793500000021192e-04,4.026149649999999907e+06
3.998861399999995622e-04,3.985104458999999799e+06
4.074083300000026385e-04,3.944637086000000127e+06
4.150477200000039931e-04,3.904733304000000004e+06
4.228061499999995264e-04,3.865380575000000186e+06
4.306854599999993959e-04,3.826568075999999885e+06
4.386875500000044664e-04,3.788285580000000075e+06
4.468143100000006264e-04,3.750521983000000007e+06
4.550676899999999249e-04,3.713264350999999791e+06
4.634496700000027987e-04,3.676498987000000197e+06
4.719622400000034104e-04,3.640221072999999858e+06
4.806074500000008325e-04,3.604419533999999985e+06
4.893873500000011853e-04,3.569085507000000216e+06
4.983040500000015128e-04,3.534212026999999769e+06
5.073596600000059064e-04,3.499790189999999944e+06
5.165563700000035553e-04,3.465809577000000048e+06
5.258963600000043969e-04,3.432259452000000048e+06
5.353818600000011469e-04,3.399131404999999795e+06
5.450151500000046442e-04,3.366419657999999821e+06
5.547985200000056299e-04,3.334118652999999933e+06
5.647343100000057044e-04,3.302221430999999866e+06
5.748248900000021196e-04,3.270720438999999780e+06
5.850726700000023761e-04,3.239607231000000145e+06
5.954801000000031893e-04,3.208872682000000030e+06
6.060496700000044760e-04,3.178508884999999776e+06
6.167839000000014792e-04,3.148510552000000142e+06
6.276853600000009518e-04,3.118873978999999817e+06
6.387566400000040372e-04,3.089594356999999844e+06
6.500003900000024233e-04,3.060665220999999903e+06
6.614193000000057445e-04,3.032078910999999847e+06
6.730161000000052605e-04,3.003827808999999892e+06
6.847935500000019776e-04,2.975905822000000160e+06
6.967544600000010390e-04,2.948308183000000194e+06
7.089017000000055052e-04,2.921030645000000019e+06
7.212381500000049524e-04,2.894069512999999803e+06
7.337667800000033424e-04,2.867420709999999963e+06
7.464905600000051791e-04,2.841078543000000063e+06
7.594125399999995763e-04,2.815036228000000119e+06
7.725358000000000312e-04,2.789285808000000194e+06
7.858634800000033208e-04,2.763823859999999870e+06
7.993987500000017659e-04,2.738648720999999903e+06
8.131448500000005263e-04,2.713756330999999773e+06
8.271050600000009155e-04,2.689141774000000209e+06
8.412827100000015539e-04,2.664800330000000075e+06
8.556811900000055923e-04,2.640726765999999829e+06
8.703039300000057219e-04,2.616915337999999989e+06
8.851544200000063204e-04,2.593359572000000160e+06
9.002362100000027437e-04,2.570056666999999899e+06
9.155528900000007046e-04,2.547007112000000197e+06
9.311081300000054878e-04,2.524210021999999881e+06
9.469056300000033930e-04,2.501657669000000227e+06
9.629491600000008233e-04,2.479349686000000220e+06
9.792425500000020988e-04,2.457286214000000153e+06
9.957896900000021926e-04,2.435456041000000201e+06
1.012594530000001259e-03,2.413856202000000048e+06
1.029661080000003875e-03,2.392483041999999899e+06
1.046993410000005920e-03,2.371334089000000153e+06
1.064595650000001083e-03,2.350411240999999922e+06
1.082472000000002724e-03,2.329711013999999966e+06
1.100626730000001802e-03,2.309229671000000089e+06
1.119064170000001399e-03,2.288957103000000119e+06
1.137788720000003232e-03,2.268889225000000093e+06
1.156804830000005783e-03,2.249034288999999873e+06
1.176117060000002757e-03,2.229383078000000212e+06
1.195729990000003826e-03,2.209923688000000082e+06
1.215648319999999751e-03,2.190660072999999858e+06
1.235876790000006069e-03,2.171596535000000149e+06
1.256420220000002436e-03,2.152728604999999981e+06
1.277283520000004578e-03,2.134048183999999892e+06
1.298471650000003301e-03,2.115553938999999780e+06
1.319989670000005274e-03,2.097250589999999851e+06
1.341842710000001708e-03,2.079136975000000093e+06
