# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
5.2290133333333336e-04 6.4204210608876690e-05 0.0000000000000000e+00 -1.2186934340514749e-01 9.9254615164132198e-01 0.0000000000000000e+00 6.7649181405778909e-08 1.0007966039960380e-07 -1.0000000000000000e+00 2.0799094103550910e+03 2.4148216601212191e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4792625581656347e+02 4.5527467352791895e-02 1.2503921840675251e-02 -8.7869314249291017e+02 -7.6219684966135517e+01 0.0000000000000000e+00 4.0224123670762684e+05 4.0224123670762684e+05 0.0000000000000000e+00
1.5687040000000002e-03 1.9261263182663007e-04 0.0000000000000000e+00 -1.2186934340514749e-01 9.9254615164132198e-01 0.0000000000000000e+00 2.0294754421733673e-07 1.0023894249672606e-07 -1.0000000000000000e+00 2.2417059030257233e+03 2.6026710313907030e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4763728514464373e+02 4.9106333242203391e-02 9.9593933030118348e-03 -5.1602838110510709e+02 -3.9194562074303889e+01 0.0000000000000000e+00 2.3199746397877869e+05 2.3199746397877869e+05 0.0000000000000000e+00
2.6145066666666671e-03 3.2102105304438345e-04 0.0000000000000000e+00 -1.2186934340514746e-01 9.9254615164132198e-01 0.0000000000000000e+00 3.3824590702889465e-07 1.0039814480176478e-07 -1.0000000000000000e+00 2.2472181012916230e+03 2.6090708176992352e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4754358084167291e+02 4.9291976075356680e-02 8.7361196019514527e-03 -3.9482025743143708e+02 -2.9994598314536930e+01 0.0000000000000000e+00 1.7678867208365237e+05 1.7678867208365237e+05 0.0000000000000000e+00
3.6603093333333336e-03 4.4942947426213683e-04 0.0000000000000000e+00 -1.2186934340514750e-01 9.9254615164132198e-01 0.0000000000000000e+00 4.7354426984045231e-07 1.0055726728594904e-07 -1.0000000000000000e+00 2.2529787690050925e+03 2.6157590826313467e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4749343944551515e+02 4.9489517164741620e-02 8.0101743507477452e-03 -3.3003845270107786e+02 -2.5015259047924708e+01 0.0000000000000000e+00 1.4718623405451039e+05 1.4718623405451039e+05 0.0000000000000000e+00
4.7061120000000001e-03 5.7783789547989021e-04 0.0000000000000000e+00 -1.2186934340514741e-01 9.9254615164132198e-01 0.0000000000000000e+00 6.0884263265201013e-07 1.0071630992035204e-07 -1.0000000000000000e+00 2.2264125114336875e+03 2.5849150593809132e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4746111279139404e+02 4.8978749295582304e-02 7.4607530566777394e-03 -2.8881408777015560e+02 -2.1946544461104644e+01 0.0000000000000000e+00 1.2806968468741971e+05 1.2806968468741971e+05 0.0000000000000000e+00
5.7519146666666666e-03 7.0624631669764359e-04 0.0000000000000000e+00 -1.2186934340514752e-01 9.9254615164132198e-01 0.0000000000000000e+00 7.4414099546356848e-07 1.0087527267662979e-07 -1.0000000000000000e+00 2.1987973430057787e+03 2.5528532270070573e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4743994919399609e+02 4.8444638927209911e-02 7.0467238581340694e-03 -2.6006033194374925e+02 -1.9793537246346137e+01 0.0000000000000000e+00 1.1552067846245496e+05 1.1552067846245496e+05 0.0000000000000000e+00
6.7977173333333349e-03 8.3465473791539697e-04 0.0000000000000000e+00 -1.2186934340514741e-01 9.9254615164132198e-01 0.0000000000000000e+00 8.7943935827512641e-07 1.0103415552697244e-07 -1.0000000000000000e+00 2.2103803049821427e+03 2.5663013066828493e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4742663951134836e+02 4.8774674416457567e-02 6.8173528218362558e-03 -2.4137656271878387e+02 -1.8277702385824824e+01 0.0000000000000000e+00 1.0758279591607125e+05 1.0758279591607125e+05 0.0000000000000000e+00
7.8435200000000014e-03 9.6306315913315035e-04 0.0000000000000000e+00 -1.2186934340514761e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.0147377210866827e-06 1.0119295844279275e-07 -1.0000000000000000e+00 2.2124191147084616e+03 2.5686684106843355e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4741638377631926e+02 4.8894953307029788e-02 6.6372074853404137e-03 -2.2786327700299512e+02 -1.7222720886129633e+01 0.0000000000000000e+00 1.0144441095707023e+05 1.0144441095707023e+05 0.0000000000000000e+00
8.8893226666666679e-03 1.0914715803509037e-03 0.0000000000000000e+00 -1.2186934340514731e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.1500360838982413e-06 1.0135168139603460e-07 -1.0000000000000000e+00 2.1929945072770702e+03 2.5461160040597279e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4740662244430024e+02 4.8540320557904873e-02 6.4394322899810463e-03 -2.1570598307536699e+02 -1.6337164033992998e+01 0.0000000000000000e+00 9.5612256929847194e+04 9.5612256929847194e+04 0.0000000000000000e+00
9.9351253333333327e-03 1.2198800015686569e-03 0.0000000000000000e+00 -1.2186934340514750e-01 9.9254615164132198e-01 0.0000000000000000e+00 1.2853344467097988e-06 1.0151032436013300e-07 -1.0000000000000000e+00 2.1766968347417942e+03 2.5271940392607765e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4739894308332339e+02 4.8253931054853698e-02 6.2640925902203385e-03 -2.0500401039939348e+02 -1.5539726206262642e+01 0.0000000000000000e+00 9.1005854285704001e+04 9.1005854285704001e+04 0.0000000000000000e+00
